,logFC,logCPM,PValue,QValue
ENSCPBG00000019034,14.6186147,6.978334055,0.000963185,0.655666363
ENSCPBG00000019028,10.34680347,2.749492058,0.002512207,0.655666363
ENSCPBG00000000839,9.665824626,5.195109641,0.01036476,0.655666363
ENSCPBG00000019021,-2.538335353,1.922468621,0.000177915,0.380542711
ENSCPBG00000014220,-2.031897182,6.704628434,0.000182507,0.380542711
ENSCPBG00000005658,9.553848451,8.837270044,0.002006122,0.655666363
ENSCPBG00000019024,9.397969071,1.838867885,0.001133548,0.655666363
ENSCPBG00000019714,9.378329457,4.089536319,0.000162818,0.380542711
ENSCPBG00000027894,-2.253234431,5.028561599,0.000408019,0.655666363
ENSCPBG00000013935,-3.067060941,0.106572598,0.00061692,0.655666363
ENSCPBG00000014042,9.144706376,8.693341202,0.002647717,0.655666363
ENSCPBG00000013744,-4.381825314,-0.529344201,0.000656626,0.655666363
ENSCPBG00000012946,-1.752824372,4.085847421,0.000694686,0.655666363
ENSCPBG00000013568,8.771753976,7.646448604,0.002133736,0.655666363
ENSCPBG00000013325,-2.162346979,8.062924995,0.000819293,0.655666363
ENSCPBG00000013259,8.580957988,4.761262679,0.04483096,0.763108771
ENSCPBG00000005563,8.423430731,6.416899172,0.006224275,0.655666363
ENSCPBG00000002409,8.26111742,5.323026498,0.004969319,0.655666363
ENSCPBG00000013189,8.190674366,4.297490197,0.001643048,0.655666363
ENSCPBG00000015707,8.087255647,6.651583095,0.005732353,0.655666363
ENSCPBG00000012897,8.067706873,3.621522498,0.006374342,0.655666363
ENSCPBG00000011367,7.973287572,3.522869954,0.038757885,0.744777163
ENSCPBG00000012527,7.964354103,4.1450531,0.006006375,0.655666363
ENSCPBG00000010167,-2.159288702,4.215539526,0.001143301,0.655666363
ENSCPBG00000001598,7.918939159,2.658633754,0.005464494,0.655666363
ENSCPBG00000013049,7.879932103,5.134138289,4.40E-06,0.064898749
ENSCPBG00000012101,-3.513051915,-0.527723052,0.001339769,0.655666363
ENSCPBG00000002890,-2.124944689,2.188562403,0.001414898,0.655666363
ENSCPBG00000010925,7.798103748,4.624666569,0.000202843,0.380542711
ENSCPBG00000026445,7.667144749,3.781067444,0.020217125,0.687475425
ENSCPBG00000011962,-1.67750482,5.082909706,0.001520248,0.655666363
ENSCPBG00000013292,7.640715693,2.452323139,0.006007862,0.655666363
ENSCPBG00000019166,7.574567923,5.153083942,0.004714343,0.655666363
ENSCPBG00000011454,-2.068370371,1.950155409,0.001622833,0.655666363
ENSCPBG00000011288,7.542299502,4.373797675,0.00250267,0.655666363
ENSCPBG00000013649,7.535694111,3.652358829,0.021028158,0.695036309
ENSCPBG00000007078,7.418027635,5.572322455,4.60E-05,0.339707829
ENSCPBG00000001229,7.400065762,6.295774862,0.003010935,0.655666363
ENSCPBG00000016676,7.395885769,3.944340514,0.004657976,0.655666363
ENSCPBG00000010809,7.276410692,-0.064162536,0.003705294,0.655666363
ENSCPBG00000015692,7.249571757,4.92327585,0.01643469,0.655666363
ENSCPBG00000013143,-5.874913368,-1.165321118,0.002084439,0.655666363
ENSCPBG00000026389,7.097471794,7.397937734,0.009274096,0.655666363
ENSCPBG00000020786,7.066301356,4.966517992,0.003115411,0.655666363
ENSCPBG00000010349,-2.694560262,1.131875922,0.002323155,0.655666363
ENSCPBG00000014046,-1.639702835,4.322236077,0.002331734,0.655666363
ENSCPBG00000010172,7.059735421,9.178028289,0.00802153,0.655666363
ENSCPBG00000010013,7.002092933,3.844896825,0.0267229,0.713473613
ENSCPBG00000026910,-4.005554196,-0.802683809,0.00250657,0.655666363
ENSCPBG00000003934,6.964715954,1.808717715,0.007152278,0.655666363
ENSCPBG00000000842,6.913494892,-0.354905632,0.007902745,0.655666363
ENSCPBG00000018024,6.807536815,2.944494629,0.026674836,0.713473613
ENSCPBG00000024502,6.683465968,10.16543337,0.007703792,0.655666363
ENSCPBG00000023870,6.669266429,7.412357722,0.002673491,0.655666363
ENSCPBG00000011235,6.665360398,8.014995588,0.006439738,0.655666363
ENSCPBG00000012898,-1.702040073,2.973795982,0.002838628,0.655666363
ENSCPBG00000015268,6.658875664,2.801287081,0.028064284,0.713473613
ENSCPBG00000011586,6.639536489,5.42266598,0.0032384,0.655666363
ENSCPBG00000013384,6.636826955,3.176668974,0.028231882,0.713473613
ENSCPBG00000008410,6.622040378,-0.601787257,0.001205041,0.655666363
ENSCPBG00000005175,6.600671975,2.295430877,0.021865788,0.695036309
ENSCPBG00000027085,6.597321354,5.359525693,0.007112491,0.655666363
ENSCPBG00000008167,6.487122625,6.308551246,0.010372201,0.655666363
ENSCPBG00000008165,6.485506696,4.407874391,0.000803264,0.655666363
ENSCPBG00000000312,6.444729489,8.407503472,0.003734886,0.655666363
ENSCPBG00000004752,6.437536083,4.854556277,0.014047024,0.655666363
ENSCPBG00000007976,6.352452677,5.125864749,0.003563961,0.655666363
ENSCPBG00000013026,6.326205746,1.163933568,0.008807518,0.655666363
ENSCPBG00000007796,6.30354474,3.140843735,0.013359132,0.655666363
ENSCPBG00000024929,6.270191274,1.165172622,0.009175907,0.655666363
ENSCPBG00000000624,6.246975035,4.611330821,0.011199915,0.655666363
ENSCPBG00000013604,6.186892087,5.473373738,0.006609317,0.655666363
ENSCPBG00000014818,-2.817397143,-0.2897966,0.003804857,0.655666363
ENSCPBG00000000936,6.180858608,-0.919493703,0.005291842,0.655666363
ENSCPBG00000003855,6.118247073,-0.981780486,0.000870458,0.655666363
ENSCPBG00000007399,6.076883908,3.54184323,0.004438751,0.655666363
ENSCPBG00000007398,6.058445712,6.164167115,0.008338546,0.655666363
ENSCPBG00000007284,6.042782529,-1.018003933,0.006030434,0.655666363
ENSCPBG00000021148,6.025503285,9.277382645,0.011105109,0.655666363
ENSCPBG00000008974,-1.815981196,5.508714867,0.004312433,0.655666363
ENSCPBG00000017603,6.009223047,2.879920766,0.004001241,0.655666363
ENSCPBG00000025600,5.968276924,-1.070086976,0.006548678,0.655666363
ENSCPBG00000021939,5.935388043,-1.08247816,0.013076959,0.655666363
