,logFC,logCPM,PValue,QValue
ENSCPBG00000008586,14.8326190742013,6.72050644533131,1.21588489451048e-08,0.0001833432832432
ENSCPBG00000004419,2.7644266671401,6.80606793081467,0.0376479328095551,1.0
ENSCPBG00000003056,2.85832870623969,5.3795074339889,0.0280666995967699,1.0
ENSCPBG00000027949,3.30311012422787,4.53294900637538,0.0189760850648776,1.0
ENSCPBG00000019696,1.50931865368387,2.56883068804692,0.0401399088353808,1.0
ENSCPBG00000001411,4.55050382779635,3.41666879081735,0.0129357741267175,1.0
ENSCPBG00000020185,1.81375817802373,3.83222361252455,0.0411152635554849,1.0
ENSCPBG00000012869,2.92310396842662,1.20114578146918,0.0384568172262533,1.0
ENSCPBG00000019065,4.93425707293702,2.66192802851465,0.0090683933034731,1.0
ENSCPBG00000009893,1.54924306609675,4.08025035588788,0.0406776046169008,1.0
ENSCPBG00000012668,2.42781478083066,4.12502342002785,0.0211352748376001,1.0
ENSCPBG00000012433,2.08428552629408,4.04810322111697,0.0380118222527347,1.0
ENSCPBG00000012253,6.43634526648524,-1.42694568639377,0.0316146729425577,1.0
ENSCPBG00000025901,2.33136888136974,0.217791939456429,0.0454263216125637,1.0
ENSCPBG00000019166,1.05028584756697,3.99574729645395,0.0313369891348699,1.0
ENSCPBG00000015410,2.88362672457914,2.83535670047211,0.0384083471943318,1.0
ENSCPBG00000025039,5.49116993494665,-1.88381242825141,0.0118226207623741,1.0
ENSCPBG00000015784,6.74017060530558,2.85686917738605,0.003028722951038,1.0
ENSCPBG00000023177,5.80710106514292,-1.82501991737993,0.0430330215865017,1.0
ENSCPBG00000009895,1.83659906473782,3.10417057373447,0.033207988087554,1.0
ENSCPBG00000010975,2.52272062530842,-0.282617374182602,0.0400260233374589,1.0
ENSCPBG00000012536,2.6249668180841,0.969527926256627,0.0249685565399903,1.0
ENSCPBG00000010617,1.8934867093404,3.73576399865483,0.0479195349924196,1.0
ENSCPBG00000010582,2.0267410418421,0.237479647591155,0.0408914950787005,1.0
ENSCPBG00000023885,1.35145173366145,5.50089925374454,0.0441888256080372,1.0
ENSCPBG00000024752,1.46433438118976,4.12041745965534,0.0316544315918956,1.0
ENSCPBG00000023639,3.15074291639286,0.397627052091922,0.0404890042658396,1.0
ENSCPBG00000018994,3.51546897244826,0.625531073147736,0.0053778313710399,1.0
ENSCPBG00000010077,6.80659942230267,-1.13315947944383,0.0158505523122399,1.0
ENSCPBG00000009822,2.2357458365965,3.44992619720195,0.0394451609718258,1.0
ENSCPBG00000017036,3.28273465765012,1.71998956361047,0.0235402606149733,1.0
ENSCPBG00000008783,2.49638789632062,2.78984545054623,0.0297591841067013,1.0
ENSCPBG00000024333,2.28560153848293,-0.304849377545265,0.0367894220999586,1.0
ENSCPBG00000008587,2.94355486893322,-1.08368576082048,0.0481522169815983,1.0
ENSCPBG00000011825,2.02272829848749,1.59941465943378,0.0358489144036278,1.0
ENSCPBG00000009615,2.73918595554082,3.85956442695433,0.0177284412318335,1.0
ENSCPBG00000007842,3.94257294678263,2.18236437515539,0.0312723578857779,1.0
ENSCPBG00000010772,2.56751533678906,1.47195022790368,0.049086924184215,1.0
ENSCPBG00000007738,2.67147450910091,2.94406557317135,0.0326394810655773,1.0
ENSCPBG00000013157,1.30855592454934,3.93502809438911,0.0478644470969099,1.0
ENSCPBG00000027699,4.13279276713877,-0.592204026356636,0.024696954564817,1.0
ENSCPBG00000003762,5.24768822784525,-2.02679150164455,0.0245720625043843,1.0
ENSCPBG00000017373,1.88155617386706,-0.312344272639194,0.0434112017658364,1.0
ENSCPBG00000003316,2.60687067052052,0.0598512258477894,0.0462802728786334,1.0
ENSCPBG00000016051,1.55083195037881,3.23024816360297,0.0478312059119285,1.0
ENSCPBG00000012100,1.90139590375257,5.53645509187831,0.043896369912687,1.0
ENSCPBG00000005827,1.62766998473626,2.22806023643047,0.0334564369448981,1.0
ENSCPBG00000003325,1.84410214421341,0.89979215024195,0.0122356173521894,1.0
ENSCPBG00000012466,5.18870676887004,-2.0637355710292,0.0258722555024972,1.0
