,logFC,logCPM,PValue,QValue
ENSCPBG00000000745,-7.33212453748215,-0.421379391758375,4.29795629949846e-06,0.0645510056621674
ENSCPBG00000028016,-1.02477731260195,5.24989557980606,0.0360947211302411,1.0
ENSCPBG00000013877,-1.54685731057707,2.04221539577085,0.0171356105737955,1.0
ENSCPBG00000001975,-2.46570269105943,-0.258258368390639,0.0056070806403001,1.0
ENSCPBG00000023996,-1.1287326916691,4.06228697773928,0.0193684740143973,1.0
ENSCPBG00000003110,-2.71067640772065,-0.561292652539032,0.0025861554815834,1.0
ENSCPBG00000011952,-1.62513638019424,4.09250130000278,0.008242425308904,1.0
ENSCPBG00000017325,-3.17209487769566,-1.5878075652238,0.0184718122976712,1.0
ENSCPBG00000011808,-2.43963200820287,-1.11195911780255,0.037533333256419,1.0
ENSCPBG00000011801,-1.35536919448555,3.80029537389444,0.0099138356867289,1.0
ENSCPBG00000014679,-1.39667162413577,0.496806618878924,0.0410290339178976,1.0
ENSCPBG00000026389,-1.36733138550977,7.78302300559831,0.0380703419689277,1.0
ENSCPBG00000009230,-3.21898304863257,-1.57534555148364,0.027966856294913,1.0
ENSCPBG00000009620,-5.8980487301025,-1.50754414621751,0.0037494019892216,1.0
ENSCPBG00000023198,-2.25751785733215,1.03077225935998,0.0134099508266792,1.0
ENSCPBG00000009196,-1.65362825728322,2.37699875739168,0.0080855607674688,1.0
ENSCPBG00000014431,-1.28029409331532,2.93805837781317,0.0157813616900815,1.0
ENSCPBG00000015278,-5.76425534817068,-1.60915640818195,0.0081031718765672,1.0
ENSCPBG00000026706,-5.99236063993198,-1.38508086608816,0.0075396291044768,1.0
ENSCPBG00000008532,-1.92850749856221,1.70392293258567,0.0035895966814603,1.0
ENSCPBG00000013681,-1.63788967854134,2.68575879686901,0.0099024246781806,1.0
ENSCPBG00000008177,-2.33279466700548,-1.16432877581169,0.035732427317618,1.0
ENSCPBG00000008169,-1.4587295545024,0.134246331732455,0.0475549797571798,1.0
ENSCPBG00000008548,-3.43491798644416,-1.44683778809807,0.0163890812575899,1.0
ENSCPBG00000005301,-2.04391146807253,-0.785462912571403,0.0344235648852282,1.0
ENSCPBG00000025817,-2.23285971220751,1.83783195453049,0.0135631310515983,1.0
ENSCPBG00000000793,-2.26707565317585,-0.596713070253706,0.0245289276928036,1.0
ENSCPBG00000002648,-2.50792998767176,-0.537934622117281,0.0220222666909614,1.0
ENSCPBG00000018054,-1.12166432657626,4.16896026293077,0.0449449578765636,1.0
ENSCPBG00000018705,-5.33019267356282,-1.8322016492713,0.0185171727291281,1.0
ENSCPBG00000006102,-2.15707399915447,-0.0775087677309688,0.0182174854399262,1.0
ENSCPBG00000024868,-5.80355080065863,-1.55163071865751,0.0027455940627038,1.0
ENSCPBG00000005682,-1.82070229581412,0.765935926716675,0.0231879407640978,1.0
ENSCPBG00000001682,-1.21965666728081,2.4805669279424,0.0400677364733328,1.0
ENSCPBG00000000694,-5.05247819689656,-1.99046517872453,0.0230136917754583,1.0
ENSCPBG00000003447,-2.54481337040107,-0.456048915035429,0.0076143433692718,1.0
ENSCPBG00000023126,-1.49388627295885,3.20127249045413,0.0031465557330396,1.0
ENSCPBG00000018582,-1.91364381064667,0.0603885321821388,0.0477882551420684,1.0
ENSCPBG00000005594,-5.05247819689656,-1.99046517872453,0.0230136917754583,1.0
ENSCPBG00000002239,-1.08176176057166,4.13533145605897,0.0371456746667053,1.0
ENSCPBG00000022019,-2.15586832813829,1.04748885515087,0.0349662191874902,1.0
ENSCPBG00000000120,-0.913600440866063,4.70861995357446,0.044706035290994,1.0
ENSCPBG00000012226,-2.28852910188469,-1.19069281943412,0.0479440914826868,1.0
ENSCPBG00000000255,-1.36608643411178,3.64042383300219,0.009158501804934,1.0
ENSCPBG00000002420,-1.69206618339624,-0.033899967478275,0.0434964394159882,1.0
ENSCPBG00000016232,-2.93122804845684,-1.7261766929585,0.0401455658316092,1.0
ENSCPBG00000000767,-1.35996829378568,5.38272468550706,0.0030096232602954,1.0
ENSCPBG00000016272,-1.07691234070132,6.01754880786212,0.0231643853882571,1.0
ENSCPBG00000023806,-2.07739737033142,-0.789136023276149,0.0490633152379191,1.0
ENSCPBG00000002002,-2.2464566957542,-0.533142861303882,0.0466541603032984,1.0
ENSCPBG00000004197,-1.2154241862854,4.16786588536436,0.0423199303131147,1.0
ENSCPBG00000001722,-1.35162189267288,8.3436683263943,0.0351802860820492,1.0
ENSCPBG00000000355,-5.13133847924314,-1.95378980620599,0.0271848132515707,1.0
ENSCPBG00000001440,-1.28338938078774,5.03948486551197,0.0211060985316171,1.0
ENSCPBG00000023061,-2.18805953410172,3.78220797086824,0.0196040066610631,1.0
ENSCPBG00000010051,-1.72813510686288,0.326033734889977,0.02594255112479,1.0
ENSCPBG00000004739,-2.03445759183775,-0.313370999353306,0.0398750053345772,1.0
