,logFC,logCPM,PValue,QValue
ENSCPBG00000021318,1.70888791,-0.54349703,0.008439076,1
ENSCPBG00000014498,4.812939335,-2.506237579,0.011257671,1
ENSCPBG00000004815,-1.894830025,-0.600117673,0.024898277,1
ENSCPBG00000004641,2.868563401,-1.633909204,0.026299709,1
ENSCPBG00000002755,-2.3018171,-1.53377511,0.026591292,1
ENSCPBG00000028372,1.940759558,-1.147728686,0.0294888,1
ENSCPBG00000024634,1.054045818,0.239071007,0.032387721,1
ENSCPBG00000023712,2.199584922,-1.31345208,0.035131681,1
ENSCPBG00000022554,-2.19158869,-1.050949669,0.036220126,1
ENSCPBG00000022134,-1.713963461,-0.504369448,0.036449141,1
ENSCPBG00000021714,-1.366178599,-0.26853558,0.036835872,1
ENSCPBG00000021014,-3.099512207,-1.594150638,0.037350644,1
ENSCPBG00000020177,2.943478685,-2.402426933,0.038441598,1
ENSCPBG00000018823,-3.148826621,-0.307964867,0.039636791,1
ENSCPBG00000017998,2.94279052,-2.193793282,0.039916144,1
ENSCPBG00000017288,3.96643733,-2.59253355,0.040543673,1
ENSCPBG00000017260,4.009896079,-2.473977273,0.040549447,1
ENSCPBG00000016241,-1.234358934,1.151866433,0.041097522,1
ENSCPBG00000016020,1.330572701,-0.536238887,0.044320875,1
ENSCPBG00000014801,-1.521189406,-0.487050103,0.04862315,1
ENSCPBG00000014213,3.95732508,-2.638958957,0.050955076,1
ENSCPBG00000013646,1.269622302,-0.751692691,0.050974354,1
ENSCPBG00000012991,1.139982427,-0.121881128,0.052564096,1
ENSCPBG00000012751,2.69520937,-2.076335807,0.054623061,1
ENSCPBG00000011701,-4.533070793,-1.746010673,0.055983617,1
ENSCPBG00000010870,-3.047534569,-0.991902805,0.056392186,1
ENSCPBG00000009971,1.682906147,-0.732134749,0.057020192,1
ENSCPBG00000009852,-4.593276355,-2.148499369,0.057129109,1
ENSCPBG00000009612,5.177978976,-2.254940505,0.05759249,1
ENSCPBG00000008608,2.217835866,-1.941564871,0.057655169,1
ENSCPBG00000008397,-1.101705385,0.602553131,0.058406174,1
ENSCPBG00000008352,2.38386369,-1.996446864,0.059842228,1
ENSCPBG00000007901,-2.372939367,-1.484818742,0.06127727,1
ENSCPBG00000007597,3.951248472,-2.448070101,0.061292568,1
ENSCPBG00000007575,-5.031215677,-1.695547462,0.061646983,1
ENSCPBG00000006806,2.639299432,-2.435544317,0.063291266,1
ENSCPBG00000006288,2.075040495,-2.335510027,0.069394334,1
ENSCPBG00000006187,4.088732879,-2.72744016,0.069445205,1
ENSCPBG00000004592,-2.794597961,-1.544300814,0.069507326,1
ENSCPBG00000004419,1.263422298,-1.07090433,0.070020307,1
ENSCPBG00000004409,4.433071047,-2.373332944,0.071058168,1
ENSCPBG00000004148,1.900389482,-1.713986119,0.071950504,1
ENSCPBG00000003947,1.80532445,-1.700478415,0.07221848,1
ENSCPBG00000003871,-1.935539918,-1.294779498,0.072436736,1
ENSCPBG00000003707,-1.748635584,-0.327470187,0.072799699,1
ENSCPBG00000003490,-2.079256306,-1.642663379,0.074448824,1
ENSCPBG00000003056,-4.816913212,-1.786023848,0.07490798,1
ENSCPBG00000003052,-0.937223397,0.773072378,0.077611997,1
ENSCPBG00000002987,1.665403354,-1.302357072,0.077692534,1
ENSCPBG00000002629,-4.487944147,-2.291547947,0.079880827,1
ENSCPBG00000002330,-1.60534692,-0.811912483,0.080832171,1
ENSCPBG00000002032,1.136537992,-0.740746051,0.080897757,1
ENSCPBG00000002023,4.156469358,-2.392025871,0.083721989,1
ENSCPBG00000001987,0.919830747,0.44614729,0.083895459,1
ENSCPBG00000001820,-4.442899687,-2.094014699,0.083994218,1
ENSCPBG00000001353,-4.34292005,-2.121024737,0.085003185,1
ENSCPBG00000001225,2.314182455,-1.743854735,0.085406924,1
ENSCPBG00000001085,-2.868264183,-1.419383087,0.087661003,1
ENSCPBG00000000832,2.99042661,-2.476640708,0.089754396,1
ENSCPBG00000000468,2.423594242,-1.903113966,0.090034939,1
ENSCPBG00000000194,-1.306149964,-0.117490049,0.090195663,1
ENSCPBG00000028437,-1.222617458,0.686621572,0.091306914,1
ENSCPBG00000028436,0.63493557,5.558492792,0.092027535,1
ENSCPBG00000028433,3.599570542,-2.566876579,0.093033738,1
ENSCPBG00000028426,-4.763430502,-1.835343755,0.093283628,1
ENSCPBG00000028425,-2.470770791,-1.67006893,0.093430023,1
ENSCPBG00000028424,-4.531514435,-1.760792215,0.094835599,1
ENSCPBG00000028422,-1.92273977,-1.143098558,0.09507591,1
ENSCPBG00000028421,-1.352925503,0.402147649,0.096025477,1
ENSCPBG00000028420,1.51034151,-1.925094224,0.096797278,1
ENSCPBG00000028416,-2.613382375,-1.729142468,0.098942271,1
ENSCPBG00000028414,-1.326494086,-0.264308771,0.09958719,1
ENSCPBG00000028410,-2.588580018,-1.672975787,0.099641611,1
ENSCPBG00000028409,-4.148399278,-2.210051309,0.100348155,1
ENSCPBG00000028407,1.979939304,-1.641269537,0.100776376,1
ENSCPBG00000028406,-2.23694367,-1.854113105,0.101657598,1
ENSCPBG00000028405,-2.145012233,-1.341723592,0.101725008,1
ENSCPBG00000028404,1.116791912,-0.599362599,0.101893941,1
ENSCPBG00000028402,3.59578364,-2.692036746,0.10342903,1
ENSCPBG00000028400,3.595658646,-2.632108981,0.1038256,1
ENSCPBG00000028399,0.959395881,0.504456884,0.104518349,1
ENSCPBG00000028398,1.054779493,-1.018260928,0.104873421,1
ENSCPBG00000028396,1.93229338,-1.32412407,0.105920356,1
ENSCPBG00000028395,1.350865015,-0.942490209,0.107660551,1
ENSCPBG00000028394,2.328977182,-2.1250588,0.109490082,1
ENSCPBG00000028392,-1.753687324,-1.351660177,0.110835297,1
ENSCPBG00000028390,-4.475276833,-2.170589644,0.112191081,1
ENSCPBG00000028389,-1.304138253,0.503457522,0.11349355,1
ENSCPBG00000028385,-1.367076162,-0.501308471,0.115279595,1
ENSCPBG00000028384,-2.137366611,-1.295214531,0.116245057,1
ENSCPBG00000028383,3.73524402,-2.133804637,0.116651796,1
ENSCPBG00000028382,1.399618721,-1.501725129,0.117028486,1
ENSCPBG00000028381,2.390292501,-2.303250376,0.118947241,1
ENSCPBG00000028380,2.86569995,-2.329803426,0.11910698,1
ENSCPBG00000028379,-0.874916542,1.196695519,0.119519245,1
ENSCPBG00000028377,-4.770092882,-2.162434183,0.120164375,1
ENSCPBG00000028376,-0.74245682,1.858013777,0.120655906,1
ENSCPBG00000028375,1.22221556,0.405609006,0.12083215,1
ENSCPBG00000028374,5.50346771,-2.137083529,0.122655346,1
ENSCPBG00000028373,4.51627199,-2.673377765,0.122712616,1
ENSCPBG00000028371,-4.494198648,-2.115015059,0.122868112,1
ENSCPBG00000028370,1.646758162,-2.11757155,0.123370482,1
ENSCPBG00000028369,-2.895053465,-1.485993202,0.123724924,1
ENSCPBG00000028368,0.88908404,1.625027996,0.124961439,1
ENSCPBG00000028367,1.415804048,-1.642174177,0.127075192,1
ENSCPBG00000028363,2.049195785,-1.986397413,0.127410503,1
ENSCPBG00000028362,4.135780309,-2.617529527,0.127581699,1
ENSCPBG00000028361,1.139064293,-0.765063748,0.127627931,1
ENSCPBG00000028360,-4.245036917,-1.974095854,0.128206318,1
ENSCPBG00000028358,2.723106448,-2.537593932,0.129391909,1
ENSCPBG00000028357,1.552689468,-1.494127798,0.129893799,1
ENSCPBG00000028354,1.185234101,-0.371198935,0.131421694,1
ENSCPBG00000028347,3.754312965,-2.768826267,0.131574372,1
ENSCPBG00000028344,3.754312965,-2.768826267,0.131574372,1
ENSCPBG00000028343,3.754312965,-2.768826267,0.131574372,1
ENSCPBG00000028342,1.872840304,-2.343791719,0.132943241,1
ENSCPBG00000028340,1.016972276,0.15609561,0.132969207,1
ENSCPBG00000028333,-1.282431827,0.205191991,0.133161878,1
ENSCPBG00000028327,-1.588932774,-2.077056372,0.134364811,1
ENSCPBG00000028324,1.949095469,-1.872760723,0.134703152,1
ENSCPBG00000028323,-1.258041659,1.425324763,0.134720437,1
ENSCPBG00000028320,-1.805309383,-1.754929138,0.136090976,1
ENSCPBG00000028316,1.318927395,-0.583370191,0.136558755,1
ENSCPBG00000028309,2.554287002,-1.87614343,0.136675429,1
ENSCPBG00000028308,1.130910334,-0.64178376,0.137794285,1
ENSCPBG00000028301,1.406846926,-0.288207007,0.138307011,1
ENSCPBG00000028300,0.682469696,1.571710895,0.139660073,1
ENSCPBG00000028299,2.315293128,-1.347103253,0.140643556,1
ENSCPBG00000028297,0.691430773,2.079292172,0.141833945,1
ENSCPBG00000028294,3.765828454,-2.439790373,0.14347049,1
ENSCPBG00000028293,4.199919356,-2.581714374,0.143593607,1
ENSCPBG00000028289,2.321187421,-1.533055802,0.144823864,1
ENSCPBG00000028288,1.505183255,-0.942808466,0.144971781,1
ENSCPBG00000028286,-0.923440714,6.509366857,0.146593381,1
ENSCPBG00000028285,2.917796932,-2.285538072,0.146829205,1
ENSCPBG00000028279,1.77334459,-2.422476148,0.146896122,1
ENSCPBG00000028278,0.879768524,2.524450102,0.147218888,1
ENSCPBG00000028276,4.201051075,-2.67227176,0.147705382,1
ENSCPBG00000028275,1.537828968,-1.730716092,0.148772414,1
ENSCPBG00000028273,2.172997805,-2.046624418,0.149058684,1
ENSCPBG00000028271,2.347961088,-2.536205587,0.149880792,1
ENSCPBG00000028270,1.382761682,-0.29529636,0.151099849,1
ENSCPBG00000028269,1.272108469,-1.901642996,0.151320461,1
ENSCPBG00000028268,-1.063766858,1.818837582,0.15237151,1
ENSCPBG00000028266,2.391605256,-1.947953102,0.152521292,1
