,logFC,logCPM,PValue,QValue
ENSCPBG00000021318,0,-2.92443984078305,1,1
ENSCPBG00000014498,-0.0718816675833894,0.287357736231446,1,1
ENSCPBG00000004815,-0.198496331455315,1.91693337712149,0.930602835015101,1
ENSCPBG00000004641,0.356083556831542,3.00952416746544,0.709956756145326,1
ENSCPBG00000002755,-0.223825035216643,3.03258630990826,0.908349944086635,1
ENSCPBG00000028372,0.189593309493074,4.19132536594079,0.634271724916185,1
ENSCPBG00000024634,0,-2.92443984078305,1,1
ENSCPBG00000023712,0,-2.92443984078305,1,1
ENSCPBG00000022554,0,-2.92443984078305,1,1
ENSCPBG00000022134,0,-2.92443984078305,1,1
ENSCPBG00000021714,0,-2.92443984078305,1,1
ENSCPBG00000021014,-2.76624002198169,-1.46319200590959,0.297614488142936,1
ENSCPBG00000020177,-0.0220828330200936,2.57180268097063,1,1
ENSCPBG00000018823,-0.343990860298654,3.91401235609909,0.404121505823246,1
ENSCPBG00000017998,2.19133387617715,-2.87822393480994,0.666666666666666,1
ENSCPBG00000017288,0,-2.92443984078305,1,1
ENSCPBG00000017260,0,-2.92443984078305,1,1
ENSCPBG00000016241,0,-2.92443984078305,1,1
ENSCPBG00000016020,0,-2.92443984078305,1,1
ENSCPBG00000014801,1.03842621686437,-2.1014155892107,0.584723303696358,1
ENSCPBG00000014213,-0.430707198894116,0.00407804324190077,0.856125701252106,1
ENSCPBG00000013646,-0.102864891379618,4.98847973672791,0.867443350426657,1
ENSCPBG00000012991,0.172626581550944,4.27488360806987,0.71466692933768,1
ENSCPBG00000012751,0.0402623858943615,6.32094004085982,0.895570244512349,1
ENSCPBG00000011701,0,-2.92443984078305,1,1
ENSCPBG00000010870,2.31898423676773,-2.78137693508264,0.666666666666666,1
ENSCPBG00000009971,-2.18591630961148,-2.64651366285059,1,1
ENSCPBG00000009852,0.0969961046547229,-1.19772848773636,0.939174576393896,1
ENSCPBG00000009612,-0.169005858440043,6.02978771414332,0.745585385088103,1
ENSCPBG00000008608,0,-2.92443984078305,1,1
ENSCPBG00000008397,0,-2.80543053547126,1,1
ENSCPBG00000008352,0.0214771640493396,3.33557841349972,0.941334387092761,1
ENSCPBG00000007901,0,-2.92443984078305,1,1
ENSCPBG00000007597,-0.137597782913424,-1.12674352270131,1,1
ENSCPBG00000007575,0,-2.92443984078305,1,1
ENSCPBG00000006806,0.179132533554163,8.69365592318408,0.688208940643079,1
ENSCPBG00000006288,0,-2.86393882093421,1,1
ENSCPBG00000006187,0.304244910009098,4.22760689376886,0.452714351207625,1
ENSCPBG00000004592,0,-2.92443984078305,1,1
ENSCPBG00000004419,0.138053548013963,7.27646161096405,0.837983753416685,1
ENSCPBG00000004409,-0.00783678820220459,7.97485355045789,0.924456930999891,1
ENSCPBG00000004148,0.59831728492502,0.11718877888471,0.45268268450854,1
ENSCPBG00000003947,0.18541674204091,-1.87597557784574,0.882669903022054,1
ENSCPBG00000003871,-0.923440714404959,6.50936685722673,0.146593380719863,1
ENSCPBG00000003707,-1.23146190349886,-0.308093540029206,0.174931510052625,1
ENSCPBG00000003490,0,-2.92443984078305,1,1
ENSCPBG00000003056,0.0542177597987843,5.69970668070898,0.881502459931104,1
ENSCPBG00000003052,0.0958885664410813,-0.547670742656412,0.924855483960105,1
