,logFC,logCPM,PValue,QValue
ENSCPBG00000019034,6.71528227177165,4.33726723231675,2.6219175324574e-07,0.005305947382219
ENSCPBG00000019028,6.66053882435349,4.85325983045818,4.98351402481357e-07,0.005305947382219
ENSCPBG00000007991,4.63976807200445,2.8244958045972,7.57118060044122e-05,0.480675847838228
ENSCPBG00000019024,6.86604108980618,3.76940591975674,9.02931995563498e-05,0.480675847838228
ENSCPBG00000021318,0,-2.92443984078305,1,1
ENSCPBG00000014498,-0.0587655077063708,0.287357736231446,1,1
ENSCPBG00000004815,-0.317878700014486,1.91693337712149,0.848288137920643,1
ENSCPBG00000004641,0.568572282275333,3.00952416746544,0.592163953382523,1
ENSCPBG00000002755,0.107563988875162,3.03258630990826,0.862806995464713,1
ENSCPBG00000028372,-0.289870223317259,4.19132536594079,0.531939453469088,1
ENSCPBG00000024634,0,-2.92443984078305,1,1
ENSCPBG00000023712,0,-2.92443984078305,1,1
ENSCPBG00000022554,0,-2.92443984078305,1,1
ENSCPBG00000022134,0,-2.92443984078305,1,1
ENSCPBG00000021714,0,-2.92443984078305,1,1
ENSCPBG00000021014,-0.367814859875661,-1.46319200590959,0.989381706662997,1
ENSCPBG00000020177,0.390787712467139,2.57180268097063,0.743133295621428,1
ENSCPBG00000018823,-0.0393676361869369,3.91401235609909,0.951605914899548,1
ENSCPBG00000017998,0,-2.87822393480994,1,1
ENSCPBG00000017288,0,-2.92443984078305,1,1
ENSCPBG00000017260,0,-2.92443984078305,1,1
ENSCPBG00000016241,0,-2.92443984078305,1,1
ENSCPBG00000016020,0,-2.92443984078305,1,1
ENSCPBG00000014801,1.02499022666936,-2.1014155892107,0.584723303696358,1
ENSCPBG00000014213,-1.34924271341124,0.00407804324190077,0.468508344595626,1
ENSCPBG00000013646,-0.0745051637134974,4.98847973672791,0.915164966317553,1
ENSCPBG00000012991,0.0587830059350895,4.27488360806987,0.881556648118094,1
ENSCPBG00000012751,-0.145301891430321,6.32094004085982,0.738483764764122,1
ENSCPBG00000011701,0,-2.92443984078305,1,1
ENSCPBG00000010870,0,-2.78137693508264,1,1
ENSCPBG00000009971,-2.11605401223813,-2.64651366285059,1,1
