"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","5.576083767000972e-9","8.253670710650178","14832","582","495","20166","RPS19,PPP1R12C,RPL17,IFNW1,DNAI1,RUSC2,TPM2,TTC33,F2R,ENC1,BTF3,NFIB,RPS6,IFNK,FAM189A2,SHC3,CKS2,TPPP2,RNF38,SLC26A1,MEF2C,COX7C,GNG10,SMC2,TXN,SEMA6A,PLEKHO1,MINDY1,CD48,SLAMF8,BCAN,RHBG,RPS27,TPM3,SHC1,CKS1B,SNAPIN,ILF2,RUSC1,MCL1,FCRL4,ERLEC1,SSTR4,RIN2,XDH,NRXN1,CDC42BPA,OVOL2,SLC22A7,CNIH3,CNIH4,MIA3,PFN3,CAMKMT,SIX3,CALM2,DNAH8,VEGFA,CYP1B1,SMYD3,MYB,THEMIS,TRAPPC3L,SESN1,PRDM1,BORCS6,COX7A2,EEF1A1,KLHL31,YWHAQ,ODC1,GDF7,FKBP1B,IFT172,MSRA,FAM167A,CRISP3,RHAG,MEP1A,ZNF302,H3F3B,MYADML2,PECAM1,MILR1,FAM20A,MAP2K6,TTYH2,BTBD17,SLC26A11,NME1,SUMO2,ANKRD33,BCDIN3D,ASIC1,BANF1,GYS1,NAB2,RPS26,TUBA1C,TUBA1A,TUBA1B,PRKAG1,PCBP2,TARBP2,HNRNPA1,CRHR1,MRC2,KANSL1,GNGT2,SKAP1,KRT13,KLHL10,SCAP,ACKR2,PRKAG2,VIM,HEPACAM2,AHR,SKAP2,THRB,EOMES,CCR5,CCR2,XCR1,TRAK1,RPSAP58,CCR8,CX3CR1,CCR4,TRANK1,LRRFIP2,GLI3,SEC61G,TPPP,PRL,SOX4,NUP153,GFOD1,F13A1,TUBB2B,SERPINB6,CDH18,ANKRD33B,MARCHF6,ATPSCKMT,COBL,AHRR,GALR1,MEP1B,RPS20,RPL7,TMEM70,JPH1,NECAB1,MATN2,RPL30,YWHAZ,AZIN1,FZD6,COL14A1,KCNQ3,EEF1D,CEP41,CALML3,LMOD2,SLC16A7,LYZ,H2AFJ,H3-4,CHADL,CYTH4,KCTD17,CHRM2,IQSEC3,ADIPOR2,AKR1B10,ETNK1,UPK3A,NTF3,CSTA,FAM162A,SCNN1A,GAPDH,PRSS2,PRSS3,GPR15,NXPE3,CD200,ARL6,HMGN1,MAOA,IL1RAPL1,ARX,SAT1,CNKSR2,BMX,GPM6B,WWC3,RPL31,SOWAHC,SLC10A2,KCTD12,LMO7,TPT1,SETDB2,PHF11,HMGB1,RPL21,MMP7,SESN3,RPS3,HBE1,CCKBR,APBB1,IGSF1,DLGAP4,RALY,NECAB3,YWHAB,EEF1A2,UCKL1,SIRPA,FKBP1A,DNMT3B,LBP,PLTP,CTSZ,ARVCF,TRMT2A,STX2,GTF2H3,RHOF,PPP1CC,PHETA1,RPL6,HPS4,PITPNB,HSCB,PLA2G1B,ANTXR1,PPP2R2A,ZMAT4,AP3M2,COX5B,PPIA,UBE2D2,APBB3,PCDHGC3,WWC1,GABRG2,MFAP3,CAMK2A,HNRNPA0,SOWAHA,PPP2R2B,FAM20C,CYP3A4,CYP3A5,ACTB,MSLN,RPS2,PKD1,RBBP6,RPS15A,NUBP1,ABAT,HBA1,CFAP70,NUBP2,IFT140,HMGN4,THEMIS2,SESN2,TRAPPC3,AK2,AZIN2,PABPC4,UMOD,KIAA0895L,TPPP3,CNOT1,MT3,NECAB2,ZNF423,UQCRFS1,GAN,CPNE7,NIP7,TYK2,MECP2,NFIX,C3,MEPCE,RPL29,OASL,ABHD6,PROK2,MBD4,IFT122,PLP1,BTK,TRMT2B,OGT,PHF6,CAPN6,RPL39L,HMGB3,SPOCK3,MFAP3L,CBR4,WWC2,HAND2,FBXO8,HPGD,GPM6A,WDR17,ASB5,SPCS3,VEGFC,GC,ALB,QRFPR,RPL7L1,CAMK2D,ALPK1,CFI,UBE2D3,MTMR7,DLC1,CEP135,SLC10A4,RPL9,FGFBP2,PPP2R2C,RNF4,NAT8L,CTNNA2,PANK2,FBXO41,KLHL20,RNASEL,IER5,FAM20B,RPL5,GFI1,NFIA,PDE4B,TMEM141,RGS3,RPL12,NUP214,RPL7A,DAB2IP,STRBP,PBX3,DUOX2,CYP1A2,CYP1A1,ZP3,SCAPER,DNAJA4,USP3,RPS27L,TPM1,MINDY2,CGNL1,BCL2L10,BCL2A1,RHCG,KLHL25,PARP16,TLE3,LDB3,MBL2,CTNNA3,ZNF365,RHOBTB1,MYPN,RPS24,USP54,LRRC18,FAS,IFIT5,FFAR4,POLL,ITPRIP,PNLIPRP1,NANOS1,PPP2R2D,PPP1CA,STX3,BAAT,BUB1B,BDNF,ZNF143,RPL27A,ABCC8,LDHA,BRSK1,CHKA,FTH1,TNKS1BP1,FAM180B,SLC8A3,FOXG1,G2E3,NUBPL,ZNF410,TTC8,EVL,CDC42BPB,BRF1,SIX1,CNIH1,TRIM41,CENPA,CD1B,CD1C,TRA2B,BOK,SUMO3,PLSCR1,NCBP2,SLC51A,FYTTD1,RPL35A,PIK3CA,NLGN1,TNIK,PFN2,TM4SF4,TM4SF1,TM4SF18,KANSL1L,SPAG16,LRRFIP1,UGT1A1,AOX1,EEF1B2,MTX2,CHN1,COBLL1,PLA2R1,PRKAG3,GLI2,DBI,DPP10,TANC1,WDSUB1,BAZ2B,MARCHF7,TUBA3E,SNRPE,ETNK2,TMCC2,C4BPA,NGF,RPL10A,BTN1A1,NFIC,TLE5,CELF5,MYO1F,ZAP70,HCN2,ADAMTSL5,MYH7,MKS1,GTF2IRD1,COL26A1,TMEM248,RPL23A,VPS53,MRM1,SMTNL2,HSPA8,TECTA,CBL,HINFP,DRD2,PTS,ECH1,RPL22,KLHL17,CA6,SLC2A5,NMNAT1,RBP7,CENPS,ZBTB17,CTRC,EPHA8,YBX1,PPCS,ND1"
"GO:MF","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity","GO:0050510","0.0003653406498862208","3.4373020030164008","4","582","4","20166","CHSY3,CHPF2,CHSY1,CHPF"
"GO:MF","estrogen 16-alpha-hydroxylase activity","GO:0101020","0.0005455709922666659","3.2631487289553633","8","582","5","20166","CYP1B1,CYP3A4,CYP3A5,CYP1A2,CYP1A1"
"GO:MF","G protein-coupled peptide receptor activity","GO:0008528","0.0007209953953337963","3.142067508910958","148","582","17","20166","F2R,SSTR4,CRHR1,ACKR2,CCR5,CCR2,XCR1,CCR8,CX3CR1,CCR4,GALR1,CCKBR,MCHR2,QRFPR,CCKAR,LTB4R,GPR171"
"GO:MF","peptide receptor activity","GO:0001653","0.0012551791612978142","2.901294279593598","154","582","17","20166","F2R,SSTR4,CRHR1,ACKR2,CCR5,CCR2,XCR1,CCR8,CX3CR1,CCR4,GALR1,CCKBR,MCHR2,QRFPR,CCKAR,LTB4R,GPR171"
"GO:MF","C-C chemokine receptor activity","GO:0016493","0.001402819341171546","2.8529982549760424","23","582","7","20166","ACKR2,CCR5,CCR2,XCR1,CCR8,CX3CR1,CCR4"
"GO:MF","chemokine binding","GO:0019956","0.0017907766209480421","2.746958584078371","33","582","8","20166","ACKR2,CCR5,CCR2,XCR1,CCR8,CX3CR1,CCR4,HMGB1"
"GO:MF","C-C chemokine binding","GO:0019957","0.0019313209753999193","2.7141455427608565","24","582","7","20166","ACKR2,CCR5,CCR2,XCR1,CCR8,CX3CR1,CCR4"
"GO:MF","structural molecule activity","GO:0005198","0.003398162124255143","2.468755905046207","1097","582","58","20166","RPS19,RPL17,TPM2,RPS6,RPS27,H3F3B,RPS26,TUBA1C,TUBA1A,TUBA1B,KRT13,VIM,RPSAP58,NUP153,TUBB2B,RPS20,RPL7,JPH1,MATN2,RPL30,COL14A1,H2AFJ,H3-4,CHADL,RPL31,RPL21,RPS3,TUBB1,STX2,RPL6,ACTB,RPS2,RPS15A,UMOD,RPL29,RPS4Y1,PLP1,RPL39L,RPL7L1,RPL9,CTNNA2,RPL5,RPL12,NUP214,RPL7A,ZP3,RPS27L,TPM1,RPS24,RPL27A,CENPA,RPL35A,TUBA3E,RPL10A,RPL36,RPL23A,TECTA,RPL22"
"GO:MF","G protein-coupled chemoattractant receptor activity","GO:0001637","0.003490885706262258","2.457064370020592","26","582","7","20166","ACKR2,CCR5,CCR2,XCR1,CCR8,CX3CR1,CCR4"
