source,term_name,term_id,highlighted,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:MF,G protein-coupled receptor activity,GO:0004930,TRUE,5.99E-39,38.22290794,837,1167,158,20195,"ENSG00000178586,ENSG00000182083,ENSG00000189181,ENSG00000169214,ENSG00000181499,ENSG00000181803,ENSG00000196099,ENSG00000221931,ENSG00000225781,ENSG00000255804,ENSG00000134830,ENSG00000140030,ENSG00000142511,ENSG00000166363,ENSG00000170683,ENSG00000170782,ENSG00000170790,ENSG00000171049,ENSG00000171051,ENSG00000171860,ENSG00000175398,ENSG00000177464,ENSG00000179919,ENSG00000181104,ENSG00000182162,ENSG00000187474,ENSG00000197405,ENSG00000206474,ENSG00000214943,ENSG00000279000,ENSG00000110148,ENSG00000128310,ENSG00000163394,ENSG00000166573,ENSG00000171942,ENSG00000172209,ENSG00000172519,ENSG00000178015,ENSG00000186188,ENSG00000186723,ENSG00000186867,ENSG00000243729,ENSG00000126251,ENSG00000126262,ENSG00000126266,ENSG00000148215,ENSG00000154165,ENSG00000166368,ENSG00000169208,ENSG00000170128,ENSG00000170605,ENSG00000172377,ENSG00000172640,ENSG00000173080,ENSG00000178358,ENSG00000182634,ENSG00000185897,ENSG00000186440,ENSG00000186509,ENSG00000186513,ENSG00000196248,ENSG00000197309,ENSG00000197591,ENSG00000198674,ENSG00000234560,ENSG00000236981,ENSG00000254737,ENSG00000255582,ENSG00000256574,ENSG00000279051,ENSG00000138271,ENSG00000149295,ENSG00000170255,ENSG00000171936,ENSG00000172289,ENSG00000172772,ENSG00000172935,ENSG00000172938,ENSG00000174944,ENSG00000174946,ENSG00000174957,ENSG00000175514,ENSG00000176231,ENSG00000177174,ENSG00000179817,ENSG00000179826,ENSG00000180475,ENSG00000181072,ENSG00000182170,ENSG00000183695,ENSG00000184350,ENSG00000184933,ENSG00000197532,ENSG00000204687,ENSG00000221813,ENSG00000063176,ENSG00000120088,ENSG00000121797,ENSG00000121807,ENSG00000127364,ENSG00000127366,ENSG00000128519,ENSG00000132671,ENSG00000135569,ENSG00000146378,ENSG00000160791,ENSG00000163823,ENSG00000164120,ENSG00000164849,ENSG00000164930,ENSG00000169777,ENSG00000173250,ENSG00000179934,ENSG00000182631,ENSG00000183625,ENSG00000183813,ENSG00000185899,ENSG00000196639,ENSG00000213903,ENSG00000213906,ENSG00000221855,ENSG00000221937,ENSG00000236398,ENSG00000257138,ENSG00000263715,ENSG00000144648,ENSG00000146399,ENSG00000168329,ENSG00000169327,ENSG00000172320,ENSG00000172324,ENSG00000172362,ENSG00000172365,ENSG00000172459,ENSG00000172769,ENSG00000173578,ENSG00000176495,ENSG00000181273,ENSG00000181518,ENSG00000181609,ENSG00000181616,ENSG00000181785,ENSG00000187747,ENSG00000196098,ENSG00000196119,ENSG00000196578,ENSG00000197786,ENSG00000197938,ENSG00000198283,ENSG00000206536,ENSG00000221996,ENSG00000230301,ENSG00000231192,ENSG00000231861,ENSG00000232382,ENSG00000233412,ENSG00000236032,ENSG00000255307"
GO:MF,signaling receptor activity,GO:0038023,FALSE,6.08E-35,34.21602079,1494,1167,215,20195,"ENSG00000178586,ENSG00000182083,ENSG00000189181,ENSG00000011028,ENSG00000054219,ENSG00000153246,ENSG00000169214,ENSG00000181499,ENSG00000181803,ENSG00000196099,ENSG00000221931,ENSG00000225781,ENSG00000255804,ENSG00000134830,ENSG00000140030,ENSG00000142511,ENSG00000166363,ENSG00000170683,ENSG00000170782,ENSG00000170790,ENSG00000171049,ENSG00000171051,ENSG00000171860,ENSG00000175398,ENSG00000177464,ENSG00000179919,ENSG00000181104,ENSG00000182162,ENSG00000187474,ENSG00000197405,ENSG00000206474,ENSG00000214943,ENSG00000279000,ENSG00000110148,ENSG00000128310,ENSG00000163394,ENSG00000166573,ENSG00000171942,ENSG00000172209,ENSG00000172519,ENSG00000178015,ENSG00000186188,ENSG00000186723,ENSG00000186867,ENSG00000243729,ENSG00000129988,ENSG00000187908,ENSG00000126251,ENSG00000126262,ENSG00000126266,ENSG00000148215,ENSG00000154165,ENSG00000166368,ENSG00000169208,ENSG00000170128,ENSG00000170605,ENSG00000172377,ENSG00000172640,ENSG00000173080,ENSG00000178358,ENSG00000182634,ENSG00000185897,ENSG00000186440,ENSG00000186509,ENSG00000186513,ENSG00000196248,ENSG00000197309,ENSG00000197591,ENSG00000198674,ENSG00000234560,ENSG00000236981,ENSG00000254737,ENSG00000255582,ENSG00000256574,ENSG00000279051,ENSG00000007908,ENSG00000026103,ENSG00000105366,ENSG00000105383,ENSG00000106546,ENSG00000125675,ENSG00000138271,ENSG00000140678,ENSG00000144136,ENSG00000149295,ENSG00000164465,ENSG00000168575,ENSG00000168995,ENSG00000170255,ENSG00000171936,ENSG00000172289,ENSG00000172772,ENSG00000172935,ENSG00000172938,ENSG00000174944,ENSG00000174946,ENSG00000174957,ENSG00000175514,ENSG00000176231,ENSG00000177174,ENSG00000179817,ENSG00000179826,ENSG00000179915,ENSG00000180475,ENSG00000181072,ENSG00000182170,ENSG00000183695,ENSG00000184350,ENSG00000184933,ENSG00000186074,ENSG00000189108,ENSG00000197532,ENSG00000204687,ENSG00000221813,ENSG00000232629,ENSG00000283321,ENSG00000006071,ENSG00000006831,ENSG00000008710,ENSG00000063176,ENSG00000070886,ENSG00000092096,ENSG00000105483,ENSG00000113327,ENSG00000120088,ENSG00000121797,ENSG00000121807,ENSG00000125498,ENSG00000127364,ENSG00000127366,ENSG00000128519,ENSG00000132518,ENSG00000132671,ENSG00000135569,ENSG00000145451,ENSG00000146378,ENSG00000147255,ENSG00000151090,ENSG00000160791,ENSG00000162897,ENSG00000163823,ENSG00000164120,ENSG00000164849,ENSG00000164930,ENSG00000167633,ENSG00000169604,ENSG00000169760,ENSG00000169777,ENSG00000170909,ENSG00000173250,ENSG00000179934,ENSG00000182631,ENSG00000183625,ENSG00000183813,ENSG00000185899,ENSG00000187323,ENSG00000189013,ENSG00000196126,ENSG00000196639,ENSG00000213903,ENSG00000213906,ENSG00000221855,ENSG00000221937,ENSG00000236398,ENSG00000243772,ENSG00000257138,ENSG00000263715,ENSG00000285947,ENSG00000116824,ENSG00000117090,ENSG00000117091,ENSG00000122223,ENSG00000132704,ENSG00000143297,ENSG00000144648,ENSG00000146399,ENSG00000158714,ENSG00000160856,ENSG00000163518,ENSG00000163534,ENSG00000168329,ENSG00000169327,ENSG00000172320,ENSG00000172324,ENSG00000172362,ENSG00000172365,ENSG00000172459,ENSG00000172769,ENSG00000173578,ENSG00000176495,ENSG00000181036,ENSG00000181273,ENSG00000181518,ENSG00000181609,ENSG00000181616,ENSG00000181785,ENSG00000187747,ENSG00000187997,ENSG00000196098,ENSG00000196119,ENSG00000196578,ENSG00000197786,ENSG00000197938,ENSG00000198283,ENSG00000206536,ENSG00000221996,ENSG00000230301,ENSG00000231192,ENSG00000231861,ENSG00000232382,ENSG00000233412,ENSG00000236032,ENSG00000255307,ENSG00000261371,ENSG00000271605"
GO:MF,molecular transducer activity,GO:0060089,FALSE,6.08E-35,34.21602079,1494,1167,215,20195,"ENSG00000178586,ENSG00000182083,ENSG00000189181,ENSG00000011028,ENSG00000054219,ENSG00000153246,ENSG00000169214,ENSG00000181499,ENSG00000181803,ENSG00000196099,ENSG00000221931,ENSG00000225781,ENSG00000255804,ENSG00000134830,ENSG00000140030,ENSG00000142511,ENSG00000166363,ENSG00000170683,ENSG00000170782,ENSG00000170790,ENSG00000171049,ENSG00000171051,ENSG00000171860,ENSG00000175398,ENSG00000177464,ENSG00000179919,ENSG00000181104,ENSG00000182162,ENSG00000187474,ENSG00000197405,ENSG00000206474,ENSG00000214943,ENSG00000279000,ENSG00000110148,ENSG00000128310,ENSG00000163394,ENSG00000166573,ENSG00000171942,ENSG00000172209,ENSG00000172519,ENSG00000178015,ENSG00000186188,ENSG00000186723,ENSG00000186867,ENSG00000243729,ENSG00000129988,ENSG00000187908,ENSG00000126251,ENSG00000126262,ENSG00000126266,ENSG00000148215,ENSG00000154165,ENSG00000166368,ENSG00000169208,ENSG00000170128,ENSG00000170605,ENSG00000172377,ENSG00000172640,ENSG00000173080,ENSG00000178358,ENSG00000182634,ENSG00000185897,ENSG00000186440,ENSG00000186509,ENSG00000186513,ENSG00000196248,ENSG00000197309,ENSG00000197591,ENSG00000198674,ENSG00000234560,ENSG00000236981,ENSG00000254737,ENSG00000255582,ENSG00000256574,ENSG00000279051,ENSG00000007908,ENSG00000026103,ENSG00000105366,ENSG00000105383,ENSG00000106546,ENSG00000125675,ENSG00000138271,ENSG00000140678,ENSG00000144136,ENSG00000149295,ENSG00000164465,ENSG00000168575,ENSG00000168995,ENSG00000170255,ENSG00000171936,ENSG00000172289,ENSG00000172772,ENSG00000172935,ENSG00000172938,ENSG00000174944,ENSG00000174946,ENSG00000174957,ENSG00000175514,ENSG00000176231,ENSG00000177174,ENSG00000179817,ENSG00000179826,ENSG00000179915,ENSG00000180475,ENSG00000181072,ENSG00000182170,ENSG00000183695,ENSG00000184350,ENSG00000184933,ENSG00000186074,ENSG00000189108,ENSG00000197532,ENSG00000204687,ENSG00000221813,ENSG00000232629,ENSG00000283321,ENSG00000006071,ENSG00000006831,ENSG00000008710,ENSG00000063176,ENSG00000070886,ENSG00000092096,ENSG00000105483,ENSG00000113327,ENSG00000120088,ENSG00000121797,ENSG00000121807,ENSG00000125498,ENSG00000127364,ENSG00000127366,ENSG00000128519,ENSG00000132518,ENSG00000132671,ENSG00000135569,ENSG00000145451,ENSG00000146378,ENSG00000147255,ENSG00000151090,ENSG00000160791,ENSG00000162897,ENSG00000163823,ENSG00000164120,ENSG00000164849,ENSG00000164930,ENSG00000167633,ENSG00000169604,ENSG00000169760,ENSG00000169777,ENSG00000170909,ENSG00000173250,ENSG00000179934,ENSG00000182631,ENSG00000183625,ENSG00000183813,ENSG00000185899,ENSG00000187323,ENSG00000189013,ENSG00000196126,ENSG00000196639,ENSG00000213903,ENSG00000213906,ENSG00000221855,ENSG00000221937,ENSG00000236398,ENSG00000243772,ENSG00000257138,ENSG00000263715,ENSG00000285947,ENSG00000116824,ENSG00000117090,ENSG00000117091,ENSG00000122223,ENSG00000132704,ENSG00000143297,ENSG00000144648,ENSG00000146399,ENSG00000158714,ENSG00000160856,ENSG00000163518,ENSG00000163534,ENSG00000168329,ENSG00000169327,ENSG00000172320,ENSG00000172324,ENSG00000172362,ENSG00000172365,ENSG00000172459,ENSG00000172769,ENSG00000173578,ENSG00000176495,ENSG00000181036,ENSG00000181273,ENSG00000181518,ENSG00000181609,ENSG00000181616,ENSG00000181785,ENSG00000187747,ENSG00000187997,ENSG00000196098,ENSG00000196119,ENSG00000196578,ENSG00000197786,ENSG00000197938,ENSG00000198283,ENSG00000206536,ENSG00000221996,ENSG00000230301,ENSG00000231192,ENSG00000231861,ENSG00000232382,ENSG00000233412,ENSG00000236032,ENSG00000255307,ENSG00000261371,ENSG00000271605"
GO:MF,transmembrane signaling receptor activity,GO:0004888,FALSE,1.96E-32,31.70831388,1275,1167,190,20195,"ENSG00000178586,ENSG00000182083,ENSG00000189181,ENSG00000169214,ENSG00000181499,ENSG00000181803,ENSG00000196099,ENSG00000221931,ENSG00000225781,ENSG00000255804,ENSG00000134830,ENSG00000140030,ENSG00000142511,ENSG00000166363,ENSG00000170683,ENSG00000170782,ENSG00000170790,ENSG00000171049,ENSG00000171051,ENSG00000171860,ENSG00000175398,ENSG00000177464,ENSG00000179919,ENSG00000181104,ENSG00000182162,ENSG00000187474,ENSG00000197405,ENSG00000206474,ENSG00000214943,ENSG00000279000,ENSG00000110148,ENSG00000128310,ENSG00000163394,ENSG00000166573,ENSG00000171942,ENSG00000172209,ENSG00000172519,ENSG00000178015,ENSG00000186188,ENSG00000186723,ENSG00000186867,ENSG00000243729,ENSG00000126251,ENSG00000126262,ENSG00000126266,ENSG00000148215,ENSG00000154165,ENSG00000166368,ENSG00000169208,ENSG00000170128,ENSG00000170605,ENSG00000172377,ENSG00000172640,ENSG00000173080,ENSG00000178358,ENSG00000182634,ENSG00000185897,ENSG00000186440,ENSG00000186509,ENSG00000186513,ENSG00000196248,ENSG00000197309,ENSG00000197591,ENSG00000198674,ENSG00000234560,ENSG00000236981,ENSG00000254737,ENSG00000255582,ENSG00000256574,ENSG00000279051,ENSG00000007908,ENSG00000026103,ENSG00000105366,ENSG00000125675,ENSG00000138271,ENSG00000149295,ENSG00000170255,ENSG00000171936,ENSG00000172289,ENSG00000172772,ENSG00000172935,ENSG00000172938,ENSG00000174944,ENSG00000174946,ENSG00000174957,ENSG00000175514,ENSG00000176231,ENSG00000177174,ENSG00000179817,ENSG00000179826,ENSG00000179915,ENSG00000180475,ENSG00000181072,ENSG00000182170,ENSG00000183695,ENSG00000184350,ENSG00000184933,ENSG00000186074,ENSG00000189108,ENSG00000197532,ENSG00000204687,ENSG00000221813,ENSG00000232629,ENSG00000006071,ENSG00000008710,ENSG00000063176,ENSG00000070886,ENSG00000092096,ENSG00000113327,ENSG00000120088,ENSG00000121797,ENSG00000121807,ENSG00000127364,ENSG00000127366,ENSG00000128519,ENSG00000132671,ENSG00000135569,ENSG00000145451,ENSG00000146378,ENSG00000160791,ENSG00000162897,ENSG00000163823,ENSG00000164120,ENSG00000164849,ENSG00000164930,ENSG00000167633,ENSG00000169604,ENSG00000169777,ENSG00000170909,ENSG00000173250,ENSG00000179934,ENSG00000182631,ENSG00000183625,ENSG00000183813,ENSG00000185899,ENSG00000187323,ENSG00000189013,ENSG00000196126,ENSG00000196639,ENSG00000213903,ENSG00000213906,ENSG00000221855,ENSG00000221937,ENSG00000236398,ENSG00000257138,ENSG00000263715,ENSG00000285947,ENSG00000117090,ENSG00000132704,ENSG00000143297,ENSG00000144648,ENSG00000146399,ENSG00000160856,ENSG00000163518,ENSG00000163534,ENSG00000168329,ENSG00000169327,ENSG00000172320,ENSG00000172324,ENSG00000172362,ENSG00000172365,ENSG00000172459,ENSG00000172769,ENSG00000173578,ENSG00000176495,ENSG00000181036,ENSG00000181273,ENSG00000181518,ENSG00000181609,ENSG00000181616,ENSG00000181785,ENSG00000187747,ENSG00000187997,ENSG00000196098,ENSG00000196119,ENSG00000196578,ENSG00000197786,ENSG00000197938,ENSG00000198283,ENSG00000206536,ENSG00000221996,ENSG00000230301,ENSG00000231192,ENSG00000231861,ENSG00000232382,ENSG00000233412,ENSG00000236032,ENSG00000255307,ENSG00000261371,ENSG00000271605"
GO:MF,structural constituent of chromatin,GO:0030527,TRUE,2.20E-26,25.65754871,101,1167,45,20195,"ENSG00000115163,ENSG00000163041,ENSG00000168148,ENSG00000183598,ENSG00000184260,ENSG00000184270,ENSG00000188375,ENSG00000196747,ENSG00000196787,ENSG00000197061,ENSG00000203811,ENSG00000203852,ENSG00000246705,ENSG00000268799,ENSG00000269466,ENSG00000270882,ENSG00000274618,ENSG00000274997,ENSG00000275126,ENSG00000275221,ENSG00000276180,ENSG00000276368,ENSG00000276903,ENSG00000276966,ENSG00000277157,ENSG00000278677,ENSG00000278705,ENSG00000188486,ENSG00000158406,ENSG00000197153,ENSG00000197238,ENSG00000197409,ENSG00000197837,ENSG00000270276,ENSG00000273542,ENSG00000273983,ENSG00000274750,ENSG00000275379,ENSG00000275663,ENSG00000275714,ENSG00000277775,ENSG00000278637,ENSG00000278828,ENSG00000286522,ENSG00000287080"
GO:MF,olfactory receptor activity,GO:0004984,FALSE,1.13E-21,20.94528038,398,1167,82,20195,"ENSG00000178586,ENSG00000182083,ENSG00000189181,ENSG00000169214,ENSG00000181499,ENSG00000181803,ENSG00000196099,ENSG00000221931,ENSG00000225781,ENSG00000255804,ENSG00000166363,ENSG00000170683,ENSG00000170782,ENSG00000170790,ENSG00000175398,ENSG00000179919,ENSG00000206474,ENSG00000279000,ENSG00000171942,ENSG00000172519,ENSG00000186723,ENSG00000243729,ENSG00000148215,ENSG00000166368,ENSG00000169208,ENSG00000170605,ENSG00000172377,ENSG00000172640,ENSG00000178358,ENSG00000182634,ENSG00000186440,ENSG00000186509,ENSG00000186513,ENSG00000196248,ENSG00000197309,ENSG00000197591,ENSG00000198674,ENSG00000234560,ENSG00000236981,ENSG00000254737,ENSG00000255582,ENSG00000256574,ENSG00000279051,ENSG00000171936,ENSG00000172289,ENSG00000172772,ENSG00000174957,ENSG00000176231,ENSG00000177174,ENSG00000180475,ENSG00000184933,ENSG00000197532,ENSG00000221813,ENSG00000169327,ENSG00000172320,ENSG00000172324,ENSG00000172362,ENSG00000172365,ENSG00000172459,ENSG00000172769,ENSG00000176495,ENSG00000181273,ENSG00000181518,ENSG00000181609,ENSG00000181616,ENSG00000181785,ENSG00000187747,ENSG00000196098,ENSG00000196119,ENSG00000196578,ENSG00000197786,ENSG00000197938,ENSG00000198283,ENSG00000206536,ENSG00000221996,ENSG00000230301,ENSG00000231192,ENSG00000231861,ENSG00000232382,ENSG00000233412,ENSG00000236032,ENSG00000255307"
GO:MF,odorant binding,GO:0005549,TRUE,2.40E-18,17.62003173,104,1167,38,20195,"ENSG00000178586,ENSG00000182083,ENSG00000189181,ENSG00000148215,ENSG00000172377,ENSG00000186509,ENSG00000186513,ENSG00000197591,ENSG00000256574,ENSG00000172289,ENSG00000172772,ENSG00000174957,ENSG00000177174,ENSG00000180475,ENSG00000169327,ENSG00000172320,ENSG00000172324,ENSG00000172362,ENSG00000172365,ENSG00000172459,ENSG00000172769,ENSG00000176495,ENSG00000181273,ENSG00000181518,ENSG00000181785,ENSG00000196098,ENSG00000196119,ENSG00000196578,ENSG00000197786,ENSG00000197938,ENSG00000198283,ENSG00000206536,ENSG00000230301,ENSG00000231192,ENSG00000231861,ENSG00000232382,ENSG00000233412,ENSG00000236032"
GO:MF,structural molecule activity,GO:0005198,FALSE,2.25E-12,11.64862376,1107,1167,130,20195,"ENSG00000075886,ENSG00000123416,ENSG00000123560,ENSG00000152086,ENSG00000167552,ENSG00000167553,ENSG00000198033,ENSG00000125780,ENSG00000066032,ENSG00000109927,ENSG00000187955,ENSG00000075624,ENSG00000111450,ENSG00000140416,ENSG00000155657,ENSG00000184009,ENSG00000106404,ENSG00000115163,ENSG00000124789,ENSG00000126883,ENSG00000137267,ENSG00000137285,ENSG00000146707,ENSG00000158553,ENSG00000163041,ENSG00000168148,ENSG00000171346,ENSG00000183598,ENSG00000184260,ENSG00000184270,ENSG00000185823,ENSG00000188372,ENSG00000188375,ENSG00000196313,ENSG00000196747,ENSG00000196787,ENSG00000197061,ENSG00000203811,ENSG00000203852,ENSG00000206384,ENSG00000221900,ENSG00000246705,ENSG00000268799,ENSG00000269466,ENSG00000270882,ENSG00000272391,ENSG00000274618,ENSG00000274997,ENSG00000275126,ENSG00000275221,ENSG00000276180,ENSG00000276368,ENSG00000276903,ENSG00000276966,ENSG00000277157,ENSG00000278677,ENSG00000278705,ENSG00000284770,ENSG00000285053,ENSG00000026025,ENSG00000050555,ENSG00000058453,ENSG00000100399,ENSG00000101162,ENSG00000104369,ENSG00000124942,ENSG00000132561,ENSG00000146223,ENSG00000147604,ENSG00000149273,ENSG00000166441,ENSG00000177954,ENSG00000183091,ENSG00000186395,ENSG00000188486,ENSG00000196126,ENSG00000197756,ENSG00000198755,ENSG00000198918,ENSG00000204248,ENSG00000215182,ENSG00000243910,ENSG00000008988,ENSG00000063177,ENSG00000071082,ENSG00000089009,ENSG00000105372,ENSG00000116251,ENSG00000122026,ENSG00000122406,ENSG00000129824,ENSG00000130255,ENSG00000134419,ENSG00000137154,ENSG00000138326,ENSG00000140988,ENSG00000148303,ENSG00000156482,ENSG00000158406,ENSG00000162244,ENSG00000163682,ENSG00000166482,ENSG00000168028,ENSG00000169347,ENSG00000182899,ENSG00000197153,ENSG00000197238,ENSG00000197409,ENSG00000197728,ENSG00000197837,ENSG00000197958,ENSG00000198034,ENSG00000198242,ENSG00000215472,ENSG00000231500,ENSG00000265681,ENSG00000270276,ENSG00000273542,ENSG00000273983,ENSG00000274750,ENSG00000275379,ENSG00000275663,ENSG00000275714,ENSG00000277775,ENSG00000278637,ENSG00000278828,ENSG00000280969,ENSG00000285629,ENSG00000286522,ENSG00000287080"
GO:MF,protein heterodimerization activity,GO:0046982,TRUE,8.35E-12,11.07832972,365,1167,62,20195,"ENSG00000167552,ENSG00000134389,ENSG00000086548,ENSG00000124469,ENSG00000140379,ENSG00000140416,ENSG00000143384,ENSG00000176720,ENSG00000106546,ENSG00000115163,ENSG00000137285,ENSG00000163041,ENSG00000168148,ENSG00000183598,ENSG00000184260,ENSG00000184270,ENSG00000188375,ENSG00000196747,ENSG00000196787,ENSG00000197061,ENSG00000203811,ENSG00000203852,ENSG00000246705,ENSG00000268799,ENSG00000269466,ENSG00000270882,ENSG00000274618,ENSG00000274997,ENSG00000275126,ENSG00000275221,ENSG00000276180,ENSG00000276368,ENSG00000276903,ENSG00000276966,ENSG00000277157,ENSG00000278677,ENSG00000278705,ENSG00000081189,ENSG00000141639,ENSG00000163959,ENSG00000175279,ENSG00000186395,ENSG00000188486,ENSG00000251503,ENSG00000158406,ENSG00000197153,ENSG00000197238,ENSG00000197409,ENSG00000197837,ENSG00000241635,ENSG00000270276,ENSG00000273542,ENSG00000273983,ENSG00000274750,ENSG00000275379,ENSG00000275663,ENSG00000275714,ENSG00000277775,ENSG00000278637,ENSG00000278828,ENSG00000286522,ENSG00000287080"
GO:MF,antigen binding,GO:0003823,TRUE,6.08E-11,10.21633375,172,1167,39,20195,"ENSG00000211660,ENSG00000211666,ENSG00000211668,ENSG00000278196,ENSG00000211790,ENSG00000211937,ENSG00000211951,ENSG00000211974,ENSG00000259303,ENSG00000274576,ENSG00000211658,ENSG00000211659,ENSG00000211663,ENSG00000211673,ENSG00000198053,ENSG00000211933,ENSG00000211952,ENSG00000211956,ENSG00000211959,ENSG00000211970,ENSG00000224373,ENSG00000231475,ENSG00000259261,ENSG00000276775,ENSG00000278263,ENSG00000122194,ENSG00000196126,ENSG00000198502,ENSG00000211899,ENSG00000243772,ENSG00000117090,ENSG00000117091,ENSG00000158473,ENSG00000158477,ENSG00000158481,ENSG00000158485,ENSG00000158488,ENSG00000166482,ENSG00000169347"
