"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","4.1467271298490814e-7","6.382294541896605","14832","490","416","20166","DAB2IP,BCAN,SNRPG,TTLL11,VAMP8,RPL23A,SOWAHD,TPM1,USP54,TUBA1A,RPS26,LDB3,MYB,SLC26A1,RNF38,RHOBTB1,MFAP3,ITK,MEP1B,EEF1B2,NAB2,CTNNA3,MYPN,CBR4,MFAP3L,SEMA6A,FGFBP3,CLDN15,SLC39A2,MAPK7,STX4,PYCARD,TRAK1,ZNF423,CDC42BPB,MBL2,PPP2R2B,GPR151,BAAT,FTH1,POLL,FAS,TPPP2,FAM20A,SIX1,ABAT,EVL,IFT122,MBD4,SKAP2,SPHK2,RPL18,RPH3A,SIX3,CAMKMT,GYS1,MFAP4,DCC,SLC10A4,TPPP3,NAT8L,LRRC18,FAM20B,NEB,RPL21,HMGB3,SERPINB8,BDNF,SPOCK3,SLC10A1,SLC8A3,XCR1,CX3CR1,CCR4,MYADM,EPS8L1,TTYH1,KLHL17,PLA2G1B,SRSF9,EEF1A1,DRD2,MTX2,THRB,THEMIS,TRMT2A,PLA2R1,MARCHF7,SCAPER,CAPN6,CHN1,BAZ2B,WDSUB1,TANC1,SCNN1A,GAPDH,FAM20C,TPT1,GUCY2D,PDE4B,CHRM2,F13A1,PPP1CC,PHETA1,FYTTD1,RPL35A,MRM1,UQCRFS1,PDLIM2,RHCG,PPP2R2A,BTK,MAPK4,FAM162A,TXN,SMC2,GNG10,HMGN2,PABPC4,AZIN2,DNAI1,COX5B,DNAJA4,DUOX2,IGHM,DBI,SHC4,CEP152,EEF1D,MAG,BORCS6,ANTKMT,CNIH2,RAB1B,KLC2,RUSC1,CNIH1,VPS53,AP3M2,RHOF,FAM167A,CALM3,USP3,MINDY2,CGNL1,ZMAT4,NUBP1,OGT,INO80E,ZBTB17,COL26A1,ZNF777,CAPNS1,CHP2,LRRC14,TLE3,NIP7,IFT140,MSLN,ECH1,MT3,PSME3IP1,SLC22A17,RNASEL,PLP1,RBP7,AK2,HINFP,THEMIS2,STRBP,PHF6,TMPRSS4,MCL1,CBL,TPM3,RPS27,FBXO41,CEP41,OS9,RPS18,COL11A2,ITPRIPL1,PSMB11,RBBP6,MEPCE,KLHL25,ITLN1,PTS,SCAP,SESN2,CKS1B,HBE1,STARD13,MINK1,EPHA8,AHNAK,PLTP,CFAP70,CNOT1,TRAPPC3,PLEKHG4,HCN2,MTX1,KLHL10,IFT172,KIAA0895L,SNAPIN,CHTOP,SMTNL2,TMEM248,SLC2A5,CDH18,BRF1,TTC8,ZNF410,G2E3,FOXG1,ZNF143,ABCC8,BRSK2,MUC5AC,MUC2,CHKA,DPP10,PITPNM1,STX3,TNKS1BP1,PPP1CA,PRKAG3,GABRG2,WWC1,KANSL1L,SPAG16,AOX1,UGT1A1,CRISP3,OTOR,SETDB2,PHF11,RHAG,FKBP1B,ODC1,YWHAQ,KLHL31,GDF7,TRAPPC3L,PRDM1,SCML4,SESN1,EOMES,HMGN3,UBL4A,PLG,VEGFA,PFN3,XDH,CDC42BPA,H3-3A,CNIH3,CNIH4,NRXN1,ERLEC1,TTC33,F2R,ENC1,COX7C,MEF2C,TYK2,NFIB,CKS2,FAM189A2,NUBPL,TARBP2,PCBP2,NFIX,MECP2,ANKRD33,INPP1,PRKAG1,BCDIN3D,TTYH2,BTBD17,SLC26A11,MYH2,H3-5,SUMO2,MYADML2,LRRC8E,SLC22A7,RPL29,ITIH4,ABHD6,PROK2,TRIM7,PIK3CA,NLGN1,TNIK,PFN2,TM4SF4,TM4SF18,BOK,SUMO3,TRA2B,ITPRIP,PPP2R2D,KCTD12,LMO7,SLC10A2,WWC3,GPM6B,BMX,CNKSR2,SAT1,ARX,MAOA,GET1,HMGN1,GPM6A,HPGD,FBXO8,HAND2,ARL6,CD200,NXPE3,GPR15,HMGB1,SESN3,DLG2,KCNQ3,FZD6,AZIN1,YWHAZ,MATN2,NECAB1,RNF4,RPL7,TMEM70,JPH1,GALR1,PRL,SOX4,NUP153,GFOD1,ANKRD33B,MARCHF6,KLHL20,PDE4DIP,OVOL2,APBB3,UBE2D2,RIN2,ATPSCKMT,GFI1,TMCC2,ETNK2,SNRPE,FGFBP2,RPL10A,GPR25,HSD11B1,NGF,NECAB3,RALY,DLGAP4,YWHAB,EEF1A2,ETNK1,IQSEC3,ADIPOR2,KCTD17,CYTH4,SLC16A7,LMOD2,PPP2R2C,NTF3,UPK3A,RPL9,LIMCH1,CEP135,DLC1,MTMR7,WWC2,VEGFC,SPCS3,ASB5,WDR17,RPL7L1,ALPK1,SOWAHB,GC,CTNNA2,GAN,NECAB2,PRKAG2,VIM,HEPACAM2,GNG11,TRANK1,LRRFIP2,GLI3,SEC61G,COBL,TPPP,MARCHF10,MRC2,KANSL1,KRT15,SKAP1,GNGT2,NTF4,TECTA,HSPA8,STX2,GTF2H3,CHCHD2,ND1"
"GO:MF","nerve growth factor receptor binding","GO:0005163","0.0008796623789869062","3.055683981347129","5","490","4","20166","BDNF,NGF,NTF3,NTF4"
"GO:MF","bile acid:sodium symporter activity","GO:0008508","0.0025881370339476493","2.587012732828781","6","490","4","20166","SLC10A4,SLC10A1,SLC10A3,SLC10A2"
"GO:MF","secondary active monocarboxylate transmembrane transporter activity","GO:0015355","0.007217587699175205","2.1416079304072055","14","490","5","20166","SLC10A4,SLC10A1,SLC10A3,SLC10A2,SLC16A7"
"GO:MF","volume-sensitive anion channel activity","GO:0005225","0.020509577392867795","1.6880432883316059","9","490","4","20166","TTYH1,TTYH3,TTYH2,LRRC8E"
"GO:MF","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity","GO:0050510","0.02917088005345389","1.5350504684924795","4","490","3","20166","CHSY1,CHPF,CHSY3"
"GO:MF","volume-sensitive chloride channel activity","GO:0072320","0.02917088005345389","1.5350504684924795","4","490","3","20166","TTYH1,TTYH3,TTYH2"
"GO:MF","death receptor binding","GO:0005123","0.049538635270076646","1.3050559618769266","20","490","5","20166","DAB2IP,BDNF,NGF,NTF3,NTF4"
"GO:BP","protein metabolic process","GO:0019538","0.00001264132472401933","4.898207412589569","5462","476","180","21092","DAB2IP,TTLL11,RPL23A,USP54,RPS26,MYB,RNF38,ITK,MEP1B,EEF1B2,NAB2,MAPK7,PYCARD,TRAK1,CDC42BPB,MBL2,PPP2R2B,FAS,FAM20A,SPHK2,RPL18,CAMKMT,FAM20B,RPL21,SERPINB8,BDNF,SPOCK3,SLC8A3,CX3CR1,MYADM,CHSY1,KLHL17,PLA2G1B,EEF1A1,DRD2,MARCHF7,CAPN6,WDSUB1,GAPDH,FAM20C,GUCY2D,F13A1,PPP1CC,F13B,RPL35A,PPP2R2A,BTK,MAPK4,FAM162A,TXN,PABPC4,AZIN2,PARP6,DBI,EEF1D,ANTKMT,RAB1B,RUSC1,CALM3,USP3,MINDY2,OGT,CAPNS1,MT3,PSME3IP1,RNASEL,TMPRSS4,CBL,RPS27,CEP41,OS9,RPS18,PSMB11,RBBP6,KLHL25,ITLN1,RPL39,SESN2,CKS1B,MINK1,EPHA8,CNOT1,KLHL10,IFT172,SNAPIN,CHTOP,MPV17L2,BRF1,G2E3,BRSK2,CHKA,DPP10,TNKS1BP1,PPP1CA,CHPF,PRKAG3,NEK5,SETDB2,FKBP1B,ODC1,KLHL31,GDF7,PRDM1,CDK19,EOMES,UBL4A,PLG,VEGFA,XDH,CDC42BPA,NRXN1,ERLEC1,RPL17-C18ORF32,PARP8,F2R,ENC1,MEF2C,TYK2,CHSY3,CKS2,CELA1,TARBP2,PCBP2,MECP2,PRKAG1,SUMO2,RPL29,ITIH4,TRIM7,PIK3CA,TNIK,PFN2,BOK,SUMO3,PPP2R2D,LMO7,BMX,FBXO8,HMGB1,AZIN1,YWHAZ,NECAB1,RNF4,RPL7,SOX4,MARCHF6,KLHL20,UBE2D2,ATPSCKMT,GFI1,TMCC2,RPL10A,NGF,NECAB3,YWHAB,EEF1A2,KCTD17,APOLD1,PPP2R2C,NTF3,RPL9,LIMCH1,DLC1,MTMR7,VEGFC,SPCS3,ASB5,ALPK1,GAN,NECAB2,PRKAG2,VIM,GLI3,CHST14,TPPP,MARCHF10,KANSL1,NTF4,HSPA8,GTF2H3"
"GO:BP","transport","GO:0006810","0.000021366218856645915","4.670272327390813","4755","476","161","21092","VAMP8,TUBA1A,SLC26A1,RHOBTB1,MEP1B,CLDN15,SLC39A2,STX4,PYCARD,TRAK1,MBL2,FTH1,ABAT,IFT122,SPHK2,FFAR1,RPH3A,SLC10A4,MOGAT2,SLC10A1,SLC8A3,XCR1,TTYH1,PLA2G1B,TTYH3,CCKAR,DRD2,MTX2,PLA2R1,SCNN1A,TPT1,PDE4B,CHRM2,PPP1CC,PHETA1,FYTTD1,UQCRFS1,RHCG,BTK,TXN,AZIN2,DNAI1,COX5B,IGHM,DBI,BORCS6,ANTKMT,CNIH2,RAB1B,KLC2,GRIA3,CNIH1,VPS53,AP3M2,CALM3,CHP2,IFT140,MT3,SLC22A17,RNASEL,PLP1,RBP7,TMPRSS4,MCL1,CBL,CEP41,OS9,ITLN1,SCAP,SESN2,HBE1,MINK1,AHNAK,PLTP,TRAPPC3,CETP,HCN2,MTX1,IFT172,SNAPIN,CHTOP,SLC2A5,TTC8,ABCC8,BRSK2,CHKA,DPP10,PITPNM1,STX3,GABRG2,WWC1,SPAG16,RHAG,FKBP1B,YWHAQ,GJA10,TRAPPC3L,HMGN3,UBL4A,SLC10A3,VEGFA,XDH,CNIH3,CNIH4,NRXN1,ERLEC1,MTX3,F2R,MEF2C,MECP2,PRKAG1,TTYH2,SLC26A11,LRRC8E,SLC26A2,SLC22A7,SLC25A26,PIK3CA,NLGN1,PFN2,BOK,SLC10A2,GPM6B,GPM6A,GLRA3,ARL6,CD200,HMGB1,DLG2,KCNQ3,AZIN1,YWHAZ,SLC26A7,JPH1,GALR1,PRL,SOX4,NUP153,KLHL20,APBB3,RIN2,ATPSCKMT,NECAB3,YWHAB,APOLD1,SLC16A7,NTF3,UPK3A,VEGFC,SPCS3,GC,NECAB2,PRKAG2,GJD4,GLI3,SEC61G,SLC20A2,KCNH6,MRC2,HSPA8,STX2"
