Gene Id,Gene Name
ENSVKKG00000000002,LPGAT1
ENSVKKG00000000003,INTS7
ENSVKKG00000000004,DTL
ENSVKKG00000000005,PPP2R5A
ENSVKKG00000000006,PACC1
ENSVKKG00000000007,NENF
ENSVKKG00000000008,ATF3
ENSVKKG00000000009,BATF3
ENSVKKG00000000010,NSL1
ENSVKKG00000000011,ENSVKKG00000000011
ENSVKKG00000000012,TATDN3
ENSVKKG00000000013,ENSVKKG00000000013
ENSVKKG00000000014,FLVCR1
ENSVKKG00000000855,VASH2
ENSVKKG00000000857,ANGEL2
ENSVKKG00000000858,ENSVKKG00000000858
ENSVKKG00000000864,RPS6KC1
ENSVKKG00000000870,PROX1
ENSVKKG00000000877,SMYD2
ENSVKKG00000000887,PTPN14
ENSVKKG00000000891,CENPF
ENSVKKG00000000894,KCNK2
ENSVKKG00000000906,KCTD3
ENSVKKG00000001366,USH2A
ENSVKKG00000001452,ESRRG
ENSVKKG00000001461,ENSVKKG00000001461
ENSVKKG00000001474,GPATCH2
ENSVKKG00000001493,SPATA17
ENSVKKG00000001505,RRP15
ENSVKKG00000001510,TGFB2
ENSVKKG00000001517,LYPLAL1
ENSVKKG00000001524,SLC30A10
ENSVKKG00000001530,ENSVKKG00000001530
ENSVKKG00000001794,EPRS1
ENSVKKG00000015542,BPNT1
ENSVKKG00000015543,IARS2
ENSVKKG00000015544,RAB3GAP2
ENSVKKG00000015545,ENSVKKG00000015545
ENSVKKG00000015546,MARK1
ENSVKKG00000015547,PFN3
ENSVKKG00000015548,ENSVKKG00000015548
ENSVKKG00000015549,ENSVKKG00000015549
ENSVKKG00000015550,HLX
ENSVKKG00000015552,DUSP10
ENSVKKG00000015553,ENSVKKG00000015553
ENSVKKG00000015554,HHIPL2
ENSVKKG00000015556,TAF1A
ENSVKKG00000015558,ENSVKKG00000015558
ENSVKKG00000015563,AIDA
ENSVKKG00000015566,BROX
ENSVKKG00000015567,DISP1
ENSVKKG00000015569,ENSVKKG00000015569
ENSVKKG00000015570,SUSD4
ENSVKKG00000015574,CAPN8
ENSVKKG00000015586,CAPN2
ENSVKKG00000015587,TP53BP2
ENSVKKG00000015588,FBXO28
ENSVKKG00000015589,DEGS1
ENSVKKG00000015590,NVL
ENSVKKG00000015592,CNIH4
ENSVKKG00000015593,WDR26
ENSVKKG00000015594,CNIH3
ENSVKKG00000015595,ENSVKKG00000015595
ENSVKKG00000015597,LBR
ENSVKKG00000015598,ENAH
ENSVKKG00000015600,SRP9
ENSVKKG00000015602,EPHX1
ENSVKKG00000015606,TMEM63A
ENSVKKG00000015633,ENSVKKG00000015633
ENSVKKG00000015635,SDE2
ENSVKKG00000015638,H3-3A
ENSVKKG00000015639,ACBD3
ENSVKKG00000015642,LIN9
ENSVKKG00000015645,PARP1
ENSVKKG00000015650,STUM
ENSVKKG00000015651,ITPKB
ENSVKKG00000015653,ENSVKKG00000015653
ENSVKKG00000015655,COQ8A
ENSVKKG00000015698,CDC42BPA
ENSVKKG00000017974,XDH
ENSVKKG00000017975,ENSVKKG00000017975
ENSVKKG00000017976,ENSVKKG00000017976
ENSVKKG00000017977,ENSVKKG00000017977
ENSVKKG00000017978,GALNT14
ENSVKKG00000017979,ENSVKKG00000017979
ENSVKKG00000017980,LCLAT1
ENSVKKG00000017981,LBH
ENSVKKG00000017982,YPEL5
ENSVKKG00000017983,ENSVKKG00000017983
ENSVKKG00000017984,ALK
ENSVKKG00000017985,CLIP4
ENSVKKG00000017986,PCARE
ENSVKKG00000017987,ENSVKKG00000017987
ENSVKKG00000017988,WDR43
ENSVKKG00000017989,ENSVKKG00000017989
ENSVKKG00000017990,ENSVKKG00000017990
ENSVKKG00000017991,ENSVKKG00000017991
ENSVKKG00000017992,TRMT61B
ENSVKKG00000017993,SPDYA
ENSVKKG00000001175,PPP1CB
ENSVKKG00000001212,PLB1
ENSVKKG00000001369,FOSL2
ENSVKKG00000001390,BABAM2
ENSVKKG00000001417,RBKS
ENSVKKG00000001459,ENSVKKG00000001459
ENSVKKG00000001473,ENSVKKG00000001473
ENSVKKG00000001487,SLC4A1AP
ENSVKKG00000001503,SUPT7L
ENSVKKG00000001508,LRFN2
ENSVKKG00000001519,MOCS1
ENSVKKG00000001543,DAAM2
ENSVKKG00000001592,KIF6
ENSVKKG00000001682,KCNK16
ENSVKKG00000001688,KCNK17
ENSVKKG00000001697,KCNK5
ENSVKKG00000001704,ENSVKKG00000001704
ENSVKKG00000001712,SAYSD1
ENSVKKG00000001719,GLP1R
ENSVKKG00000001730,ENSVKKG00000001730
ENSVKKG00000001757,ENSVKKG00000001757
ENSVKKG00000001806,GLO1
ENSVKKG00000001812,BTBD9
ENSVKKG00000001818,ENSVKKG00000001818
ENSVKKG00000001828,ZFAND3
ENSVKKG00000001833,U1
ENSVKKG00000001843,MDGA1
ENSVKKG00000001873,ENSVKKG00000001873
ENSVKKG00000001926,CMTR1
ENSVKKG00000002820,RNF8
ENSVKKG00000002822,Vault
ENSVKKG00000002823,Vault
ENSVKKG00000002824,Vault
ENSVKKG00000002826,Vault
ENSVKKG00000002828,Vault
ENSVKKG00000002830,Vault
ENSVKKG00000002870,AARS2
ENSVKKG00000004206,Vault
ENSVKKG00000004207,ENSVKKG00000004207
ENSVKKG00000004213,ENSVKKG00000004213
ENSVKKG00000004216,NFKBIE
ENSVKKG00000004218,SLC35B2
ENSVKKG00000004220,HSP90AB1
ENSVKKG00000004224,SLC29A1
ENSVKKG00000004226,CAPN11
ENSVKKG00000004230,TMEM63B
ENSVKKG00000004236,MRPL14
ENSVKKG00000004239,VEGFA
ENSVKKG00000004243,MRPS18A
ENSVKKG00000004247,RSPH9
ENSVKKG00000004250,ENSVKKG00000004250
ENSVKKG00000004252,MAD2L1BP
ENSVKKG00000004335,GTPBP2
ENSVKKG00000004345,POLH
ENSVKKG00000004377,XPO5
ENSVKKG00000004425,POLR1C
ENSVKKG00000004429,YIPF3
ENSVKKG00000004434,LRRC73
ENSVKKG00000004439,ENSVKKG00000004439
ENSVKKG00000004442,DLK2
ENSVKKG00000004448,ENSVKKG00000004448
ENSVKKG00000004473,ZNF318
ENSVKKG00000004478,FAM98A
ENSVKKG00000004485,RASGRP3
ENSVKKG00000004496,LTBP1
ENSVKKG00000004509,ENSVKKG00000004509
ENSVKKG00000004513,ENSVKKG00000004513
ENSVKKG00000004515,TTC27
ENSVKKG00000004645,BIRC6
ENSVKKG00000008532,YIPF4
ENSVKKG00000008536,NLRC4
ENSVKKG00000008537,U6
ENSVKKG00000008539,CDC42EP3
ENSVKKG00000008540,ENSVKKG00000008540
ENSVKKG00000008543,ENSVKKG00000008543
ENSVKKG00000008547,ENSVKKG00000008547
ENSVKKG00000008549,NANP
ENSVKKG00000008553,EIF2AK2
ENSVKKG00000008558,GPATCH11
ENSVKKG00000008562,HEATR5B
ENSVKKG00000008582,STRN
ENSVKKG00000008684,VIT
ENSVKKG00000008711,ENSVKKG00000008711
ENSVKKG00000008714,FEZ2
ENSVKKG00000008716,CRIM1
ENSVKKG00000008724,ENSVKKG00000008724
ENSVKKG00000008727,SULT6B1
ENSVKKG00000008730,CEBPZOS
ENSVKKG00000008735,CEBPZ
ENSVKKG00000008738,NDUFAF7
ENSVKKG00000008743,PRKD3
ENSVKKG00000008748,QPCT
ENSVKKG00000008750,SLC30A6
ENSVKKG00000008754,SPAST
ENSVKKG00000000016,DPY30
ENSVKKG00000000021,MEMO1
ENSVKKG00000000091,SRD5A2
ENSVKKG00000000174,AHCTF1
ENSVKKG00000005818,ENSVKKG00000005818
ENSVKKG00000005826,SCCPDH
ENSVKKG00000005833,CNST
ENSVKKG00000005836,TFB2M
ENSVKKG00000005839,ENSVKKG00000005839
ENSVKKG00000005841,ENSVKKG00000005841
ENSVKKG00000005843,KIF26B
ENSVKKG00000005847,EFCAB2
ENSVKKG00000005851,HNRNPU
ENSVKKG00000005852,COX20
ENSVKKG00000005854,DESI2
ENSVKKG00000005856,ADSS2
ENSVKKG00000005860,ZBTB18
ENSVKKG00000005861,AKT3
ENSVKKG00000005865,ENSVKKG00000005865
ENSVKKG00000005867,CEP170
ENSVKKG00000005891,PLD5
ENSVKKG00000005894,ENSVKKG00000005894
ENSVKKG00000005895,ENSVKKG00000005895
ENSVKKG00000005900,EXO1
ENSVKKG00000005912,ENSVKKG00000005912
ENSVKKG00000005914,OPN3
ENSVKKG00000005917,PIGM
ENSVKKG00000005920,RGS7
ENSVKKG00000005922,GREM2
ENSVKKG00000005924,FMN2
ENSVKKG00000005926,CHRM3
ENSVKKG00000005933,RYR2
ENSVKKG00000006009,MTR
ENSVKKG00000006692,ACTN2
ENSVKKG00000006706,HEATR1
ENSVKKG00000006720,LGALS8
ENSVKKG00000006723,ENSVKKG00000006723
ENSVKKG00000006724,ERO1B
ENSVKKG00000006728,GPR137B
ENSVKKG00000006730,NID1
ENSVKKG00000006789,LYST
ENSVKKG00000017322,GNG4
ENSVKKG00000017323,B3GALNT2
ENSVKKG00000017324,ENSVKKG00000017324
ENSVKKG00000017325,ENSVKKG00000017325
ENSVKKG00000017326,GGPS1
ENSVKKG00000017327,ARID4B
ENSVKKG00000017328,RBM34
ENSVKKG00000017329,TOMM20
ENSVKKG00000017330,ENSVKKG00000017330
ENSVKKG00000017331,IRF2BP2
ENSVKKG00000017332,TARBP1
ENSVKKG00000017388,COA6
ENSVKKG00000017390,SLC35F3
ENSVKKG00000017395,KCNK1
ENSVKKG00000017396,MAP3K21
ENSVKKG00000017402,PCNX2
ENSVKKG00000017405,NTPCR
ENSVKKG00000017406,MAP10
ENSVKKG00000017407,SIPA1L2
ENSVKKG00000017411,ENSVKKG00000017411
ENSVKKG00000017412,DISC1
ENSVKKG00000017419,ENSVKKG00000017419
ENSVKKG00000017421,ENSVKKG00000017421
ENSVKKG00000017422,SPRTN
ENSVKKG00000017423,EXOC8
ENSVKKG00000017424,RHOU
ENSVKKG00000017426,RAB4A
ENSVKKG00000017427,CCSAP
ENSVKKG00000017431,ACTA1
ENSVKKG00000017432,NUP133
ENSVKKG00000017433,ABCB10
ENSVKKG00000017434,TAF5L
ENSVKKG00000017435,URB2
ENSVKKG00000017436,GALNT2
ENSVKKG00000017437,PGBD5
ENSVKKG00000017438,COG2
ENSVKKG00000017440,AGT
ENSVKKG00000017441,CAPN9
ENSVKKG00000017442,C1orf198
ENSVKKG00000017443,TTC13
ENSVKKG00000017444,ARV1
ENSVKKG00000017445,ENSVKKG00000017445
ENSVKKG00000017446,ENSVKKG00000017446
ENSVKKG00000017447,TRIM67
ENSVKKG00000017448,C1orf131
ENSVKKG00000017449,GNPAT
ENSVKKG00000017450,PDCD2
ENSVKKG00000017451,TBP
ENSVKKG00000017452,PSMB1
ENSVKKG00000017453,FAM120B
ENSVKKG00000017454,DLL1
ENSVKKG00000017455,ENSVKKG00000017455
ENSVKKG00000017456,ENSVKKG00000017456
ENSVKKG00000017457,ENSVKKG00000017457
ENSVKKG00000017458,TCTE3
ENSVKKG00000017459,PHF10
ENSVKKG00000017460,C6orf120
ENSVKKG00000001189,ENSVKKG00000001189
ENSVKKG00000001240,THBS2
ENSVKKG00000001312,SMOC2
ENSVKKG00000002780,ENSVKKG00000002780
ENSVKKG00000002785,ENSVKKG00000002785
ENSVKKG00000002792,ENSVKKG00000002792
ENSVKKG00000002797,ENSVKKG00000002797
ENSVKKG00000002803,DACT2
