Gene Id,Gene Name,Chrysemys picta bellii,Crocodylus porosus,Varanus komodoensis,logFC,PValue
ENSGALG00000000059,TUBB3,,,,2.61766074007617,1.06218542359309e-08
ENSGALG00000000081,IL4I1,7.0,,,6.14787382289977,1.3557088074818798e-22
ENSGALG00000000106,LRIF1,,,,0.820728175495797,0.0034409822792545
ENSGALG00000000136,BLEC2,7.0,,,7.40995719247267,3.81692648976079e-07
ENSGALG00000000141,BLB1,6.0,1.0,14.0,0.57298706935392,0.0467254014544164
ENSGALG00000000142,CEPT1,,5.0,,1.18351148066126,9.00325607345787e-06
ENSGALG00000000154,DENND2D,,,,1.44316721386942,1.59927989195104e-07
ENSGALG00000000156,BRD2,,,,0.882162705580345,0.00306378892399
ENSGALG00000000162,DMB1,,,,2.21811443926251,0.0001770432260546
ENSGALG00000000164,MYBPHL,,,,1.84301793236289,0.0156377917931157
ENSGALG00000000189,YTHDC2,,,,0.76939836799076,0.0048873767635632
ENSGALG00000000209,PRNP,,,,1.30354291167713,0.0032297822259289
ENSGALG00000000242,EBF2,,,,5.20383103353751,0.0154335748975483
ENSGALG00000000251,CD79B,,,,0.595539410688996,0.0355782151262795
ENSGALG00000000273,FER,,,,0.772349301468597,0.0216606564070948
ENSGALG00000000377,HNRNPM,,,,0.542877748593031,0.043441998551095
ENSGALG00000000378,SLC25A37,,2.0,,2.59851220637884,2.62451568158831e-09
ENSGALG00000000410,TLK2,,,,0.658700880315448,0.0224034116673505
ENSGALG00000000438,ERMP1,,,,2.35779370321114,2.3736345273407798e-11
ENSGALG00000000452,TNFRSF10B,,,,0.9867168754923,0.0048496095199699
ENSGALG00000000497,,,,,1.58771260902956,0.0022377223528537
ENSGALG00000000504,ETV7,,,,3.54557976022494,1.34820262636033e-20
ENSGALG00000000507,CPNE7,,,2.0,3.52786403972108,1.90487240374303e-06
ENSGALG00000000511,KCTD20,,,,1.17251926938403,1.85339099543063e-05
ENSGALG00000000516,FANCA,,,,3.71898075839515,6.23037080958453e-05
ENSGALG00000000521,SPIRE2,,3.0,,3.90137367711106,3.65209253771495e-10
ENSGALG00000000523,STK38,,,,0.963771033958654,0.0011511529506812
ENSGALG00000000535,ERRFI1,,,,0.64672439742732,0.038813574585825
ENSGALG00000000544,,,,,1.36147015225753,1.06407798112774e-06
ENSGALG00000000560,,,,,1.05703068788579,0.0359622819263992
ENSGALG00000000589,BTN1A1,36.0,1.0,1.0,1.62022456290572,3.89362400791914e-09
ENSGALG00000000599,MARCHF2,,,,0.94451382909638,0.0051830512090042
ENSGALG00000000616,ELF3,,,,2.10373077048268,0.0416222609586673
ENSGALG00000000619,ANGPTL4,,,,10.0624265802173,4.923139655543362e-19
ENSGALG00000000667,EDN2,,,,1.92224956985413,0.0080231766881634
ENSGALG00000000678,CITED4,,,,1.11961919548592,6.26546597577893e-05
ENSGALG00000000685,MAP3K14,,,,1.65825853352324,4.3266711832204914e-09
ENSGALG00000000690,GDPD4,,,,11.8662683652344,5.73526130299904e-44
ENSGALG00000000712,RAB29,,,,0.711123714836858,0.0258535519507212
ENSGALG00000000720,,12.0,3.0,3.0,3.6159007626777,2.89495860399387e-28
ENSGALG00000000721,SLC41A1,,,,0.796063062329471,0.0301629882894899
ENSGALG00000000723,STX12,,,,0.86023857065479,0.001875544440843
ENSGALG00000000731,THEMIS2,,3.0,3.0,4.26763824954104,3.09525342773806e-11
ENSGALG00000000783,PTAFR,,,,1.46456463819752,1.70940962547661e-05
ENSGALG00000000791,,,,,1.09519762756254,0.0483825662658172
ENSGALG00000000812,OAZ1,2.0,,,0.983025832578371,0.0041974999262771
ENSGALG00000000836,RFX5,,,,1.65387141251879,1.18542193509171e-06
ENSGALG00000000845,UVRAG,,,,1.58359967667148,2.98514061162293e-08
ENSGALG00000000866,SELENBP1,,,,1.04775449929899,0.0250387938701058
ENSGALG00000000911,IL19,,3.0,,7.10018093832418,4.76704757769431e-05
ENSGALG00000001049,,,,,0.754657936941371,0.008227896214277
ENSGALG00000001078,,,3.0,4.0,5.85314324189872,0.0053689405350319
ENSGALG00000001093,TCF3,,,,1.20554989877318,0.0009952179998544
ENSGALG00000001136,,,,,1.1719873778435,0.0001405182384502
ENSGALG00000001149,ADGRG5,,,,1.04825381984452,0.0022327012896959
ENSGALG00000001153,AUTS2,,,,2.26998904152168,0.0073110223014184
ENSGALG00000001189,NCF1C,,,,1.25483077619413,0.000526923044894
ENSGALG00000001214,PARD6A,,,,2.06100889996292,0.0246394526674871
ENSGALG00000001231,SAMHD1,,,,3.86929044189324,2.04687927077197e-20
ENSGALG00000001234,CETP,,5.0,5.0,3.63903770783083,1.2406409875061098e-11
ENSGALG00000001239,SLC26A2,,,7.0,1.53344680946948,8.94939291618006e-08
ENSGALG00000001244,,,,,3.03471048560278,0.0054304565084329
ENSGALG00000001256,NLRC5,,,,4.13039569544071,2.5121838457100493e-40
ENSGALG00000001304,,,,,1.12825406240008,0.0008193748145768
ENSGALG00000001316,CPNE2,2.0,,,1.98188651090499,3.09249826083984e-06
ENSGALG00000001331,ST14,2.0,,,0.863017472179338,0.0030393342815412
ENSGALG00000001334,GNB1,,,,0.627104651272849,0.036402858279802
