Gene Id,Gene Name,Chrysemys picta bellii,Crocodylus porosus,Varanus komodoensis,logFC,PValue
ENSVKKG00000000009,BATF3,,,,1.44173790855512,0.0147247346869599
ENSVKKG00000000060,CPNE8,,,,1.26300647455103,1.54427438931405e-05
ENSVKKG00000000064,ENSVKKG00000000064,10.0,,,2.02372478978286,0.0001534264906944
ENSVKKG00000000069,CSTF3,,,,0.829732293362249,0.010319236972755
ENSVKKG00000000108,ATP6V0D2,,,,0.726512273394132,0.0094943105269974
ENSVKKG00000000128,NUB1,,,,0.774534757589508,0.0071239053821016
ENSVKKG00000000137,ZDHHC3,,,,0.733286311798565,0.0066132744401445
ENSVKKG00000000146,ENSVKKG00000000146,21.0,5.0,2.0,1.96237629651326,1.30429789390875e-08
ENSVKKG00000000274,CNN3,,,,2.45463896558495,1.12277826727151e-08
ENSVKKG00000000291,SLC44A3,,,,2.41456810484384,0.0197254066238447
ENSVKKG00000000308,NET1,,,,1.78739305177345,2.3710626867962e-08
ENSVKKG00000000325,F3,,,,4.2042417354759,6.14594236377917e-08
ENSVKKG00000000333,STN1,,,,1.5231900217438,0.0083357434888832
ENSVKKG00000000372,ENSVKKG00000000372,,,5.0,1.08083678904865,0.0218118946727013
ENSVKKG00000000441,PRF1,,,,2.45506462676428,5.3845809405340386e-11
ENSVKKG00000000453,ANGPT2,,,,3.64640193449231,0.0001832912730538
ENSVKKG00000000511,ENSVKKG00000000511,,,,5.04553183274527,0.0371647036934986
ENSVKKG00000000588,PRRG4,,,,1.19172338232339,0.0049629075634857
ENSVKKG00000000601,CTSO,,,,1.65868266551682,0.0175999301348777
ENSVKKG00000000629,ENSVKKG00000000629,1.0,1.0,5.0,1.05070712057635,0.0004415534223325
ENSVKKG00000000661,FMNL3,,,,1.53962412722293,0.0001671259479075
ENSVKKG00000000689,SMCHD1,,,,2.10835797749682,2.5562015594379198e-11
ENSVKKG00000000720,ENSVKKG00000000720,,,,0.737723902621684,0.0299200259793637
ENSVKKG00000000759,HAUS3,,,,1.37537486407728,0.0075978792103547
ENSVKKG00000000791,GCM1,,,,1.71619699407389,0.0476991647468803
ENSVKKG00000000884,ENSVKKG00000000884,63.0,,,5.48109432375897,5.3485956541538296e-12
ENSVKKG00000000896,ENSVKKG00000000896,63.0,,,1.59490933815125,0.0024194786353564
ENSVKKG00000000900,ENSVKKG00000000900,9.0,2.0,23.0,0.853128293334011,0.0117638275489271
ENSVKKG00000000908,ENSVKKG00000000908,63.0,,,3.06466212540527,1.42365587466748e-24
ENSVKKG00000000919,PLA2G15,,,,1.45366683125943,0.0047720985054057
ENSVKKG00000000935,ENSVKKG00000000935,4.0,5.0,4.0,3.43886488876975,9.15543573801975e-09
ENSVKKG00000000952,HVCN1,,,,0.73239003760296,0.0169010030631569
ENSVKKG00000000993,ZFAND2B,,,,0.879684166980907,0.0026897011655297
ENSVKKG00000001003,NADK,,,,0.943258677164539,0.0022359257328611
ENSVKKG00000001019,ENSVKKG00000001019,,,,1.27532747000044,1.66189352288665e-05
ENSVKKG00000001032,ENSVKKG00000001032,,,,0.699723652071138,0.0415585622658896
ENSVKKG00000001067,HELZ2,,,,3.40706688234342,2.07899232929189e-14
ENSVKKG00000001072,ENSVKKG00000001072,1.0,1.0,1.0,5.28964718551196,0.0225667519744087
ENSVKKG00000001090,ENSVKKG00000001090,,,,3.53598465698008,8.61430068538506e-05
ENSVKKG00000001107,CALML6,,,,7.16473042426785,1.01325797348681e-05
ENSVKKG00000001146,FBXO4,,,,0.773973381709398,0.0379779678050395
ENSVKKG00000001202,PARP12,,,,2.17770138756213,1.36814162202855e-09
ENSVKKG00000001210,ENSVKKG00000001210,4.0,,2.0,1.06369325686543,0.0004460694540521
ENSVKKG00000001235,NGLY1,,,,0.64016756794182,0.0227017170198897
ENSVKKG00000001287,NEK10,,,,1.63768352881816,0.0210825508398397
ENSVKKG00000001289,EXTL3,,,,1.02738245423287,0.0007723261661429
ENSVKKG00000001300,ENSVKKG00000001300,,,,0.575058449385806,0.0482336318430927
ENSVKKG00000001326,ENSVKKG00000001326,132.0,6.0,8.0,2.66237790478298,0.0198658940087542
ENSVKKG00000001385,SLC4A7,,,,1.18177678312439,0.001057419758852
ENSVKKG00000001398,ENSVKKG00000001398,,,,1.81951212048798,3.47864280443949e-07
ENSVKKG00000001403,ENSVKKG00000001403,,,,1.80447252657738,1.18237540030779e-05
ENSVKKG00000001411,ENSVKKG00000001411,,,,1.16489854440697,0.0009750315473162
ENSVKKG00000001414,ENSVKKG00000001414,,,,1.68477677786142,2.60767825716905e-05
ENSVKKG00000001429,PAIP1,,,,0.593524429396778,0.0349153165454449
ENSVKKG00000001451,ENSVKKG00000001451,,,,2.15225667759956,4.31011794707195e-05
ENSVKKG00000001461,ENSVKKG00000001461,,,18.0,1.12572268047475,0.0050061518372369
ENSVKKG00000001464,F2RL2,,,,1.45924531283964,0.0006905747081306
ENSVKKG00000001507,TNFRSF6B,,,,1.18540290766124,0.0020787534764134
ENSVKKG00000001513,ENSVKKG00000001513,3.0,2.0,1.0,3.23403311475853,2.13853078814552e-15
ENSVKKG00000001526,LRRN4CL,,,,3.33527367644082,7.24346019394894e-06
ENSVKKG00000001589,NOG,,,,2.08870098373507,0.0227237695286404
ENSVKKG00000001604,TRIM25,,,,2.85964004012034,1.31899065234813e-18
ENSVKKG00000001646,UCKL1,,,3.0,1.49881173167385,5.85839688680096e-07
ENSVKKG00000001664,GCH1,,,,0.835950499822187,0.0076138856022149
ENSVKKG00000001716,ATXN2L,,,,0.832492465945484,0.0031709289799265
ENSVKKG00000001756,ENSVKKG00000001756,,,,3.91847069106222,2.89796751936947e-06
ENSVKKG00000001766,ENSVKKG00000001766,1.0,,1.0,0.683764715727679,0.0217930854702592
ENSVKKG00000001787,ENSVKKG00000001787,,,,2.71823068571685,4.336958116004621e-14
ENSVKKG00000001794,EPRS1,,,,1.022656634619,0.0005993609125399
ENSVKKG00000001812,BTBD9,,,,1.43192477449445,1.38389335668816e-05
ENSVKKG00000001864,FIBIN,,,,5.01044052629648,0.0270366434415278
ENSVKKG00000001872,TDRP,,,,1.22478288099819,0.0486839908432707
ENSVKKG00000001890,P4HA3,,,,7.37620714439691,2.49009328927581e-06
ENSVKKG00000001926,CMTR1,,,,1.60394842225271,8.95278279913985e-07
