gene_id	gene_name	
ENSVKKG00000000002	LPGAT1	Gene Expression
ENSVKKG00000000003	INTS7	Gene Expression
ENSVKKG00000000004	DTL	Gene Expression
ENSVKKG00000000005	PPP2R5A	Gene Expression
ENSVKKG00000000006	PACC1	Gene Expression
ENSVKKG00000000007	NENF	Gene Expression
ENSVKKG00000000008	ATF3	Gene Expression
ENSVKKG00000000009	BATF3	Gene Expression
ENSVKKG00000000010	NSL1	Gene Expression
ENSVKKG00000000011	ENSVKKG00000000011	Gene Expression
ENSVKKG00000000012	TATDN3	Gene Expression
ENSVKKG00000000013	ENSVKKG00000000013	Gene Expression
ENSVKKG00000000014	FLVCR1	Gene Expression
ENSVKKG00000000855	VASH2	Gene Expression
ENSVKKG00000000857	ANGEL2	Gene Expression
ENSVKKG00000000858	ENSVKKG00000000858	Gene Expression
ENSVKKG00000000864	RPS6KC1	Gene Expression
ENSVKKG00000000870	PROX1	Gene Expression
ENSVKKG00000000877	SMYD2	Gene Expression
ENSVKKG00000000887	PTPN14	Gene Expression
ENSVKKG00000000891	CENPF	Gene Expression
ENSVKKG00000000894	KCNK2	Gene Expression
ENSVKKG00000000906	KCTD3	Gene Expression
ENSVKKG00000001366	USH2A	Gene Expression
ENSVKKG00000001452	ESRRG	Gene Expression
ENSVKKG00000001461	ENSVKKG00000001461	Gene Expression
ENSVKKG00000001474	GPATCH2	Gene Expression
ENSVKKG00000001493	SPATA17	Gene Expression
ENSVKKG00000001505	RRP15	Gene Expression
ENSVKKG00000001510	TGFB2	Gene Expression
ENSVKKG00000001517	LYPLAL1	Gene Expression
ENSVKKG00000001524	SLC30A10	Gene Expression
ENSVKKG00000001530	ENSVKKG00000001530	Gene Expression
ENSVKKG00000001794	EPRS1	Gene Expression
ENSVKKG00000015542	BPNT1	Gene Expression
ENSVKKG00000015543	IARS2	Gene Expression
ENSVKKG00000015544	RAB3GAP2	Gene Expression
ENSVKKG00000015545	ENSVKKG00000015545	Gene Expression
ENSVKKG00000015546	MARK1	Gene Expression
ENSVKKG00000015547	PFN3	Gene Expression
ENSVKKG00000015548	ENSVKKG00000015548	Gene Expression
ENSVKKG00000015549	ENSVKKG00000015549	Gene Expression
ENSVKKG00000015550	HLX	Gene Expression
ENSVKKG00000015552	DUSP10	Gene Expression
ENSVKKG00000015553	ENSVKKG00000015553	Gene Expression
ENSVKKG00000015554	HHIPL2	Gene Expression
ENSVKKG00000015556	TAF1A	Gene Expression
ENSVKKG00000015558	ENSVKKG00000015558	Gene Expression
ENSVKKG00000015563	AIDA	Gene Expression
ENSVKKG00000015566	BROX	Gene Expression
ENSVKKG00000015567	DISP1	Gene Expression
ENSVKKG00000015569	ENSVKKG00000015569	Gene Expression
ENSVKKG00000015570	SUSD4	Gene Expression
ENSVKKG00000015574	CAPN8	Gene Expression
ENSVKKG00000015586	CAPN2	Gene Expression
ENSVKKG00000015587	TP53BP2	Gene Expression
ENSVKKG00000015588	FBXO28	Gene Expression
ENSVKKG00000015589	DEGS1	Gene Expression
ENSVKKG00000015590	NVL	Gene Expression
ENSVKKG00000015592	CNIH4	Gene Expression
ENSVKKG00000015593	WDR26	Gene Expression
ENSVKKG00000015594	CNIH3	Gene Expression
ENSVKKG00000015595	ENSVKKG00000015595	Gene Expression
ENSVKKG00000015597	LBR	Gene Expression
ENSVKKG00000015598	ENAH	Gene Expression
ENSVKKG00000015600	SRP9	Gene Expression
ENSVKKG00000015602	EPHX1	Gene Expression
ENSVKKG00000015606	TMEM63A	Gene Expression
ENSVKKG00000015633	ENSVKKG00000015633	Gene Expression
ENSVKKG00000015635	SDE2	Gene Expression
ENSVKKG00000015638	H3-3A	Gene Expression
ENSVKKG00000015639	ACBD3	Gene Expression
ENSVKKG00000015642	LIN9	Gene Expression
ENSVKKG00000015645	PARP1	Gene Expression
ENSVKKG00000015650	STUM	Gene Expression
ENSVKKG00000015651	ITPKB	Gene Expression
ENSVKKG00000015653	ENSVKKG00000015653	Gene Expression
ENSVKKG00000015655	COQ8A	Gene Expression
ENSVKKG00000015698	CDC42BPA	Gene Expression
ENSVKKG00000017974	XDH	Gene Expression
ENSVKKG00000017975	ENSVKKG00000017975	Gene Expression
ENSVKKG00000017976	ENSVKKG00000017976	Gene Expression
ENSVKKG00000017977	ENSVKKG00000017977	Gene Expression
ENSVKKG00000017978	GALNT14	Gene Expression
ENSVKKG00000017979	ENSVKKG00000017979	Gene Expression
ENSVKKG00000017980	LCLAT1	Gene Expression
ENSVKKG00000017981	LBH	Gene Expression
ENSVKKG00000017982	YPEL5	Gene Expression
ENSVKKG00000017983	ENSVKKG00000017983	Gene Expression
ENSVKKG00000017984	ALK	Gene Expression
ENSVKKG00000017985	CLIP4	Gene Expression
ENSVKKG00000017986	PCARE	Gene Expression
ENSVKKG00000017987	ENSVKKG00000017987	Gene Expression
ENSVKKG00000017988	WDR43	Gene Expression
ENSVKKG00000017989	ENSVKKG00000017989	Gene Expression
ENSVKKG00000017990	ENSVKKG00000017990	Gene Expression
ENSVKKG00000017991	ENSVKKG00000017991	Gene Expression
ENSVKKG00000017992	TRMT61B	Gene Expression
ENSVKKG00000017993	SPDYA	Gene Expression
ENSVKKG00000001175	PPP1CB	Gene Expression
ENSVKKG00000001212	PLB1	Gene Expression
ENSVKKG00000001369	FOSL2	Gene Expression
ENSVKKG00000001390	BABAM2	Gene Expression
ENSVKKG00000001417	RBKS	Gene Expression
ENSVKKG00000001459	ENSVKKG00000001459	Gene Expression
ENSVKKG00000001473	ENSVKKG00000001473	Gene Expression
ENSVKKG00000001487	SLC4A1AP	Gene Expression
ENSVKKG00000001503	SUPT7L	Gene Expression
ENSVKKG00000001508	LRFN2	Gene Expression
ENSVKKG00000001519	MOCS1	Gene Expression
ENSVKKG00000001543	DAAM2	Gene Expression
ENSVKKG00000001592	KIF6	Gene Expression
ENSVKKG00000001682	KCNK16	Gene Expression
ENSVKKG00000001688	KCNK17	Gene Expression
ENSVKKG00000001697	KCNK5	Gene Expression
ENSVKKG00000001704	ENSVKKG00000001704	Gene Expression
ENSVKKG00000001712	SAYSD1	Gene Expression
ENSVKKG00000001719	GLP1R	Gene Expression
ENSVKKG00000001730	ENSVKKG00000001730	Gene Expression
ENSVKKG00000001757	ENSVKKG00000001757	Gene Expression
ENSVKKG00000001806	GLO1	Gene Expression
ENSVKKG00000001812	BTBD9	Gene Expression
ENSVKKG00000001818	ENSVKKG00000001818	Gene Expression
ENSVKKG00000001828	ZFAND3	Gene Expression
ENSVKKG00000001833	U1	Gene Expression
ENSVKKG00000001843	MDGA1	Gene Expression
ENSVKKG00000001873	ENSVKKG00000001873	Gene Expression
ENSVKKG00000001926	CMTR1	Gene Expression
ENSVKKG00000002820	RNF8	Gene Expression
ENSVKKG00000002822	Vault	Gene Expression
ENSVKKG00000002823	Vault	Gene Expression
ENSVKKG00000002824	Vault	Gene Expression
ENSVKKG00000002826	Vault	Gene Expression
ENSVKKG00000002828	Vault	Gene Expression
ENSVKKG00000002830	Vault	Gene Expression
ENSVKKG00000002870	AARS2	Gene Expression
ENSVKKG00000004206	Vault	Gene Expression
ENSVKKG00000004207	ENSVKKG00000004207	Gene Expression
ENSVKKG00000004213	ENSVKKG00000004213	Gene Expression
ENSVKKG00000004216	NFKBIE	Gene Expression
ENSVKKG00000004218	SLC35B2	Gene Expression
ENSVKKG00000004220	HSP90AB1	Gene Expression
ENSVKKG00000004224	SLC29A1	Gene Expression
ENSVKKG00000004226	CAPN11	Gene Expression
ENSVKKG00000004230	TMEM63B	Gene Expression
ENSVKKG00000004236	MRPL14	Gene Expression
ENSVKKG00000004239	VEGFA	Gene Expression
ENSVKKG00000004243	MRPS18A	Gene Expression
ENSVKKG00000004247	RSPH9	Gene Expression
ENSVKKG00000004250	ENSVKKG00000004250	Gene Expression
ENSVKKG00000004252	MAD2L1BP	Gene Expression
ENSVKKG00000004335	GTPBP2	Gene Expression
ENSVKKG00000004345	POLH	Gene Expression
ENSVKKG00000004377	XPO5	Gene Expression
ENSVKKG00000004425	POLR1C	Gene Expression
ENSVKKG00000004429	YIPF3	Gene Expression
ENSVKKG00000004434	LRRC73	Gene Expression
ENSVKKG00000004439	ENSVKKG00000004439	Gene Expression
ENSVKKG00000004442	DLK2	Gene Expression
ENSVKKG00000004448	ENSVKKG00000004448	Gene Expression
ENSVKKG00000004473	ZNF318	Gene Expression
ENSVKKG00000004478	FAM98A	Gene Expression
ENSVKKG00000004485	RASGRP3	Gene Expression
ENSVKKG00000004496	LTBP1	Gene Expression
ENSVKKG00000004509	ENSVKKG00000004509	Gene Expression
ENSVKKG00000004513	ENSVKKG00000004513	Gene Expression
ENSVKKG00000004515	TTC27	Gene Expression
ENSVKKG00000004645	BIRC6	Gene Expression
ENSVKKG00000008532	YIPF4	Gene Expression
ENSVKKG00000008536	NLRC4	Gene Expression
ENSVKKG00000008537	U6	Gene Expression
ENSVKKG00000008539	CDC42EP3	Gene Expression
ENSVKKG00000008540	ENSVKKG00000008540	Gene Expression
ENSVKKG00000008543	ENSVKKG00000008543	Gene Expression
ENSVKKG00000008547	ENSVKKG00000008547	Gene Expression
ENSVKKG00000008549	NANP	Gene Expression
ENSVKKG00000008553	EIF2AK2	Gene Expression
ENSVKKG00000008558	GPATCH11	Gene Expression
ENSVKKG00000008562	HEATR5B	Gene Expression
ENSVKKG00000008582	STRN	Gene Expression
ENSVKKG00000008684	VIT	Gene Expression
ENSVKKG00000008711	ENSVKKG00000008711	Gene Expression
ENSVKKG00000008714	FEZ2	Gene Expression
ENSVKKG00000008716	CRIM1	Gene Expression
ENSVKKG00000008724	ENSVKKG00000008724	Gene Expression
ENSVKKG00000008727	SULT6B1	Gene Expression
ENSVKKG00000008730	CEBPZOS	Gene Expression
ENSVKKG00000008735	CEBPZ	Gene Expression
ENSVKKG00000008738	NDUFAF7	Gene Expression
ENSVKKG00000008743	PRKD3	Gene Expression
ENSVKKG00000008748	QPCT	Gene Expression
ENSVKKG00000008750	SLC30A6	Gene Expression
ENSVKKG00000008754	SPAST	Gene Expression
ENSVKKG00000000016	DPY30	Gene Expression
ENSVKKG00000000021	MEMO1	Gene Expression
ENSVKKG00000000091	SRD5A2	Gene Expression
ENSVKKG00000000174	AHCTF1	Gene Expression
ENSVKKG00000005818	ENSVKKG00000005818	Gene Expression
ENSVKKG00000005826	SCCPDH	Gene Expression
ENSVKKG00000005833	CNST	Gene Expression
ENSVKKG00000005836	TFB2M	Gene Expression
ENSVKKG00000005839	ENSVKKG00000005839	Gene Expression
ENSVKKG00000005841	ENSVKKG00000005841	Gene Expression
ENSVKKG00000005843	KIF26B	Gene Expression
ENSVKKG00000005847	EFCAB2	Gene Expression
ENSVKKG00000005851	HNRNPU	Gene Expression
