lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
ISG15,2.22980237,0,0,0.940087623,0.727469906,ISG15
PARP14,1.359004259,0,0,0.956900329,0.819162781,no
IFIT3,2.027341604,0,0,0.764129244,0.410964104,no
MX1,1.611416936,0,0,0.886801752,0.650200629,MX1
EIF2AK2,1.808590055,0,0,0.710131435,0.393341286,EIF2AK2
SAMD9L,1.444698095,0,0,0.836254107,0.594675198,SAMD9L
TNFSF10,1.527240753,0,0,0.78483023,0.513013773,TNFSF10
DDX58,1.941988945,0,0,0.577820372,0.251979178,DDX58
SAMD9,1.101994395,0,0,0.935980285,0.810161588,no
IRF7,1.35829401,0,0,0.797590361,0.550211474,IRF7
IFIT1_LOC107501624_P,1.430756807,0,0,0.772562979,0.521038933,no
DTX3L,1.411730647,0,0,0.740909091,0.47218306,DTX3L
TRANK1,1.963639021,0,0,0.531982475,0.230669125,TRANK1
IFIT1_LOC118603801_P,1.326319098,0,0,0.77973713,0.533456241,no
ISG20,1.202956676,0,0,0.874589266,0.729964212,no
NT5C3A,1.324148297,0,0,0.689649507,0.441871814,NT5C3A
GVINP1_LOC107506853_P,1.007284164,0,0,0.872234392,0.757726928,no
MX2,1.57738483,0,0,0.565607886,0.304793406,no
ZNFX1,1.248303413,0,0,0.708159912,0.472616853,no
LOC107498784,0.761599302,0,0,0.925465498,0.853811951,no
IFIT2,1.989452004,0,0,0.481763417,0.209684416,no
HERC5,1.651212096,0,0,0.531161008,0.260980371,HERC5
IFIH1,1.650472522,0,0,0.531489595,0.269656219,IFIH1
EPSTI1,1.068913937,0,0,0.750657174,0.56073094,no
STAT1,1.092862129,0,0,0.740525739,0.535787876,STAT1
LOC107497017,1.007579207,0,0,0.785651698,0.609532589,no
GBP1_LOC107512699,1.161271214,0,0,0.685323111,0.525593753,GBP1
RARS1,1.451060653,0,0,0.523110624,0.297527383,no
SOCS1,1.764455914,0,0,0.44381161,0.188591259,SOCS1
MLKL,1.475318789,0,0,0.509255203,0.269168203,MLKL
PSMB8,0.62590003,0,0,0.907447974,0.840364386,PSMB8
RNF213,0.909987211,0,0,0.712486309,0.543433467,RNF213
