lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
PTGES,3.37374568,2.85718e-16,1.4951e-14,0.0567908,0.007645592,PTGES,2.746321917,5.83209e-15,2.77868e-13,0.182369146,0.039158101,PTGES
EDN1,2.413235903,0.000641696,0.010299402,0.026670318,0.006127318,EDN1,2.425764084,0.87983414,1.0,0.003305785,0.000489476,EDN1
INHBA,2.350871801,6.16181e-13,2.68971e-11,0.058050383,0.014911615,INHBA,3.082250595,5.6696400000000004e-30,7.002e-28,0.252892562,0.044052863,INHBA
ISG15,2.22980237,0.0,0.0,0.940087623,0.727469906,ISG15,2.336882591,0.052726245,0.338732739,0.046280992,0.010279001,ISG15
TNFAIP6,2.199447393,1.27889e-15,6.46687e-14,0.066757941,0.018869971,TNFAIP6,1.04502666,0.784668067,1.0,0.01046832,0.005384239,TNFAIP6
CABP1,2.197973013,0.000160777,0.002924225,0.029353779,0.006615335,CABP1,0.0,1.0,1.0,0.0,0.0,CABP1
TRANK1,1.963639021,0.0,0.0,0.531982475,0.230669125,TRANK1,-0.332103878,0.30644527,1.0,0.035261708,0.054821341,TRANK1
DDX58,1.941988945,0.0,0.0,0.577820372,0.251979178,DDX58,-1.538184047,8.27629e-05,0.001144054,0.038016529,0.111600587,DDX58
TNIP3,1.885095239,1.37658e-17,7.67518e-16,0.078368018,0.027437371,TNIP3,3.175216675,8.09739e-21,5.98442e-19,0.207162534,0.035731767,TNIP3
DHX58,1.822636962,2.053e-133,6.6362e-131,0.225027382,0.079492463,DHX58,-0.81151849,0.890386641,1.0,0.003305785,0.005873715,DHX58
EIF2AK2,1.808590055,0.0,0.0,0.710131435,0.393341286,EIF2AK2,-0.252760559,0.227191199,1.0,0.060055096,0.083210964,EIF2AK2
HBEGF,1.767315984,5.10851e-06,0.000116474,0.04101862,0.013610238,HBEGF,0.271068186,0.174373554,0.869182248,0.34214876,0.337249143,HBEGF
SOCS1,1.764455914,0.0,0.0,0.44381161,0.188591259,SOCS1,-0.251576871,0.984693354,1.0,0.007713499,0.007342144,SOCS1
PLEKHA4,1.757115006,3.58466e-06,8.33679e-05,0.042661555,0.014857391,PLEKHA4,0.0,1.0,1.0,0.0,0.0,PLEKHA4
TNF,1.692402363,1.45268e-31,1.53923e-29,0.12245345,0.05416983,TNF,3.698753595,2.1751999999999997e-187,6.8056e-184,0.678787879,0.215859031,TNF
OAF,1.680267572,0.001939973,0.027644608,0.027984666,0.009326537,OAF,6.052907467,0.001184363,0.012941127,0.062258953,0.001957905,OAF
SERPINB2,1.654299736,1.14254e-07,3.23447e-06,0.058324206,0.026895131,SERPINB2,0.471349388,0.101018162,0.568609578,0.28815427,0.274106706,SERPINB2
HERC5,1.651212096,0.0,0.0,0.531161008,0.260980371,HERC5,1.166993141,0.587853171,1.0,0.02369146,0.013705335,HERC5
ETV7,1.65069139,3.14926e-19,1.92391e-17,0.081818182,0.027871164,ETV7,-0.568979025,0.505358928,1.0,0.019834711,0.032305433,ETV7
IFIH1,1.650472522,0.0,0.0,0.531489595,0.269656219,IFIH1,0.307102412,0.814601508,1.0,0.217630854,0.226138032,IFIH1
ABHD17C,1.640336871,5.22536e-06,0.00011882,0.0449069,0.017622817,ABHD17C,0.379837304,0.210736829,0.99493179,0.17630854,0.159079785,ABHD17C
MX1,1.611416936,0.0,0.0,0.886801752,0.650200629,MX1,0.0,1.0,1.0,0.0,0.0,MX1
USP18,1.561757326,0.0,0.0,0.404052574,0.18338575,USP18,0.611039639,0.910331179,1.0,0.009917355,0.00783162,USP18
TMEM140,1.555018663,1.2367000000000001e-198,5.7418e-196,0.307064622,0.129595489,TMEM140,0.908395529,0.85624839,1.0,0.008264463,0.004894763,TMEM140
TNFSF10,1.527240753,0.0,0.0,0.78483023,0.513013773,TNFSF10,1.708139777,0.036962474,0.250219822,0.063360882,0.024963289,TNFSF10
UBA7,1.493238211,1.6134400000000002e-40,2.08085e-38,0.134337349,0.054928966,UBA7,-0.168601155,0.937240217,1.0,0.004407713,0.005873715,UBA7
