pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
ISG15,2.88180542,0,0,0.970439141,0.727469906,ISG15
IFIT3,2.784665108,0,0,0.853050066,0.410964104,no
MX1,1.976527452,0,0,0.915646181,0.650200629,MX1
PARP14,1.629991531,0,0,0.960984223,0.819162781,no
IFIT1_LOC107501624_P,2.121305943,0,0,0.843367318,0.521038933,no
IFIT1_LOC118603801_P,1.992025256,0,0,0.842456,0.533456241,no
TNFSF10,1.957485318,0,0,0.836418523,0.513013773,TNFSF10
EIF2AK2,2.126232147,0,0,0.74528678,0.393341286,EIF2AK2
SAMD9L,1.710847974,0,0,0.850657857,0.594675198,SAMD9L
SAMD9,1.406439424,0,0,0.943897021,0.810161588,no
HERC5,2.37336731,0,0,0.639517002,0.260980371,HERC5
DDX58,2.34931612,0,0,0.63934613,0.251979178,DDX58
IRF7,1.652921319,0,0,0.825311841,0.550211474,IRF7
TRANK1,2.495387554,0,0,0.606026086,0.230669125,TRANK1
NT5C3A,1.763314843,0,0,0.742837615,0.441871814,NT5C3A
IFIT2,2.703191996,0,0,0.579540924,0.209684416,no
ZNFX1,1.659410238,0,0,0.755026485,0.472616853,no
ISG20,1.46506393,0,0,0.891553227,0.729964212,no
IFIH1,2.238087654,0,0,0.609500484,0.269656219,IFIH1
SOCS1,2.537525415,0,0,0.552543145,0.188591259,SOCS1
MX2,2.050961018,0,0,0.625961155,0.304793406,no
GVINP1_LOC107506853_P,1.251862049,0,0,0.904254713,0.757726928,no
DTX3L,1.517524242,0,0,0.745400695,0.47218306,DTX3L
LOC107497017,1.185761452,0,0,0.797459703,0.609532589,no
USP18,2.060571432,0,0,0.480776898,0.18338575,USP18
PSMB8,0.716003954,0,0,0.892863245,0.840364386,PSMB8
STAT1,1.14763999,0,0,0.736173606,0.535787876,STAT1
OASL,2.734534025,0,0,0.380531982,0.100151827,no
CD69_LOC107502080,1.905251861,0,0,0.476846842,0.212232947,no
EPSTI1,1.100830793,0,0,0.742438913,0.56073094,no
TOR3A,1.67816484,0,0,0.502306772,0.235983082,TOR3A
MLKL,1.607379556,0,0,0.518311784,0.269168203,MLKL
CALHM6,1.185673833,0,0,0.72045338,0.527600043,no
GBP1_LOC107512699,1.218654156,0,0,0.679899755,0.525593753,GBP1
RARS1,1.572401166,0,0,0.525602324,0.297527383,no
ZBP1,1.37689817,0,0,0.576977844,0.335592669,no
RTP4,1.652300358,0,0,0.483966509,0.231319813,no
LOC107498784,0.664544523,0,0,0.903115566,0.853811951,no
TREX1,1.52956605,0,0,0.48886484,0.256967791,no
GVINP1_LOC107506576_P,0.940040708,0,0,0.900552486,0.793026787,no
IFI35,1.267343521,0,0,0.54473999,0.341828435,IFI35
DDX60_LOC107512537_P,1.051293015,0,0,0.696018682,0.504934389,no
TRAFD1,1.622036815,0,0,0.455715669,0.226493873,TRAFD1
RNF213,1.001675606,0,0,0.70718232,0.543433467,RNF213
TMEM140,2.134674072,0,0,0.368741812,0.129595489,TMEM140
CD274,1.821977615,0,0,0.416244233,0.185229368,no
SP140L_LOC107504966,0.855615556,0,0,0.779176397,0.644832448,no
PSMB9,0.784618556,0,0,0.760950048,0.658280013,PSMB9
DHX58,2.588986397,0,0,0.308082246,0.079492463,DHX58
CLEC2A_LOC107502064_P,0.718940496,0,0,0.833228912,0.735169721,no
LY6E,0.740399957,4.4951E-306,2.2507E-303,0.79472575,0.704750027,no
SP110,0.820070088,9.9291E-300,4.8759E-297,0.729794384,0.592994252,no
DDX60_LOC107512535_P,2.018539429,8.8957E-299,4.286E-296,0.331149969,0.112460688,no
STARD4,1.767880321,1.129E-295,5.3388E-293,0.369880959,0.163214402,STARD4
IFI6,1.462393761,1.7928E-287,8.3236E-285,0.467961497,0.283320681,no
HSH2D,1.509041309,1.7686E-285,8.0648E-283,0.394999146,0.183548422,no
MORC3,1.047264338,3.9477E-279,1.7686E-276,0.555334055,0.380707082,MORC3
TAPBP_LOC107511979,0.943852782,2.8712E-274,1.2641E-271,0.592185453,0.433629758,TAPBP
PARP15,1.302449107,4.9866E-274,2.1583E-271,0.443754628,0.252087626,no
IFIT5,1.93489778,2.0622E-271,8.7766E-269,0.324542917,0.117937317,no
HLA-A_LOC107503252_P,0.537647128,2.9432E-264,1.2122E-261,0.901520761,0.846600152,no
GBP5,1.074772954,8.1059E-264,3.2856E-261,0.531867631,0.345732567,no
TMEM156,1.404013276,9.6832E-247,3.8636E-244,0.393290425,0.206268301,no
UBALD2,1.104530096,1.1712E-246,4.601E-244,0.498034972,0.336297582,UBALD2
PML,0.970958114,4.5955E-242,1.778E-239,0.548499174,0.3753389,no
TRIM22_LOC107513409_P,0.989397287,9.3361E-239,3.5583E-236,0.531981546,0.363463833,no
JUNB,1.043858528,1.5341E-236,5.761E-234,0.529589338,0.373115714,JUNB
CUNH3orf38,1.135915399,1.2417E-223,4.5299E-221,0.443128097,0.27421104,no
TNFSF13B,1.322954178,1.3085E-217,4.7063E-215,0.400808794,0.237501356,no
XAF1,1.191888213,1.2204E-210,4.3282E-208,0.414022897,0.241134367,XAF1
LOC107517942,1.463618517,1.3868E-201,4.8511E-199,0.334168708,0.157954669,no
CMPK2,1.068006158,5.5333E-194,1.884E-191,0.428034402,0.26244442,CMPK2
TUT7,0.833802223,9.2402E-193,3.1047E-190,0.565586376,0.431298124,no
CLEC2B_LOC107502067,0.864515483,6.6522E-190,2.2061E-187,0.552543145,0.42121245,no
SHISA5,0.603260696,1.1419E-188,3.7384E-186,0.776955061,0.665546036,SHISA5
LGALS9,1.015886068,3.5693E-184,1.1537E-181,0.435097112,0.280826375,LGALS9
STAT2,1.422741055,1.0679E-178,3.4089E-176,0.32619468,0.164298883,STAT2
PSME2,0.626386344,2.1445E-178,6.7607E-176,0.682235006,0.583342371,PSME2
HERC6_LOC107518925,1.761978865,4.2575E-178,1.3258E-175,0.274420459,0.106441818,no
RICTOR,0.922534406,5.1645E-178,1.5889E-175,0.486358717,0.337165166,RICTOR
TRIM25,1.219840765,9.1773E-178,2.7899E-175,0.369368343,0.2134801,TRIM25
TRIM34,1.433349967,2.8496E-173,8.561E-171,0.319530672,0.15958139,no
GTF2B,0.794066548,4.065E-173,1.207E-170,0.553739249,0.429834074,GTF2B
CXCL10,3.11861372,1.2029E-170,3.5307E-168,0.213476106,0.048855872,no
PARP9,0.839182556,1.0898E-167,3.1625E-165,0.511476904,0.372681922,PARP9
DNAJA1,0.689799786,2.3626E-166,6.7787E-164,0.598222931,0.494306474,DNAJA1
UBD,0.56777823,1.4286E-158,4.0534E-156,0.928347668,0.891063876,no
USP15,0.907302916,6.2161E-151,1.7254E-148,0.446773367,0.314716408,USP15
NMI,0.958963573,3.1076E-150,8.442E-148,0.415162044,0.277844052,NMI
BST2,0.893831491,1.6711E-145,4.4918E-143,0.446203793,0.307829953,no
TRIM26,1.388156056,1.4972E-144,3.9826E-142,0.296178163,0.14873658,no
HIGD1A,0.873434365,1.7221E-144,4.5336E-142,0.445121604,0.319976141,HIGD1A
CMTR1,1.195147038,1.2065E-141,3.1437E-139,0.327390784,0.18311463,CMTR1
USP25,1.105798364,7.3737E-141,1.902E-138,0.351597653,0.211528034,USP25
RBM43,1.105607033,4.7962E-139,1.2248E-136,0.34909153,0.2091964,RBM43
RSAD2,1.939818501,1.6182E-137,4.0913E-135,0.218488352,0.066858258,RSAD2
PLSCR1_LOC107521442_P,1.917201638,3.8387E-137,9.6102E-135,0.223215811,0.073202473,no
APOBEC3H_LOC107502060_P,0.712769866,1.5384E-130,3.8141E-128,0.530956314,0.399902397,no
OAS3,1.527038455,1.6918E-129,4.154E-127,0.262915077,0.123034378,OAS3
MOV10,1.048279762,1.34E-122,3.2589E-120,0.34117446,0.211094241,MOV10
KARS1,1.005858421,1.8515E-121,4.4187E-119,0.351711568,0.224162238,no
TAP1,0.803304493,1.7976E-112,4.1354E-110,0.413908982,0.292484546,TAP1
B2M,0.108346939,2.0081E-112,4.538E-110,0.993848607,0.996529661,B2M
TBK1,1.120461941,1.0631E-111,2.3814E-109,0.313265364,0.188970827,TBK1
RABGAP1L,0.720965147,4.6242E-108,1.0268E-105,0.489548328,0.37078408,RABGAP1L
TAP2,0.838160038,5.9895E-108,1.3185E-105,0.392663895,0.275241297,no
GBP6,0.555080354,5.4523E-106,1.1799E-103,0.710599761,0.617015508,no
ICAM1,1.685188174,1.075E-105,2.3069E-103,0.228285015,0.104272855,no
RAB19,1.431228638,3.0785E-104,6.551E-102,0.235689469,0.107092506,RAB19
LOC107520355,1.642535806,4.5506E-103,9.6036E-101,0.213305234,0.085402885,no
IL32,0.292229533,1.3964E-102,2.9229E-100,0.950617987,0.949246286,no
RGS1,1.296853423,2.3051E-102,4.7856E-100,0.28809022,0.172649387,RGS1
