pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
ISG15,2.88180542,0.0,0.0,0.970439141,0.727469906,ISG15
MX1,1.976527452,0.0,0.0,0.915646181,0.650200629,MX1
TNFSF10,1.957485318,0.0,0.0,0.836418523,0.513013773,TNFSF10
EIF2AK2,2.126232147,0.0,0.0,0.74528678,0.393341286,EIF2AK2
SAMD9L,1.710847974,0.0,0.0,0.850657857,0.594675198,SAMD9L
HERC5,2.37336731,0.0,0.0,0.639517002,0.260980371,HERC5
DDX58,2.34931612,0.0,0.0,0.63934613,0.251979178,DDX58
IRF7,1.652921319,0.0,0.0,0.825311841,0.550211474,IRF7
TRANK1,2.495387554,0.0,0.0,0.606026086,0.230669125,TRANK1
NT5C3A,1.763314843,0.0,0.0,0.742837615,0.441871814,NT5C3A
IFIH1,2.238087654,0.0,0.0,0.609500484,0.269656219,IFIH1
SOCS1,2.537525415,0.0,0.0,0.552543145,0.188591259,SOCS1
DTX3L,1.517524242,0.0,0.0,0.745400695,0.47218306,DTX3L
USP18,2.060571432,0.0,0.0,0.480776898,0.18338575,USP18
PSMB8,0.716003954,0.0,0.0,0.892863245,0.840364386,PSMB8
STAT1,1.14763999,0.0,0.0,0.736173606,0.535787876,STAT1
TOR3A,1.67816484,0.0,0.0,0.502306772,0.235983082,TOR3A
MLKL,1.607379556,0.0,0.0,0.518311784,0.269168203,MLKL
GBP1_LOC107512699,1.218654156,0.0,0.0,0.679899755,0.525593753,GBP1
IFI35,1.267343521,0.0,0.0,0.54473999,0.341828435,IFI35
TRAFD1,1.622036815,0.0,0.0,0.455715669,0.226493873,TRAFD1
RNF213,1.001675606,0.0,0.0,0.70718232,0.543433467,RNF213
TMEM140,2.134674072,0.0,0.0,0.368741812,0.129595489,TMEM140
PSMB9,0.784618556,0.0,0.0,0.760950048,0.658280013,PSMB9
DHX58,2.588986397,0.0,0.0,0.308082246,0.079492463,DHX58
STARD4,1.767880321,1.129e-295,5.3388e-293,0.369880959,0.163214402,STARD4
MORC3,1.047264338,3.9477e-279,1.7685999999999999e-276,0.555334055,0.380707082,MORC3
TAPBP_LOC107511979,0.943852782,2.8712000000000003e-274,1.2641e-271,0.592185453,0.433629758,TAPBP
UBALD2,1.104530096,1.1712e-246,4.6010000000000005e-244,0.498034972,0.336297582,UBALD2
JUNB,1.043858528,1.5341e-236,5.761000000000001e-234,0.529589338,0.373115714,JUNB
XAF1,1.191888213,1.2204e-210,4.3282000000000004e-208,0.414022897,0.241134367,XAF1
CMPK2,1.068006158,5.5333e-194,1.884e-191,0.428034402,0.26244442,CMPK2
SHISA5,0.603260696,1.1418999999999999e-188,3.7384e-186,0.776955061,0.665546036,SHISA5
LGALS9,1.015886068,3.5693e-184,1.1537e-181,0.435097112,0.280826375,LGALS9
STAT2,1.422741055,1.0678999999999999e-178,3.4089e-176,0.32619468,0.164298883,STAT2
PSME2,0.626386344,2.1445e-178,6.7607e-176,0.682235006,0.583342371,PSME2
RICTOR,0.922534406,5.1645e-178,1.5889e-175,0.486358717,0.337165166,RICTOR
TRIM25,1.219840765,9.1773e-178,2.7899000000000003e-175,0.369368343,0.2134801,TRIM25
GTF2B,0.794066548,4.065e-173,1.207e-170,0.553739249,0.429834074,GTF2B
PARP9,0.839182556,1.0898e-167,3.1625000000000004e-165,0.511476904,0.372681922,PARP9
DNAJA1,0.689799786,2.3626e-166,6.778700000000001e-164,0.598222931,0.494306474,DNAJA1
USP15,0.907302916,6.2161e-151,1.7254e-148,0.446773367,0.314716408,USP15
NMI,0.958963573,3.1076e-150,8.442e-148,0.415162044,0.277844052,NMI
HIGD1A,0.873434365,1.7220999999999998e-144,4.5336000000000004e-142,0.445121604,0.319976141,HIGD1A
CMTR1,1.195147038,1.2065e-141,3.1436999999999998e-139,0.327390784,0.18311463,CMTR1
USP25,1.105798364,7.3737e-141,1.902e-138,0.351597653,0.211528034,USP25
RBM43,1.105607033,4.7962e-139,1.2248e-136,0.34909153,0.2091964,RBM43
RSAD2,1.939818501,1.6182e-137,4.0912999999999996e-135,0.218488352,0.066858258,RSAD2
OAS3,1.527038455,1.6918e-129,4.154e-127,0.262915077,0.123034378,OAS3
MOV10,1.048279762,1.34e-122,3.2589e-120,0.34117446,0.211094241,MOV10
TAP1,0.803304493,1.7976e-112,4.1354e-110,0.413908982,0.292484546,TAP1
B2M,0.108346939,2.0081e-112,4.538e-110,0.993848607,0.996529661,B2M
TBK1,1.120461941,1.0631e-111,2.3814e-109,0.313265364,0.188970827,TBK1
RABGAP1L,0.720965147,4.624200000000001e-108,1.0268000000000001e-105,0.489548328,0.37078408,RABGAP1L
RAB19,1.431228638,3.0784999999999997e-104,6.5510000000000004e-102,0.235689469,0.107092506,RAB19
RGS1,1.296853423,2.3051e-102,4.7856e-100,0.28809022,0.172649387,RGS1
IRF2,0.576607585,3.6419e-98,7.3228e-96,0.546334795,0.454777139,IRF2
PSMF1,1.039138794,3.89018e-96,7.58318e-94,0.302557385,0.18739833,PSMF1
PARP12,0.939332306,7.380459999999999e-92,1.40647e-89,0.31400581,0.198514261,PARP12
TMEM50A,0.689187407,1.14661e-90,2.1688799999999998e-88,0.433787093,0.337327839,TMEM50A
CFLAR,0.886161685,1.31131e-89,2.4442e-87,0.353534203,0.24959332,CFLAR
FGL2,0.738459706,3.55386e-87,6.482240000000001e-85,0.427123085,0.324585186,FGL2
IL15,1.553074241,8.15515e-84,1.44618e-81,0.19627499,0.079709359,IL15
CD81,0.38086167,2.34332e-81,4.04318e-79,0.733268782,0.676716191,CD81
PMAIP1,1.104222417,3.65041e-81,6.25616e-79,0.263883351,0.153074504,PMAIP1
IFI27_LOC107511262,0.675655127,1.15537e-80,1.9669e-78,0.483852594,0.39887214,IFI27
NAMPT,0.903315127,2.09375e-79,3.5175e-77,0.310759241,0.210606225,NAMPT
NABP1,1.128441095,3.06701e-78,5.0528500000000004e-76,0.254998006,0.147760547,NABP1
SAMHD1,0.501338005,2.2302800000000002e-76,3.60458e-74,0.595602893,0.517080577,SAMHD1
NFKBIA,0.503183901,1.10667e-73,1.75528e-71,0.627669875,0.555308535,NFKBIA
GPBP1,0.603389323,1.23923e-73,1.9533899999999997e-71,0.44113459,0.350612732,GPBP1
TMBIM4,0.334770143,5.67601e-73,8.892179999999999e-71,0.727060432,0.681542132,TMBIM4
PELI1,1.413610816,1.2707e-72,1.9785700000000002e-70,0.210343453,0.106929834,PELI1
ZC3HAV1,0.506646335,7.80702e-68,1.1590699999999999e-65,0.5226975,0.430105195,ZC3HAV1
GPR65,0.893577933,1.19534e-67,1.7643999999999999e-65,0.287691519,0.192170047,GPR65
RIPK2,1.172550797,1.76508e-67,2.59041e-65,0.234094663,0.138108665,RIPK2
YAF2,0.729657948,2.41759e-67,3.5076999999999997e-65,0.334852196,0.238260492,YAF2
ZCCHC2,1.130240917,5.8713200000000005e-67,8.47062e-65,0.222133622,0.119943607,ZCCHC2
IRF9,0.609267533,8.252420000000001e-67,1.1839e-64,0.408042376,0.318132524,IRF9
TGFB1,0.487478644,4.00335e-66,5.71115e-64,0.514723472,0.439052164,TGFB1
ZNHIT6,0.770972908,6.25532e-66,8.82518e-64,0.317821951,0.221451036,ZNHIT6
PXK,1.142090797,8.819169999999999e-65,1.2374000000000001e-62,0.226063678,0.128348335,PXK
TRIM56,0.892392993,2.4187800000000002e-63,3.26804e-61,0.275274819,0.180837219,TRIM56
VCPIP1,0.95859772,3.42817e-63,4.60747e-61,0.261377228,0.166034053,VCPIP1
RNF114,0.906702638,1.21598e-60,1.61725e-58,0.260636783,0.167769222,RNF114
UBA7,1.814621568,1.3596399999999998e-58,1.7805000000000002e-56,0.151221735,0.054928966,UBA7
MCL1,0.356387049,3.6730700000000004e-56,4.76119e-54,0.680298456,0.623522395,MCL1
ENPP4,1.606877565,6.487280000000001e-56,8.36663e-54,0.153955687,0.059266891,ENPP4
LRP10,0.592413604,7.78634e-55,9.79467e-53,0.377171499,0.298123848,LRP10
MYCBP2,0.371832728,1.17475e-54,1.47051e-52,0.642877485,0.587409175,MYCBP2
GPR155,0.778592825,1.25759e-50,1.47311e-48,0.272426952,0.187452554,GPR155
PARP11,1.199054122,2.1540999999999997e-50,2.51174e-48,0.183060887,0.094404078,PARP11
CHD1,0.554538906,1.2758699999999998e-49,1.47424e-47,0.387822521,0.314553736,CHD1
GADD45B,1.100492358,2.22076e-48,2.53167e-46,0.212166088,0.129378592,GADD45B
SNX6,0.5624789,4.49627e-46,4.9067e-44,0.359685595,0.288417742,SNX6
KCNA3,0.468161076,6.23035e-46,6.770140000000001e-44,0.458278749,0.388190001,KCNA3
SYNE2,0.379972667,1.2925e-44,1.37522e-42,0.576465228,0.506506886,SYNE2
GLIPR1,0.763548017,1.5126100000000002e-44,1.60274e-42,0.263541607,0.185608936,GLIPR1
UPP1,1.084793091,8.8645e-44,9.12758e-42,0.180042148,0.09830821,UPP1
ZNF618,0.94542706,2.5354e-43,2.57944e-41,0.201401151,0.119780935,ZNF618
PIM3,0.958623469,1.88572e-42,1.8883900000000003e-40,0.216380931,0.139355818,PIM3
KLF6,0.479573518,2.69969e-41,2.6312699999999998e-39,0.415275958,0.352131005,KLF6
OTUD4,1.008699775,1.19494e-40,1.13858e-38,0.188528792,0.110074829,OTUD4
TANK,0.564238608,1.8514100000000002e-40,1.75102e-38,0.350059805,0.284567834,TANK
ELF1,0.385852844,4.44633e-40,4.17432e-38,0.497351484,0.439160612,ELF1
SMCHD1,0.309495896,1.11108e-39,1.02799e-37,0.71982685,0.672107147,SMCHD1
TCF4,0.705189943,1.93274e-39,1.75877e-37,0.320555904,0.259462097,TCF4
ZCWPW2,1.334211349,2.7830899999999996e-39,2.52017e-37,0.14575383,0.066966706,ZCWPW2
SERTAD1,0.588350236,9.08813e-39,8.08622e-37,0.317935866,0.251382713,SERTAD1
NFE2L3,1.102006793,1.12508e-38,9.94119e-37,0.175998177,0.1003145,NFE2L3
UBE2L6,1.348620892,4.17502e-38,3.65114e-36,0.136754571,0.058507754,UBE2L6
SIRT1,0.928330719,2.73084e-36,2.2714900000000003e-34,0.190579256,0.117123956,SIRT1
BTG1,0.213632047,5.7066e-36,4.715980000000001e-34,0.851398303,0.827621733,BTG1
RNF19B,1.227234006,6.39387e-36,5.249970000000001e-34,0.154867005,0.081498753,RNF19B
ARHGEF3,0.999371529,1.2228900000000002e-34,9.63817e-33,0.165119326,0.091421755,ARHGEF3
MAML2,0.539843261,2.31427e-34,1.80175e-32,0.322606368,0.25615443,MAML2
GGCT,0.784766972,2.59846e-34,2.01684e-32,0.214501338,0.144073311,GGCT
STX11,0.768098533,5.525470000000001e-34,4.21189e-32,0.231645498,0.165112244,STX11
FNBP4,0.434734911,7.40106e-34,5.60811e-32,0.387537734,0.323988721,FNBP4
POLB,0.835584641,8.03332e-34,6.0692e-32,0.203451615,0.133445396,POLB
ARAP2,0.437933207,2.07923e-33,1.55249e-31,0.378595432,0.309673571,ARAP2
SAT1,0.455937684,2.3331200000000002e-33,1.73698e-31,0.457652218,0.420995554,SAT1
PCGF5,0.88402915,3.18666e-33,2.35187e-31,0.183972205,0.11289448,PCGF5
CLIC4,0.835821748,5.87094e-32,4.1877200000000005e-30,0.200262004,0.132577812,CLIC4
TERF2IP_LOC107502665,0.855166495,1.4262799999999999e-31,1.0089e-29,0.186706157,0.117883093,TERF2IP
LGALS8,0.677357078,2.6228399999999997e-31,1.8400300000000002e-29,0.245429174,0.182572389,LGALS8
DOCK10,0.377511561,6.26323e-31,4.32265e-29,0.439198041,0.390142067,DOCK10
DUSP5,1.3853966,1.61568e-30,1.09438e-28,0.121717833,0.052380436,DUSP5
PTPN2,0.409662962,8.402960000000001e-30,5.55901e-28,0.383835507,0.328760438,PTPN2
CCL5,0.462104917,2.16443e-29,1.4172e-27,0.566668565,0.501952066,CCL5
SMARCA5,0.299444616,2.2153300000000002e-29,1.44682e-27,0.527880617,0.486715107,SMARCA5
ATXN7,0.628276408,2.97339e-29,1.93203e-27,0.241783904,0.176878863,ATXN7
VPS54,0.90472281,3.46829e-29,2.24788e-27,0.172182036,0.106441818,VPS54
IMP4,0.539733946,7.953350000000001e-29,5.0774199999999994e-27,0.279489662,0.217980696,IMP4
ATP6,0.131957754,1.29168e-28,8.20506e-27,0.991969015,0.991757944,ATP6
VPS13C,0.356695831,1.9517e-28,1.22153e-26,0.44477986,0.391823013,VPS13C
CGGBP1,0.291994005,2.3059200000000002e-28,1.4397e-26,0.53744945,0.495119835,CGGBP1
AZI2,0.673638821,3.3255500000000003e-28,2.0612e-26,0.22025403,0.156599067,AZI2
PLGRKT,0.487561673,3.81794e-28,2.35495e-26,0.301019536,0.242598417,PLGRKT
DDX3X,0.401373088,4.59373e-28,2.82664e-26,0.397619183,0.350016267,DDX3X
LYSMD2,0.665959001,6.25543e-28,3.8215e-26,0.203736401,0.138054441,LYSMD2
VMP1,0.450357735,9.10372e-28,5.521920000000001e-26,0.37050749,0.317319163,VMP1
SETX,0.363543868,4.95972e-27,2.93174e-25,0.403998405,0.343726277,SETX
PIM2,0.717628241,8.15523e-26,4.648480000000001e-24,0.192515806,0.13149333,PIM2
NUB1,0.346288174,2.25318e-25,1.26455e-23,0.425585237,0.372681922,NUB1
PNRC1,0.198249742,7.72847e-25,4.26251e-23,0.780372501,0.761739508,PNRC1
MBNL1,0.166023508,3.0699999999999998e-24,1.65741e-22,0.845132995,0.831146296,MBNL1
ETV7,1.870752096,8.05828e-24,4.30494e-22,0.088853449,0.027871164,ETV7
ADAR,0.559936941,3.27893e-23,1.7158e-21,0.242752179,0.187832122,ADAR
LSM6,0.404154211,3.64524e-23,1.8996899999999997e-21,0.340092271,0.290749376,LSM6
SLC38A2,0.510825992,8.26315e-23,4.22862e-21,0.271344763,0.218631385,SLC38A2
PSMA3,0.34674716,8.63753e-23,4.41136e-21,0.388790796,0.350775404,PSMA3
MAP3K1,0.425294518,1.4345e-22,7.25374e-21,0.317708037,0.267758378,MAP3K1
ANKFY1,0.556235552,6.04391e-22,2.9737399999999996e-20,0.237967762,0.185175144,ANKFY1
TDRD7,1.340049505,7.66065e-22,3.74756e-20,0.105712821,0.047879839,TDRD7
PRDM1,0.660302281,2.09085e-20,9.41655e-19,0.190977958,0.1375122,PRDM1
MAN1A2,0.428447604,1.60055e-19,6.998590000000001e-18,0.303582617,0.259245201,MAN1A2
YTHDC1,0.324212223,2.30497e-19,1.00101e-17,0.393347383,0.349528251,YTHDC1
UBE2J1,0.784843087,6.44574e-19,2.75248e-17,0.162499288,0.111809999,UBE2J1
CHCHD7,1.093854666,1.2825800000000002e-18,5.39572e-17,0.115509483,0.063008351,CHCHD7
RANBP2,0.284973204,2.7974e-18,1.15965e-16,0.433103605,0.395889817,RANBP2
MVB12A,0.632226467,3.2846600000000002e-18,1.35723e-16,0.192572763,0.144127535,MVB12A
LUZP1,1.211479187,1.28615e-17,5.13976e-16,0.11493991,0.064906192,LUZP1
SLC37A3,1.110129118,7.18822e-17,2.752e-15,0.102295381,0.052000868,SLC37A3
NOD1,1.112411499,9.31846e-17,3.53051e-15,0.103206698,0.053139573,NOD1
HIVEP2,0.472195148,1.50116e-16,5.57175e-15,0.216722675,0.168691031,HIVEP2
RBL2,0.325146705,2.86347e-16,1.0431e-14,0.338782252,0.294490836,RBL2
STOML1,0.457068533,3.40766e-16,1.23781e-14,0.236600786,0.190597549,STOML1
TNF,1.773327589,8.64403e-16,3.05303e-14,0.100928405,0.05416983,TNF
RUNX3,0.393604845,9.3696e-16,3.29562e-14,0.253175372,0.206485197,RUNX3
LMO2,0.882063925,1.10408e-15,3.85688e-14,0.146494276,0.102212341,LMO2
PSMA6,0.216316298,1.13661e-15,3.95967e-14,0.509711226,0.479286411,PSMA6
TOR1AIP1,0.422576815,1.14018e-15,3.96673e-14,0.254599305,0.211528034,TOR1AIP1
CCNL1,0.609803736,2.24244e-15,7.676e-14,0.186535285,0.141145212,CCNL1
PHIP_LOC107517039,0.312599033,2.5655e-15,8.7666e-14,0.361166486,0.323500705,PHIP
CNP_LOC107513810,0.633586705,4.26345e-15,1.4363e-13,0.173207268,0.128836352,CNP
ZNRF2,0.316777676,4.91395e-15,1.64244e-13,0.326251638,0.283917146,ZNRF2
RAPGEF6,0.298929453,1.30967e-14,4.27671e-13,0.380873726,0.34524455,RAPGEF6
WIPF1,0.181129679,1.48683e-14,4.84902e-13,0.61622145,0.597765969,WIPF1
CYB561A3_LOC107504752,0.803146124,3.64232e-14,1.16263e-12,0.143418579,0.10058562,CYB561A3
SNX10,0.487388641,4.93041e-14,1.56596e-12,0.277325283,0.24585186,SNX10
GNG5,0.1669828,5.55913e-14,1.75908e-12,0.658996412,0.625637133,GNG5
PNPT1,1.156099677,6.60713e-14,2.08039e-12,0.089992596,0.04468062,PNPT1
NFKBIE,0.700114012,7.05504e-14,2.21052e-12,0.155037877,0.112514912,NFKBIE
FCHSD2,0.59912926,9.80332e-14,3.01975e-12,0.158512274,0.114792322,FCHSD2
SLTM,0.285964966,1.02225e-13,3.14509e-12,0.37842456,0.345841015,SLTM
MGAT4A,0.538498223,2.92393e-13,8.70228e-12,0.180896509,0.139030474,MGAT4A
SLC25A28,0.840857685,4.72008e-13,1.38862e-11,0.111921171,0.068322308,SLC25A28
KDM6B,0.562211156,5.54084e-13,1.62446e-11,0.175257732,0.134150309,KDM6B
ATF3,1.465764403,9.2917e-13,2.68105e-11,0.089593894,0.047608719,ATF3
LRP8,1.501165986,1.0251e-12,2.94786e-11,0.075753261,0.032914001,LRP8
IRAK2,0.510345459,1.06479e-12,3.0551e-11,0.203052913,0.163973539,IRAK2
ZNF292,0.236478999,2.47556e-12,6.84896e-11,0.398815287,0.361186422,ZNF292
ERAP1,0.41374594,3.51314e-12,9.61539e-11,0.240872586,0.204858475,ERAP1
CHMP5,0.392683566,4.14327e-12,1.12796e-10,0.251295779,0.217980696,CHMP5
NUCB2,0.448569268,4.83271e-12,1.30591e-10,0.20675514,0.168148791,NUCB2
NFKB2,0.522622883,4.87869e-12,1.31555e-10,0.190522299,0.152803384,NFKB2
TAGAP_LOC107514722,0.55461514,4.98905e-12,1.34388e-10,0.182833058,0.144561327,TAGAP
NFKB1,0.405872315,6.67292e-12,1.78242e-10,0.264509882,0.233705672,NFKB1
IPCEF1,0.335748136,7.65852e-12,2.03505e-10,0.271287805,0.233976792,IPCEF1
CD83,0.649199665,1.16923e-11,3.05602e-10,0.193654952,0.160665871,CD83
AGO2,0.397251606,2.47644e-11,6.30493e-10,0.217178333,0.179264722,AGO2
NFKBIZ,0.756077051,3.78674e-11,9.43397e-10,0.155664407,0.119780935,NFKBIZ
RELB,0.538469791,3.98231e-11,9.90246e-10,0.164094094,0.126450493,RELB
REL,0.222571999,4.10552e-11,1.01983e-09,0.47046762,0.454180675,REL
SLC39A12,0.788617432,4.72081e-11,1.16249e-09,0.103890186,0.064147056,SLC39A12
PDCD1LG2,0.619069576,5.90812e-11,1.44511e-09,0.146437318,0.108936124,PDCD1LG2
MGAT1,0.635220826,8.19123e-11,1.97145e-09,0.147234721,0.110562846,MGAT1
AKAP13,0.177112713,1.0819e-10,2.57719e-09,0.536879877,0.512525756,AKAP13
UFM1,0.29661575,1.20636e-10,2.86031e-09,0.296064248,0.264884503,UFM1
ARID5A,0.798522174,1.46409e-10,3.45218e-09,0.104687589,0.066153346,ARID5A
NKG7,0.243922725,1.56392e-10,3.67736e-09,0.433445349,0.401854463,NKG7
OSTF1,0.189584941,3.89876e-10,8.78718e-09,0.480321239,0.468604273,OSTF1
BID,0.442563117,4.52104e-10,1.00566e-08,0.210115623,0.178668257,BID
PHC3,0.21644865,4.78798e-10,1.06318e-08,0.398644415,0.36530745,PHC3
PDK1,0.634977341,5.17369e-10,1.14287e-08,0.119268668,0.082095217,PDK1
GRIPAP1,0.395788133,5.7995e-10,1.2789e-08,0.208919519,0.174438781,GRIPAP1
AIDA,0.522863209,5.82211e-10,1.28277e-08,0.161758843,0.12666739,AIDA
GTPBP2,0.857293427,6.45483e-10,1.41485e-08,0.092100017,0.054983191,GTPBP2
ATAD1,0.522710562,7.33026e-10,1.59579e-08,0.160733611,0.12547446,ATAD1
JAK2,0.510449529,7.60705e-10,1.65041e-08,0.155949194,0.120052055,JAK2
USP37,0.579511583,1.26771e-09,2.70897e-08,0.148601697,0.114087409,USP37
PBX4,0.427941293,2.26796e-09,4.74709e-08,0.170872017,0.135993927,PBX4
CREM,0.499767661,2.28977e-09,4.78884e-08,0.168935467,0.13523479,CREM
PPP3CC,0.477148354,2.34303e-09,4.88421e-08,0.153500028,0.118316885,PPP3CC
RAB27A,0.430673599,2.6199e-09,5.43475e-08,0.187161816,0.154809674,RAB27A
RBM3,0.108159401,2.86567e-09,5.9062e-08,0.678532779,0.667010086,RBM3
CMAH_LOC107508867,0.388099611,3.14585e-09,6.45241e-08,0.168650681,0.132306691,CMAH
RMI2,0.647827804,3.67972e-09,7.46349e-08,0.109415048,0.073961609,RMI2
UQCRH_LOC107517907,0.111392744,3.93365e-09,7.94698e-08,0.648801048,0.644127535,UQCRH
KIAA1109,0.353512734,4.60216e-09,9.19663e-08,0.217918779,0.185175144,KIAA1109
ATP11B,0.443988174,7.68486e-09,1.50031e-07,0.167967193,0.134909446,ATP11B
CDK17,0.317568779,8.5725e-09,1.66469e-07,0.209318221,0.174384557,CDK17
RFX5,0.605482578,1.38788e-08,2.63501e-07,0.121945663,0.088439432,RFX5
DNAJC13,0.421099871,1.51125e-08,2.84597e-07,0.206014695,0.177963345,DNAJC13
STAT3,0.299119711,1.56595e-08,2.9468e-07,0.258472404,0.229476196,STAT3
CCDC71L,0.405118912,1.6928e-08,3.16684e-07,0.180782594,0.148357011,CCDC71L
PARP8,0.422630072,1.72614e-08,3.22684e-07,0.158683146,0.124444203,PARP8
BRIP1,0.954298079,1.88411e-08,3.49911e-07,0.076550664,0.042511658,BRIP1
TCEANC2,0.730523109,2.83863e-08,5.17767e-07,0.10594065,0.073365145,TCEANC2
HIVEP1,0.591826975,4.57442e-08,8.10072e-07,0.118300393,0.085999349,HIVEP1
DTNBP1,0.404304028,5.03075e-08,8.85357e-07,0.180725636,0.149875285,DTNBP1
MCOLN2,0.880037844,5.53016e-08,9.6924e-07,0.083499459,0.050916387,MCOLN2
CEP55,1.841146708,5.63714e-08,9.87311e-07,0.050464202,0.017622817,CEP55
PARP10,0.554940164,6.58205e-08,1.14574e-06,0.126787037,0.094946318,PARP10
CD226,1.231005192,6.81828e-08,1.18524e-06,0.059919121,0.027220475,CD226
ATXN3,0.500918686,1.03893e-07,1.77104e-06,0.165574984,0.137891769,ATXN3
PSMA5,0.212278321,1.24443e-07,2.09754e-06,0.339636612,0.318512092,PSMA5
NLRC5,0.321723729,1.25392e-07,2.10936e-06,0.188927493,0.157412428,NLRC5
RPS21,0.045441005,2.08519e-07,3.41548e-06,0.92658199,0.936666305,RPS21
EHD4,0.530699015,2.45615e-07,3.9873e-06,0.159423592,0.132848932,EHD4
AFF1,0.387362182,3.46187e-07,5.5045e-06,0.187731389,0.160286303,AFF1
CDC42SE2,0.141115084,3.61454e-07,5.73297e-06,0.506863359,0.493384665,CDC42SE2
KPNB1,0.272589773,3.8532e-07,6.08882e-06,0.267186877,0.244279362,KPNB1
ACTR3,0.117990948,4.85807e-07,7.56899e-06,0.579427009,0.562791454,ACTR3
JUN,0.943310261,5.31198e-07,8.22601e-06,0.12821097,0.10112786,JUN
CNDP2,0.274809122,5.48267e-07,8.46466e-06,0.25556758,0.233000759,CNDP2
TAF4B,1.210356355,5.55342e-07,8.56353e-06,0.056216894,0.02581065,TAF4B
GLIPR2,0.267716616,6.01891e-07,9.24227e-06,0.257902831,0.233271879,GLIPR2
LAP3,0.196672186,6.87352e-07,1.04852e-05,0.352338099,0.331471641,LAP3
PGS1,0.429823101,7.26338e-07,1.10403e-05,0.170644188,0.144235983,PGS1
