pic_names,pic_logfoldchanges_x,pic_pvals_x,pic_pvals_adj_x,pic_pts_x,UNST_pts_x,1to1_bat_dragon_x,pic_logfoldchanges_y,pic_pvals_y,pic_pvals_adj_y,pic_pts_y,UNST_pts_y,1to1_bat_dragon_y
IFNB1,4.301702499,0.000230934,0.002283942,0.026200376,0.003849908,IFNB1,26.88949776,0.000499396,0.005671304,0.065592635,0,IFNB1
ISG15,2.88180542,0,0,0.970439141,0.727469906,ISG15,7.401402473,4.80E-121,5.30E-118,0.448791715,0.010279001,ISG15
PLEKHA4,2.624156237,1.99E-06,2.83E-05,0.043515407,0.014857391,PLEKHA4,0,1,1,0,0,PLEKHA4
DHX58,2.588986397,0,0,0.308082246,0.079492463,DHX58,3.544312954,0.001367543,0.014112982,0.066168009,0.005873715,DHX58
SOCS1,2.537525415,0,0,0.552543145,0.188591259,SOCS1,0.756132007,0.599969517,1,0.01726122,0.007342144,SOCS1
TRANK1,2.495387554,0,0,0.606026086,0.230669125,TRANK1,3.430800438,4.07E-31,4.07E-29,0.266398159,0.054821341,TRANK1
HERC5,2.37336731,0,0,0.639517002,0.260980371,HERC5,5.937894821,1.04E-67,3.48E-65,0.338895282,0.013705335,HERC5
DDX58,2.34931612,0,0,0.63934613,0.251979178,DDX58,1.916131377,2.40E-21,1.38E-19,0.279631761,0.111600587,DDX58
IFIH1,2.238087654,0,0,0.609500484,0.269656219,IFIH1,3.008174896,1.10E-124,1.47E-121,0.593210587,0.226138032,IFIH1
TMEM140,2.134674072,0,0,0.368741812,0.129595489,TMEM140,2.678598404,0.065152648,0.402053092,0.039700806,0.004894763,TMEM140
EIF2AK2,2.126232147,0,0,0.74528678,0.393341286,EIF2AK2,4.043765068,1.49E-111,1.33E-108,0.47986191,0.083210964,EIF2AK2
USP18,2.060571432,0,0,0.480776898,0.18338575,USP18,5.539772987,4.76E-34,5.45E-32,0.236478711,0.00783162,USP18
MX1,1.976527452,0,0,0.915646181,0.650200629,MX1,17.8277607,0.97563975,1,0.000575374,0,MX1
TNFSF10,1.957485318,0,0,0.836418523,0.513013773,TNFSF10,2.921099901,4.28E-10,1.12E-08,0.141542002,0.024963289,TNFSF10
RSAD2,1.939818501,1.62E-137,4.09E-135,0.218488352,0.066858258,RSAD2,7.169781685,2.17E-31,2.19E-29,0.223820483,0.004894763,RSAD2
ETV7,1.870752096,8.06E-24,4.30E-22,0.088853449,0.027871164,ETV7,2.545388222,1.77E-12,5.76E-11,0.164556962,0.032305433,ETV7
CEP55,1.841146708,5.64E-08,9.87E-07,0.050464202,0.017622817,CEP55,0.689529061,0.925905628,1,0.005178366,0.003426334,CEP55
UBA7,1.814621568,1.36E-58,1.78E-56,0.151221735,0.054928966,UBA7,2.38589859,0.145135881,0.757223667,0.033371692,0.005873715,UBA7
TNF,1.773327589,8.64E-16,3.05E-14,0.100928405,0.05416983,TNF,3.223140955,7.29E-164,2.74E-160,0.681242808,0.215859031,TNF
STARD4,1.767880321,1.13E-295,5.34E-293,0.369880959,0.163214402,STARD4,1.330559492,3.19E-15,1.26E-13,0.259493671,0.115026921,STARD4
NT5C3A,1.763314843,0,0,0.742837615,0.441871814,NT5C3A,0.295270354,0.107941268,0.59966661,0.146720368,0.115516397,NT5C3A
