0,1,2,3
ITGAV,FTH1,ENSGALG00010002566,MT-COX2
CREG1,B2M,CSTA,MT-CYTB
TUBB1,SSFA2,TUBB1,MT-COX3
RAPGEF2,MAFK,RPS11,MT-ATP6
TLN1,CNST,ENSGALG00010007911,MT-COX1
MAFK,HEXIM1,H1F0,MT-ND5
RGS18,ENSGALG00010003110,ITGB3,MT-ND6
H1F0,SVIL,MYH11_1,MT-ND3
TFPI,PMP22,ACTB,MT-ND4
ENSGALG00010002566,ENSGALG00010003817,RGS18,ENSGALG00010006943
MYH11_1,TIMP3,DNASE1L3,MT-ND2
MPL,TFPI,LDHA,ENSGALG00010000657
CNST,TET1,RAC2,CXCR4
ITM2A,UBC_2,CTSB,MT-ND1-2
ENSGALG00010018888,RAPGEF2,CALM3_2,ENSGALG00010000005
INF2,RSRP1,H3F3A_1,CD74
ENSGALG00010018886,CD63,TLN1,MBP
KIAA1210,ITGAV,HPSE,P2RY8
DAB2IP,FLI1,CREG1,SLC4A7
PLEK,RPLP1,F10,FOXP1
NRP1,JAK2,MPL,ENSGALG00010024021
CDC42BPB,MORC3,ITGA2,RAB39B
CTSB,CREG1,KIAA1210,BHLHE41
KLF6,H3F3A_2,MYL12B_1,HLA-DPB1_6
FTH1,RASA3,ITM2A,SLC7A6
CSTA,UBC_1,SH3BGRL,ENSGALG00010000003
ATP2A3,KLF6,TMEM140,ZNF217
MACF1,MEIS1,PLEK,PDCD4
RASA3,SYNM,LIMS1_2,ENSGALG00010003542
SH3BGRL,NFKBIA,CORO1C,ZFP36L1
SSFA2,TIAM1,NFE2,TLR7
TIMP3,IRF2,TMEM14C_1,ENSGALG00010007769
ENSGALG00010007911,HNRNPAB,ENSGALG00010027664,WDFY4
MBNL1,ITM2A,VPS13A,BTG1
SVIL,IRF1,CTTN,ENSGALG00010002366
JAK2,BIRC2,CDC42EP1,ENSGALG00010000707
UBC_2,TFB2M,MYLK,ENSGALG00010002050
SGK1,MEF2A,ACTG1_2,NRK
PMP22,MGEA5,PLS3,ENSGALG00010012677
RSRP1,NIPBL_1,ITGB1,ANKRD44
TAL1,CDC42BPB,PARVB,RGS1
RAP1B,RBPMS2,ATP2A3,BCL11A
MYLK,ENSGALG00010007287,EIF1,SEPP1_1
SELP_2,CAMK2D,ENSGALG00010018886,ENSGALG00010000696
KMT2C,GAPDH,ECM1,AKAP13
DNAJB4,BRD1,ENSGALG00010024177,CNTRL
NIPBL_1,KIAA0232,H3F3A_2,DNMT3A
HERC1,DAB2IP,TESC,ARHGAP24
CMIP,CREBRF,CD244,CXORF21
FLI1,ENSGALG00010003796,DIAPH2_1,HIF1A
H3F3A_2,RSAD2,INF2,HNRNPDL
LPP,KLF10,FLNB,HLA-DPB1_5
MPPED1,TOR1AIP1,RAB20,PLAC8_2
PNRC1,ENSGALG00010018888,NRP2,HSP90AA1
ITGB3,POLD4,TPM3_2,GPR183_2
ECM1,WNT1,SELP_2,GLCCI1
VPS13A,BATF3,PMP22,EVI2A
ITGB1,ANO5,CCNI,ENSGALG00010007200
DNAJC5,SELE,TAL1,TMEM131
ARHGEF12,INF2,RAP1B,ENSGALG00010009395
TESC,HERC1,GP9,DDX5
KALRN,SERPINB2,ITGAV,LDLRAD4
B2M,SOGA1,MACF1,ENSGALG00010015670
ENSGALG00010003110,DYNC1H1,RBM38,NPM1
OSMR,MYCT1,GSN,ROCK1
GDA,PLEK,FTH1,KLF2
CTTN,ZBTB26,ENSGALG00010018888,SEPT9
SEC14L1,SRSF1,TSC22D1_1,STAT4
FYB,MCL1,KALRN,ERO1LB
HEXIM1,SGK1,SKP1,SYT4
VCL,PNRC1,TPH1,ENSGALG00010018038
PBX1,MGA,SEC14L1,HMGCS1
ITGA2,LPIN2,CDC42BPB,ZEB1
GP9,RAP1B,ENSGALG00010019359,CARHSP1
RBM38,ATP2A3,ILK,SF3B1
SMAD6,TMEM123,RPL34,CIITA
ENSGALG00010007287,HSPA2,VCL,RHOH
MCL1,KIAA1109,BIN2,ETS1
ZEB2,BRD2,BTK,ENSGALG00010012473
PRKD1,ENSGALG00010025477,AGFG1,GNS
MORC3,UBE2H,F13A1,IKZF1
FRMD4B,PBX1,REEP1,ABCC1
PPM1E,OSMR,ZFYVE21,ADAMTSL2_2
MEIS1,RPS29,ARHGAP18,LPAR5
ANO3,RPS27,NRP1,BCL7A
TET1,PLEKHO2,SLC18A2,RPL21
TSC22D1_1,MYO18A_3,FRMD4B,HMGB1
RAB20,SHROOM2,B2M,RPL6
IL31RA,HNRNPH1,ZEB2,CCDC186
CDC42EP1,PITPNC1_2,BCL2L10,TRANK1
RAB11FIP5,SYTL2,CSRP1,FAM46A
PDE4D_1,RPS14,PTPRJ,STK10
DENND2A,HBEGF,RSU1,PARP14_2
CALM3_2,ASPH,ZYX,BBX
CD63,ANKRD11,GK,ENSGALG00010014989
GNAQ,FAM46D,HRAS,AMD1
TMEM140,ZEB2,ACTN1,ENSGALG00010006547
ENSGALG00010018696,TAL1,EML1,TAP2
RBPMS2,CHN2_2,EHD4,DMXL1
CHN2_2,FGD6,RASA3,LAPTM5
