,gene_ids,n_cells,MT,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
SPRY2,ENSGALG00010000711,67,False,67,0.0039565284,99.66444633645514,79.0
PCDH20,ENSGALG00010000715,61,False,61,0.0042570243,99.69449591826513,85.0
NDFIP2,ENSGALG00010000717,1737,False,1737,0.107427254,91.30064606600892,2145.0
RBM26,ENSGALG00010000720,6803,False,6803,0.49421546,65.92878249111034,9868.0
RNF219,ENSGALG00010000724,323,False,323,0.018530576,98.38233084589572,370.0
EDNRB,ENSGALG00010000729,18,False,18,0.0017028096,99.90985125457004,34.0
SLAIN1,ENSGALG00010000734,39,False,39,0.0021034707,99.8046777182351,42.0
SCEL,ENSGALG00010000757,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010000762,ENSGALG00010000762,245,False,245,0.013722642,98.77297540942556,274.0
MYCBP2,ENSGALG00010000777,8135,False,8135,0.69985473,59.257775329293324,13974.0
FBXL3,ENSGALG00010000784,2406,False,2406,0.14589071,87.95011769419541,2913.0
CLN5,ENSGALG00010000785,368,False,368,0.024089748,98.15695898232083,481.0
ENSGALG00010000788,ENSGALG00010000788,1412,False,1412,0.09004858,92.92833174738318,1798.0
IRG1,ENSGALG00010000791,101,False,101,0.017829418,99.49416537286523,356.0
KCTD12_2,ENSGALG00010000796,11,False,11,0.00060099165,99.94490910001502,12.0
LMO7,ENSGALG00010000800,5,False,5,0.00030049583,99.97495868182502,6.0
ENSGALG00010000804,ENSGALG00010000804,3,False,3,0.00015024791,99.98497520909501,3.0
UCHL3,ENSGALG00010000810,721,False,721,0.04582561,96.38904191916663,915.0
COMMD6,ENSGALG00010000812,1047,False,1047,0.062252715,94.75634797415736,1243.0
TBC1D4,ENSGALG00010000816,1779,False,1779,0.10352081,91.09029899333902,2067.0
KLF12,ENSGALG00010000818,711,False,711,0.03916462,96.4391245555166,782.0
KLF5_1,ENSGALG00010000820,72,False,72,0.0061100814,99.63940501828016,122.0
PIBF1,ENSGALG00010000823,312,False,312,0.018280162,98.4374217458807,365.0
DIS3,ENSGALG00010000843,699,False,699,0.042419992,96.49922371913658,847.0
BORA,ENSGALG00010000859,28,False,28,0.001652727,99.85976861822007,33.0
MZT1,ENSGALG00010000864,244,False,244,0.014123304,98.77798367306056,282.0
ENSGALG00010000905,ENSGALG00010000905,4,False,4,0.00020033054,99.97996694546,4.0
ENSGALG00010000908,ENSGALG00010000908,14,False,14,0.0007011569,99.92988430911002,14.0
ENSGALG00010000914,ENSGALG00010000914,39,False,39,0.0021034707,99.8046777182351,42.0
ENSGALG00010000916,ENSGALG00010000916,13,False,13,0.0006510743,99.93489257274503,13.0
ENSGALG00010000920,ENSGALG00010000920,3,False,3,0.00020033054,99.98497520909501,4.0
ENSGALG00010000926,ENSGALG00010000926,4,False,4,0.00020033054,99.97996694546,4.0
ENSGALG00010000935,ENSGALG00010000935,14,False,14,0.0007011569,99.92988430911002,14.0
ENSGALG00010000939,ENSGALG00010000939,4,False,4,0.00020033054,99.97996694546,4.0
ENSGALG00010000941,ENSGALG00010000941,6,False,6,0.00030049583,99.96995041819001,6.0
ENSGALG00010000944,ENSGALG00010000944,14,False,14,0.0007011569,99.92988430911002,14.0
ENSGALG00010000947,ENSGALG00010000947,12,False,12,0.00060099165,99.93990083638002,12.0
ENSGALG00010000948,ENSGALG00010000948,7,False,7,0.00035057846,99.96494215455502,7.0
ENSGALG00010000953,ENSGALG00010000953,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010000958,ENSGALG00010000958,7,False,7,0.00035057846,99.96494215455502,7.0
ENSGALG00010000963,ENSGALG00010000963,12,False,12,0.00060099165,99.93990083638002,12.0
ENSGALG00010000967,ENSGALG00010000967,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010000970,ENSGALG00010000970,8,False,8,0.00045074374,99.95993389092001,9.0
ENSGALG00010000977,ENSGALG00010000977,55,False,55,0.002754545,99.72454550007512,55.0
ENSGALG00010000984,ENSGALG00010000984,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010000987,ENSGALG00010000987,6,False,6,0.00030049583,99.96995041819001,6.0
ENSGALG00010000998,ENSGALG00010000998,5,False,5,0.00025041317,99.97495868182502,5.0
ENSGALG00010001027,ENSGALG00010001027,22,False,22,0.001101818,99.88981820003005,22.0
ENSGALG00010001029,ENSGALG00010001029,12,False,12,0.00060099165,99.93990083638002,12.0
ENSGALG00010001032,ENSGALG00010001032,3870,False,3870,0.23263384,80.61801973255872,4645.0
ENSGALG00010001050,ENSGALG00010001050,38,False,38,0.0020533882,99.80968598187009,41.0
ENSGALG00010001054,ENSGALG00010001054,14,False,14,0.0007011569,99.92988430911002,14.0
ENSGALG00010001057,ENSGALG00010001057,8,False,8,0.00040066108,99.95993389092001,8.0
ENSGALG00010001058,ENSGALG00010001058,232,False,232,0.012220163,98.83808283668051,244.0
ENSGALG00010001059,ENSGALG00010001059,1381,False,1381,0.08494015,93.08358792006811,1696.0
ENSGALG00010001065,ENSGALG00010001065,50,False,50,0.0026042971,99.74958681825011,52.0
ENSGALG00010001069,ENSGALG00010001069,5,False,5,0.00025041317,99.97495868182502,5.0
ENSGALG00010001071,ENSGALG00010001071,4,False,4,0.00020033054,99.97996694546,4.0
ENSGALG00010001072,ENSGALG00010001072,5,False,5,0.00025041317,99.97495868182502,5.0
ENSGALG00010001073,ENSGALG00010001073,11,False,11,0.000550909,99.94490910001502,11.0
ENSGALG00010001074,ENSGALG00010001074,8,False,8,0.00040066108,99.95993389092001,8.0
ENSGALG00010001075,ENSGALG00010001075,105,False,105,0.0054089245,99.47413231832523,108.0
ENSGALG00010001077,ENSGALG00010001077,4,False,4,0.00025041317,99.97996694546,5.0
ENSGALG00010001078,ENSGALG00010001078,4,False,4,0.00020033054,99.97996694546,4.0
ENSGALG00010001081,ENSGALG00010001081,5,False,5,0.00030049583,99.97495868182502,6.0
ENSGALG00010001083,ENSGALG00010001083,7,False,7,0.00035057846,99.96494215455502,7.0
ENSGALG00010001085,ENSGALG00010001085,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010001094,ENSGALG00010001094,3,False,3,0.00015024791,99.98497520909501,3.0
ENSGALG00010001099,ENSGALG00010001099,8,False,8,0.00040066108,99.95993389092001,8.0
ENSGALG00010001103,ENSGALG00010001103,3,False,3,0.00015024791,99.98497520909501,3.0
POT1,ENSGALG00010001194,263,False,263,0.015225122,98.6828266639956,304.0
LSMEM1,ENSGALG00010001196,44,False,44,0.003455702,99.7796364000601,69.0
IFRD1,ENSGALG00010001198,6137,False,6137,0.512095,69.26428607201883,10225.0
CTTNBP2,ENSGALG00010001200,28,False,28,0.0014523965,99.85976861822007,29.0
TES,ENSGALG00010001214,1581,False,1581,0.09896329,92.08193519306856,1976.0
TFEC,ENSGALG00010001219,143,False,143,0.01176942,99.28381830019532,235.0
PLXNB2,ENSGALG00010001220,1475,False,1475,0.09961437,92.61281113837832,1989.0
ZNF800,ENSGALG00010001222,398,False,398,0.023639005,98.0067110732709,472.0
DNAJB9,ENSGALG00010001224,1327,False,1327,0.09445585,93.35403415635798,1886.0
THAP5,ENSGALG00010001228,339,False,339,0.018079832,98.30219862773576,361.0
TSPAN12,ENSGALG00010001232,280,False,280,0.01577603,98.59768618220063,315.0
AASS,ENSGALG00010001234,11,False,11,0.000550909,99.94490910001502,11.0
ZNF277,ENSGALG00010001251,184,False,184,0.010467271,99.07847949116041,209.0
FAM3C,ENSGALG00010001264,662,False,662,0.04657685,96.68452947363149,930.0
LRRN3,ENSGALG00010001281,274,False,274,0.017228426,98.62773576401061,344.0
DOCK4,ENSGALG00010001298,237,False,237,0.017579006,98.81304151850553,351.0
CPED1,ENSGALG00010001320,90,False,90,0.0051585115,99.5492562728502,103.0
ING3_1,ENSGALG00010001349,2311,False,2311,0.14303601,88.42590273952021,2856.0
IMMP2L_1,ENSGALG00010001367,416,False,416,0.02298793,97.91656232784094,459.0
MDFIC,ENSGALG00010001381,740,False,740,0.04822958,96.29388491010167,963.0
ASB11,ENSGALG00010001427,49,False,49,0.0025041318,99.75459508188511,50.0
ENSGALG00010001443,ENSGALG00010001443,830,False,830,0.055741973,95.84314118295187,1113.0
LSM8,ENSGALG00010001456,483,False,483,0.028046276,97.58100866429609,560.0
ASB9,ENSGALG00010001461,134,False,134,0.007762809,99.32889267291031,155.0
ENSGALG00010001466,ENSGALG00010001466,975,False,975,0.064155854,95.11694295587719,1281.0
GPR85,ENSGALG00010001470,23,False,23,0.0012520659,99.88480993639504,25.0
C7ORF60,ENSGALG00010001475,695,False,695,0.039965943,96.51925677367656,798.0
NLGN4X,ENSGALG00010001477,8,False,8,0.00040066108,99.95993389092001,8.0
TMEM168,ENSGALG00010001479,1570,False,1570,0.093253866,92.13702609305355,1862.0
ENSGALG00010001492,ENSGALG00010001492,12,False,12,0.00060099165,99.93990083638002,12.0
CAPZA2,ENSGALG00010001501,3243,False,3243,0.21780938,83.7582010317023,4349.0
AP1S2,ENSGALG00010001510,794,False,794,0.058446437,96.0234386738118,1167.0
ZRSR2,ENSGALG00010001513,2328,False,2328,0.14819452,88.34076225772525,2959.0
CAV2,ENSGALG00010001517,10,False,10,0.000550909,99.94991736365002,11.0
ASMT,ENSGALG00010001536,7,False,7,0.00035057846,99.96494215455502,7.0
TRABD,ENSGALG00010001540,341,False,341,0.021685781,98.29218210046577,433.0
SELENOO,ENSGALG00010001545,564,False,564,0.031051235,97.17533930986127,620.0
AKAP17A_1,ENSGALG00010001548,1473,False,1473,0.09110031,92.62282766564832,1819.0
FAM160A2,ENSGALG00010001551,1148,False,1148,0.063154206,94.25051334702259,1261.0
TUBGCP6,ENSGALG00010001552,435,False,435,0.025742475,97.82140531877597,514.0
ENSGALG00010001553,ENSGALG00010001553,14,False,14,0.00075123954,99.92988430911002,15.0
HDAC10,ENSGALG00010001559,176,False,176,0.009816197,99.1185456002404,196.0
SMPD1,ENSGALG00010001570,1770,False,1770,0.15094906,91.13537336605398,3014.0
TBL1X,ENSGALG00010001599,3691,False,3691,0.27134773,81.51449892322333,5418.0
APBB1,ENSGALG00010001605,305,False,305,0.016226774,98.4724795913257,324.0
PIGA,ENSGALG00010001606,1158,False,1158,0.06726098,94.2004307106726,1343.0
MAPK12,ENSGALG00010001611,64,False,64,0.0039064456,99.67947112736015,78.0
TRIM3,ENSGALG00010001617,142,False,142,0.0072119,99.28882656383033,144.0
MOSPD2,ENSGALG00010001620,2124,False,2124,0.12510642,89.36244803926479,2498.0
ARFIP2,ENSGALG00010001627,1058,False,1058,0.0588471,94.70125707417239,1175.0
MAPK11,ENSGALG00010001628,122,False,122,0.0071117342,99.38899183653027,142.0
FANCB,ENSGALG00010001632,226,False,226,0.012570742,98.8681324184905,251.0
TIMM10B,ENSGALG00010001635,865,False,865,0.047328092,95.66785195572695,945.0
ENSGALG00010001647,ENSGALG00010001647,7,False,7,0.00040066108,99.96494215455502,8.0
RPS11,ENSGALG00010001654,12006,False,12006,1.8561126,39.87078679821706,37061.0
ENSGALG00010001674,ENSGALG00010001674,832,False,832,0.044523463,95.83312465568187,889.0
SYAP1,ENSGALG00010001678,1691,False,1691,0.10487304,91.5310261932188,2094.0
WASL_1,ENSGALG00010001686,413,False,413,0.024189914,97.93158711874594,483.0
ILK,ENSGALG00010001689,3786,False,3786,0.24425302,81.03871387789854,4877.0
CTPS2,ENSGALG00010001691,131,False,131,0.007562478,99.34391746381529,151.0
TAF10,ENSGALG00010001697,2392,False,2392,0.13517304,88.02023338508539,2699.0
ASB15,ENSGALG00010001699,6,False,6,0.00030049583,99.96995041819001,6.0
NDUFA5,ENSGALG00010001701,663,False,663,0.037261482,96.6795212099965,744.0
DCHS1,ENSGALG00010001704,4,False,4,0.00025041317,99.97996694546,5.0
IQUB,ENSGALG00010001706,169,False,169,0.008714379,99.15360344568538,174.0
LCMT2,ENSGALG00010001710,288,False,288,0.016076526,98.55762007312065,321.0
ATP6AP1,ENSGALG00010001712,1143,False,1143,0.25997898,94.27555466519757,5191.0
PNPLA4,ENSGALG00010001713,484,False,484,0.03781239,97.57600040066109,755.0
SLC13A1,ENSGALG00010001714,40,False,40,0.0020033054,99.79966945460009,40.0
STARD10,ENSGALG00010001717,3,False,3,0.00015024791,99.98497520909501,3.0
STS,ENSGALG00010001728,414,False,414,0.022687435,97.92657885511093,453.0
CLPB,ENSGALG00010001731,24,False,24,0.0012019833,99.87980167276005,24.0
HDHD1,ENSGALG00010001738,1548,False,1548,0.10281965,92.24720789302349,2053.0
ARAP1,ENSGALG00010001744,71,False,71,0.0035558671,99.64441328191515,71.0
ENSGALG00010001746,ENSGALG00010001746,4,False,4,0.00020033054,99.97996694546,4.0
ARRB1,ENSGALG00010001752,1690,False,1690,0.098312214,91.53603445685381,1963.0
PNPLA8,ENSGALG00010001753,1462,False,1462,0.08779486,92.6779185656333,1753.0
WDR73,ENSGALG00010001771,471,False,471,0.025742475,97.64110782791606,514.0
ENSGALG00010001774,ENSGALG00010001774,15,False,15,0.00075123954,99.92487604547503,15.0
CNTN1,ENSGALG00010001785,116,False,116,0.0071117342,99.41904141834026,142.0
P2RY8,ENSGALG00010001786,6717,False,6717,0.9599339,66.35949316372015,19167.0
SLCO2B1,ENSGALG00010001796,43,False,43,0.0025542146,99.7846446636951,51.0
ASMTL,ENSGALG00010001807,387,False,387,0.023088096,98.06180197325587,461.0
SLC25A6,ENSGALG00010001817,3749,False,3749,0.281815,81.22401963239345,5627.0
PGM2L1,ENSGALG00010001820,393,False,393,0.021034706,98.03175239144588,420.0
KCNE3,ENSGALG00010001822,6,False,6,0.00030049583,99.96995041819001,6.0
ENSGALG00010001825,ENSGALG00010001825,605,False,605,0.03425652,96.97000050082636,684.0
POLD3,ENSGALG00010001829,938,False,938,0.05604247,95.30224871037211,1119.0
CSF2RA_1,ENSGALG00010001831,377,False,377,0.040016025,98.11188460960585,799.0
ZCRB1,ENSGALG00010001834,1843,False,1843,0.11203486,90.76977012069915,2237.0
TAB3,ENSGALG00010001837,1054,False,1054,0.059147593,94.72129012871238,1181.0
PPHLN1,ENSGALG00010001838,609,False,609,0.034056194,96.94996744628637,680.0
CSF2RA_2,ENSGALG00010001839,256,False,256,0.026193218,98.71788450944058,523.0
PRICKLE1,ENSGALG00010001843,41,False,41,0.0021535533,99.7946611909651,43.0
ENSGALG00010001847,ENSGALG00010001847,17,False,17,0.0012520659,99.91485951820503,25.0
CHRDL2,ENSGALG00010001854,21,False,21,0.001101818,99.89482646366504,22.0
RNF169,ENSGALG00010001860,584,False,584,0.032703962,97.07517403716132,653.0
CYBB,ENSGALG00010001865,282,False,282,0.029999498,98.58766965493064,599.0
PUS7L,ENSGALG00010001866,330,False,330,0.018530576,98.34727300045074,370.0
CRLF2,ENSGALG00010001869,42,False,42,0.0047578504,99.7896529273301,95.0
XK,ENSGALG00010001878,58,False,58,0.003305454,99.70952070917014,66.0
IRAK4,ENSGALG00010001879,234,False,234,0.013622477,98.82806630941052,272.0
SPCS2,ENSGALG00010001886,1090,False,1090,0.07807883,94.54099263785245,1559.0
KLHL34,ENSGALG00010001890,4,False,4,0.00025041317,99.97996694546,5.0
P4HA3,ENSGALG00010001895,16,False,16,0.00080132217,99.91986778184003,16.0
TLR7,ENSGALG00010001897,1025,False,1025,0.10291982,94.8665297741273,2055.0
TWF1,ENSGALG00010001899,200,False,200,0.011669254,98.99834727300045,233.0
