eggnog_name,gene_id
MT-TF,ENSG00000210049
MT-RNR1,ENSG00000211459
MT-TV,ENSG00000210077
MT-RNR2,ENSG00000210082
MT-TL1,ENSG00000209082
MT-ND1,ENSG00000198888
MT-TI,ENSG00000210100
MT-TQ,ENSG00000210107
MT-TM,ENSG00000210112
MT-ND2,ENSG00000198763
MT-TW,ENSG00000210117
MT-TA,ENSG00000210127
MT-TN,ENSG00000210135
MT-TC,ENSG00000210140
MT-TY,ENSG00000210144
MT-CO1,ENSG00000198804
MT-TS1,ENSG00000210151
MT-TD,ENSG00000210154
MT-CO2,ENSG00000198712
MT-TK,ENSG00000210156
MT-ATP8,ENSG00000228253
MT-ATP6,ENSG00000198899
MT-CO3,ENSG00000198938
MT-TG,ENSG00000210164
MT-ND3,ENSG00000198840
MT-TR,ENSG00000210174
MT-ND4L,ENSG00000212907
MT-ND4,ENSG00000198886
MT-TH,ENSG00000210176
MT-TS2,ENSG00000210184
MT-TL2,ENSG00000210191
MT-ND5,ENSG00000198786
MT-ND6,ENSG00000198695
MT-TE,ENSG00000210194
MT-CYB,ENSG00000198727
MT-TT,ENSG00000210195
MT-TP,ENSG00000210196
,ENSG00000278704
,ENSG00000277630
,ENSG00000276197
Y_RNA,ENSG00000277428
,ENSG00000271254
,ENSG00000278573
U6,ENSG00000278625
5S_rRNA,ENSG00000278457
U1,ENSG00000277374
Y_RNA,ENSG00000276932
,ENSG00000277400
,ENSG00000278633
,ENSG00000273748
,ENSG00000277196
,ENSG00000278066
MAFIP,ENSG00000274847
RNA5-8SN5,ENSG00000274917
,ENSG00000276256
5_8S_rRNA,ENSG00000278294
5_8S_rRNA,ENSG00000273730
,ENSG00000273937
U6,ENSG00000278793
,ENSG00000278817
,ENSG00000276017
U1,ENSG00000275987
,ENSG00000275661
,ENSG00000276351
,ENSG00000268674
,ENSG00000277475
,ENSG00000276345
U1,ENSG00000275405
,ENSG00000275063
,ENSG00000277856
,ENSG00000274175
,ENSG00000273532
,ENSG00000278384
,ENSG00000273554
,ENSG00000275869
,ENSG00000278510
,ENSG00000273843
,ENSG00000277836
,ENSG00000276312
RNA5-8SN4,ENSG00000276700
5_8S_rRNA,ENSG00000275757
,ENSG00000273739
,ENSG00000288372
,ENSG00000288288
,ENSG00000288129
LINC03015,ENSG00000288472
LINC03014,ENSG00000288417
,ENSG00000288502
,ENSG00000288311
,ENSG00000288449
FAM20C,ENSG00000288499
,ENSG00000288159
,ENSG00000288431
U2,ENSG00000276711
U2,ENSG00000274202
,ENSG00000288260
RNU5B-4P,ENSG00000288430
ECSCR,ENSG00000288297
SMIM33,ENSG00000288274
STING1,ENSG00000288243
,ENSG00000288388
NCOA4P4,ENSG00000288138
,ENSG00000288319
U6,ENSG00000288521
ABCD1P4,ENSG00000288394
,ENSG00000288228
PABPC1P9,ENSG00000288342
SLC9B1P4,ENSG00000288315
ACTR3BP6,ENSG00000288272
,ENSG00000290500
OR9G1,ENSG00000261958
OR9G9,ENSG00000262191
,ENSG00000281683
OR9G3P,ENSG00000262268
OR9G4,ENSG00000262647
OR9G2P,ENSG00000281777
OR5G1P,ENSG00000281313
OR5G4P,ENSG00000281279
OR5G5P,ENSG00000262535
OR5G3,ENSG00000281107
LINC02735,ENSG00000281839
TSPY24P,ENSG00000215601
ZNF92P1Y,ENSG00000215603
RBMY3AP,ENSG00000231436
SERBP1P2,ENSG00000225878
TSPY12P,ENSG00000236435
,ENSG00000278478
DUX4L19,ENSG00000258991
TTTY12,ENSG00000237048
TTTY7B,ENSG00000147761
,ENSG00000224518
OFD1P3Y,ENSG00000231988
RBMY2HP,ENSG00000238073
,ENSG00000275866
TTTY6,ENSG00000131538
ELOCP35,ENSG00000271595
SLC9B1P1,ENSG00000183704
USP12PY,ENSG00000232927
TTTY23,ENSG00000239225
KDM5DP1,ENSG00000277438
TTTY7,ENSG00000147753
LINC00279,ENSG00000286217
DUX4L17,ENSG00000259154
PRY,ENSG00000169789
TSPY18P,ENSG00000231874
,ENSG00000273589
PCMTD1P1,ENSG00000226061
,ENSG00000273863
HSFY7P,ENSG00000228571
,ENSG00000271375
ZNF736P6Y,ENSG00000224634
TUSC2P1,ENSG00000285470
RBMY2AP,ENSG00000226092
TTTY2B,ENSG00000212856
TTTY21,ENSG00000228890
PUDPP1,ENSG00000234620
,ENSG00000236690
CDRT15P10,ENSG00000273693
USP9Y,ENSG00000114374
GRK1,ENSG00000288263
LINC00552,ENSG00000288305
PRY2,ENSG00000169807
TSPY25P,ENSG00000234110
,ENSG00000223422
OFD1P8Y,ENSG00000231159
RNF19BPY,ENSG00000225653
,ENSG00000251618
TSPY23P,ENSG00000229159
TUBB1P2,ENSG00000228578
DUX4L31,ENSG00000231411
TSPY13P,ENSG00000187657
,ENSG00000275280
ACTR3BP1,ENSG00000270242
RPS24P1,ENSG00000236477
TTTY1B,ENSG00000129816
RCC2P2,ENSG00000237997
ZNF736P8Y,ENSG00000244246
RBMY2OP,ENSG00000234950
EIF1AY,ENSG00000198692
TSPY19P,ENSG00000234583
BPY2,ENSG00000183753
MTND1P12,ENSG00000225433
STSP1,ENSG00000227166
,ENSG00000228379
CTBP2P1,ENSG00000235857
MTND6P1,ENSG00000223955
DLGAP5P1,ENSG00000237195
CDC27P2,ENSG00000237447
TTTY8B,ENSG00000185700
PABPC1P5,ENSG00000270455
TSPY22P,ENSG00000229940
RCC2P1,ENSG00000234385
SHROOM2P1,ENSG00000226863
TTTY2,ENSG00000212855
,ENSG00000237968
TTTY18,ENSG00000233699
,ENSG00000286009
,ENSG00000271365
DUX4L18,ENSG00000259029
TSPY16P,ENSG00000226223
,ENSG00000235895
,ENSG00000286201
RBMY2GP,ENSG00000223744
ZNF736P11Y,ENSG00000215537
OFD1P9Y,ENSG00000230476
,ENSG00000225840
BPY2DP,ENSG00000229745
TOLLIP,ENSG00000291426
RBMY2JP,ENSG00000227204
CHEK2P1,ENSG00000275828
,ENSG00000232617
RBMY2UP,ENSG00000225615
FAM224B,ENSG00000230663
ZNF886P,ENSG00000232522
TOLLIP-DT,ENSG00000291427
ELOCP8,ENSG00000234131
,ENSG00000291429
OFD1P16Y,ENSG00000277519
LINC02689,ENSG00000291430
TTTY25P,ENSG00000259247
FAM197Y1,ENSG00000224336
,ENSG00000273731
BRSK2,ENSG00000291428
,ENSG00000236951
ASS1P6,ENSG00000215583
SNX18P1Y,ENSG00000274162
RBMY2NP,ENSG00000229208
TTTY1,ENSG00000129845
,ENSG00000227444
MED14P1,ENSG00000233774
HSFY5P,ENSG00000232475
ZNF885P,ENSG00000228764
ARSFP1,ENSG00000232226
,ENSG00000224567
ZNF736P7Y,ENSG00000241200
SURF6P1,ENSG00000228518
XGY1,ENSG00000227447
,ENSG00000291441
,ENSG00000274231
DUSP8,ENSG00000291431
,ENSG00000286050
ANKRD20A6P,ENSG00000274502
,ENSG00000235094
KRTAP5-AS1,ENSG00000291432
,ENSG00000278854
TTTY8,ENSG00000183385
KRTAP5-1,ENSG00000291433
KRTAP5-2,ENSG00000291434
KRTAP5-3,ENSG00000291435
KRTAP5-4,ENSG00000291440
KRTAP5-5,ENSG00000291443
,ENSG00000291436
RBMY2KP,ENSG00000225809
FAM99A,ENSG00000291437
TSPY21P,ENSG00000237902
FAM99B,ENSG00000291438
TTTY19,ENSG00000232419
LINC02708,ENSG00000291439
TSPY17P,ENSG00000232620
MOB2,ENSG00000291442
TTTY4,ENSG00000226906
,ENSG00000230025
TSPY15P,ENSG00000236786
TTTY22,ENSG00000224075
TSPY11P,ENSG00000238235
,ENSG00000274445
MXRA5Y,ENSG00000235649
DUX4L16,ENSG00000258567
TSPY10,ENSG00000236424
MTCYBP1,ENSG00000234179
,ENSG00000271309
USP9YP17,ENSG00000229553
TTTY17A,ENSG00000228240
