lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
FTH1_1,2.872799635,0,0,0.987327824,0.923641703,no
CALM2_2,2.254375935,2.947E-244,2.766E-240,0.89862259,0.75917768,no
TNIP1,2.893311977,1.0582E-221,6.6217E-218,0.756473829,0.368086148,TNIP1
TNFRSF1B,3.467703342,9.7871E-216,4.5931E-212,0.721212121,0.279001468,TNFRSF1B
GCH1_2,2.037026167,6.4757E-204,2.4312E-200,0.851239669,0.644150759,no
TNF,3.698753595,2.1752E-187,6.8056E-184,0.678787879,0.215859031,TNF
TEX2_1,2.636517048,8.4474E-157,2.2654E-153,0.663911846,0.257953989,no
MS4A15_3,2.309808493,4.0701E-151,9.5505E-148,0.731680441,0.449339207,no
LACC1,3.016519547,9.6724E-140,2.0174E-136,0.6,0.203132648,LACC1
SLC2A9,2.108072996,1.6599E-137,3.116E-134,0.740495868,0.450807636,no
UNC13D,2.019192219,3.0122E-137,5.1404E-134,0.755371901,0.441507587,UNC13D
PSTPIP2,2.043101311,1.7392E-135,2.7207E-132,0.717355372,0.444444444,PSTPIP2
FRRS1,4.837997913,1.9013E-116,2.7454E-113,0.458402204,0.044052863,FRRS1
TNFAIP2,2.93654561,2.954E-114,3.9609E-111,0.580716253,0.227606461,TNFAIP2
NADK,1.59238863,1.5247E-112,1.9082E-109,0.803305785,0.575624082,NADK
PPFIA1_1,1.94532907,2.9926E-110,3.511E-107,0.676584022,0.410670582,no
IFT57,1.753602028,6.6674E-108,7.3624E-105,0.715151515,0.473323544,IFT57
ENSVKKG00000005274,1.539338589,2.4433E-106,2.5481E-103,0.81046832,0.661771904,no
NAMPT,1.679841995,1.86054E-92,1.83821E-89,0.662809917,0.414096916,NAMPT
ZBTB46,1.39714098,1.79151E-88,1.68151E-85,0.759779614,0.542339697,no
SEMA4D_1,1.403454542,2.14518E-87,1.91759E-84,0.748760331,0.538423886,no
PVRL2,3.427923679,9.20834E-87,7.85722E-84,0.425895317,0.07195301,no
IRG1,3.011761665,7.98115E-86,6.514E-83,0.451790634,0.110132159,no
GDPD5,1.993022323,1.68243E-85,1.31594E-82,0.575757576,0.298580519,GDPD5
NFKBIA,1.446281075,1.18178E-84,8.87376E-82,0.738292011,0.539892315,NFKBIA
BIRC2,1.689533353,4.45416E-84,3.2159E-81,0.682644628,0.441507587,BIRC2
CCL14,1.434862137,4.69273E-84,3.26266E-81,0.795592287,0.65051395,CCL14
HVCN1,1.20947969,5.80262E-84,3.89024E-81,0.847933884,0.697503671,HVCN1
IL1B,3.567188025,8.49013E-84,5.49575E-81,0.433057851,0.092511013,IL1B
PRKCD,1.645101428,2.24194E-83,1.3576E-80,0.657300275,0.423886442,PRKCD
PTGS2,1.509033084,1.39604E-80,8.18954E-78,0.812121212,0.706314244,PTGS2
GNB1,0.973460257,3.63739E-80,2.06913E-77,0.873278237,0.779246207,GNB1
FAM49B,1.725642204,4.54764E-78,2.51083E-75,0.641873278,0.463534019,no
MASP2,1.500877857,2.06793E-76,1.07831E-73,0.671625344,0.446891826,MASP2
STK17A,1.897865534,2.91495E-74,1.4789E-71,0.538842975,0.255506608,STK17A
HSPA8,0.740329385,6.67047E-73,3.13045E-70,0.936088154,0.908957416,HSPA8
CXCL8,2.030977726,1.49826E-72,6.85983E-70,0.727272727,0.532060695,no
PLEKHB2,0.676982462,3.07144E-71,1.37279E-68,0.905785124,0.870288791,no
SDC4,1.103098154,1.73291E-70,7.56517E-68,0.814325069,0.738619677,SDC4
STEAP4,1.939431071,5.35119E-69,2.28301E-66,0.539393939,0.242780225,STEAP4
NINJ1,2.161093473,1.64059E-68,6.69502E-66,0.48815427,0.220753793,NINJ1
TNFAIP3,1.839911342,8.83668E-67,3.52941E-64,0.529476584,0.272638277,TNFAIP3
BCL2A1,3.438195944,6.98523E-66,2.73181E-63,0.366942149,0.052863436,BCL2A1
BHLHE40,1.298510432,2.11964E-64,8.12038E-62,0.69476584,0.476749878,BHLHE40
BACH1,1.356230021,1.01628E-62,3.74072E-60,0.676584022,0.487518355,BACH1
AGL,2.14254427,1.42794E-62,5.15485E-60,0.479338843,0.224669604,AGL
SYNGR2,0.785964489,1.85048E-62,6.55417E-60,0.88815427,0.837493882,SYNGR2
MAP3K20,3.714053631,6.89865E-62,2.39818E-59,0.356473829,0.058737151,MAP3K20
PLK2,3.688082695,7.08455E-61,2.41802E-58,0.355922865,0.059226628,PLK2
ENSVKKG00000006322,1.291074634,6.06669E-59,2.03364E-56,0.736088154,0.555066079,no
SERPINE1,1.935152054,8.57974E-59,2.77688E-56,0.504132231,0.244248654,SERPINE1
SLC41A2,1.449945092,3.59433E-58,1.14361E-55,0.558126722,0.321585903,SLC41A2
EML4,2.318898916,5.95862E-58,1.86425E-55,0.419283747,0.149779736,EML4
MAFF,1.15587461,6.22716E-58,1.91633E-55,0.777410468,0.614782183,MAFF
UBE2E2,1.091285825,1.32425E-57,4.0095E-55,0.69862259,0.569260891,UBE2E2
CSRP1,1.419245839,1.81396E-57,5.40503E-55,0.619834711,0.443465492,CSRP1
NFKBIE,1.197140932,1.81242E-56,5.31606E-54,0.645179063,0.460107685,NFKBIE
PNRC1,1.190578341,6.21238E-56,1.76695E-53,0.7184573,0.597650514,PNRC1
TAGAP,1.542974353,1.10246E-55,3.04343E-53,0.571900826,0.362212433,TAGAP
RCAN1,2.078480005,1.75688E-55,4.77973E-53,0.463360882,0.221732746,RCAN1
TMEM170A,1.202779174,1.93437E-55,5.18742E-53,0.639669421,0.474302496,TMEM170A
NCF1,2.177073956,1.13734E-54,2.96529E-52,0.428099174,0.172295644,NCF1
MMP7_1,1.471230626,7.92248E-54,2.03727E-51,0.878787879,0.754282917,no
CCL5,2.559244871,2.39339E-53,5.99049E-51,0.388980716,0.127753304,CCL5
CYFIP1,1.667902112,4.18924E-53,1.03474E-50,0.511294766,0.291727851,CYFIP1
ALAS1,0.882837296,2.02726E-52,4.94231E-50,0.890909091,0.801272638,ALAS1
CA2,2.890340567,4.1771E-52,1.00529E-49,0.355371901,0.081742535,CA2
LDLR,1.744568467,1.10802E-51,2.63288E-49,0.480991736,0.247185512,LDLR
RFTN1_2,1.978043437,2.72735E-50,6.39972E-48,0.421487603,0.175232501,no
CD44,0.81305027,2.9189E-50,6.76463E-48,0.855096419,0.787077827,CD44
KIAA0247,1.3603549,7.23821E-50,1.65702E-47,0.549311295,0.362212433,no
IL16_1,1.91792655,7.47811E-50,1.69131E-47,0.473829201,0.257464513,no
GGH,0.914498687,1.19834E-48,2.67801E-46,0.731680441,0.620166422,GGH
ICAM3_1,1.080667496,1.26485E-47,2.79338E-45,0.733333333,0.614292707,no
TNFRSF6B,1.472373247,9.49724E-47,2.07305E-44,0.663360882,0.453744493,TNFRSF6B
CYP1B1_1,1.172812223,2.85209E-46,6.15395E-44,0.622038567,0.452765541,no
PLAUR,2.100079536,4.41951E-46,9.42761E-44,0.43415978,0.216348507,PLAUR
