lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
TNIP1,2.893311977,1.0582e-221,6.621699999999999e-218,0.756473829,0.368086148,TNIP1
TNFRSF1B,3.467703342,9.7871e-216,4.5931e-212,0.721212121,0.279001468,TNFRSF1B
TNF,3.698753595,2.1751999999999997e-187,6.8056e-184,0.678787879,0.215859031,TNF
LACC1,3.016519547,9.6724e-140,2.0174e-136,0.6,0.203132648,LACC1
UNC13D,2.019192219,3.0122e-137,5.1404e-134,0.755371901,0.441507587,UNC13D
PSTPIP2,2.043101311,1.7392e-135,2.7207e-132,0.717355372,0.444444444,PSTPIP2
FRRS1,4.837997913,1.9013e-116,2.7454e-113,0.458402204,0.044052863,FRRS1
TNFAIP2,2.93654561,2.954e-114,3.9608999999999996e-111,0.580716253,0.227606461,TNFAIP2
NADK,1.59238863,1.5247e-112,1.9082e-109,0.803305785,0.575624082,NADK
IFT57,1.753602028,6.667400000000001e-108,7.3624e-105,0.715151515,0.473323544,IFT57
NAMPT,1.679841995,1.8605399999999998e-92,1.83821e-89,0.662809917,0.414096916,NAMPT
GDPD5,1.993022323,1.6824300000000002e-85,1.31594e-82,0.575757576,0.298580519,GDPD5
NFKBIA,1.446281075,1.18178e-84,8.87376e-82,0.738292011,0.539892315,NFKBIA
BIRC2,1.689533353,4.45416e-84,3.2159e-81,0.682644628,0.441507587,BIRC2
CCL14,1.434862137,4.69273e-84,3.26266e-81,0.795592287,0.65051395,CCL14
HVCN1,1.20947969,5.80262e-84,3.89024e-81,0.847933884,0.697503671,HVCN1
IL1B,3.567188025,8.49013e-84,5.49575e-81,0.433057851,0.092511013,IL1B
PRKCD,1.645101428,2.24194e-83,1.3575999999999998e-80,0.657300275,0.423886442,PRKCD
PTGS2,1.509033084,1.39604e-80,8.1895399999999995e-78,0.812121212,0.706314244,PTGS2
GNB1,0.973460257,3.63739e-80,2.06913e-77,0.873278237,0.779246207,GNB1
MASP2,1.500877857,2.0679300000000003e-76,1.07831e-73,0.671625344,0.446891826,MASP2
STK17A,1.897865534,2.91495e-74,1.4789e-71,0.538842975,0.255506608,STK17A
HSPA8,0.740329385,6.67047e-73,3.13045e-70,0.936088154,0.908957416,HSPA8
SDC4,1.103098154,1.73291e-70,7.56517e-68,0.814325069,0.738619677,SDC4
STEAP4,1.939431071,5.35119e-69,2.28301e-66,0.539393939,0.242780225,STEAP4
NINJ1,2.161093473,1.64059e-68,6.69502e-66,0.48815427,0.220753793,NINJ1
TNFAIP3,1.839911342,8.836680000000001e-67,3.5294099999999995e-64,0.529476584,0.272638277,TNFAIP3
BCL2A1,3.438195944,6.98523e-66,2.73181e-63,0.366942149,0.052863436,BCL2A1
BHLHE40,1.298510432,2.11964e-64,8.120380000000001e-62,0.69476584,0.476749878,BHLHE40
BACH1,1.356230021,1.01628e-62,3.74072e-60,0.676584022,0.487518355,BACH1
AGL,2.14254427,1.42794e-62,5.154850000000001e-60,0.479338843,0.224669604,AGL
SYNGR2,0.785964489,1.85048e-62,6.55417e-60,0.88815427,0.837493882,SYNGR2
MAP3K20,3.714053631,6.89865e-62,2.39818e-59,0.356473829,0.058737151,MAP3K20
PLK2,3.688082695,7.08455e-61,2.41802e-58,0.355922865,0.059226628,PLK2
