lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
OAF,6.052907467,0.001184363,0.012941127,0.062258953,0.001957905,OAF,1.680267572,0.001939973,0.027644608,0.027984666,0.009326537,OAF
IL18RAP,5.444420815,1.18361e-05,0.000192038,0.084848485,0.003426334,IL18RAP,,,,,,
FRRS1,4.837997913,1.9013e-116,2.7454e-113,0.458402204,0.044052863,FRRS1,-0.580943882,0.646525908,1.0,0.005695509,0.008458952,FRRS1
PANX1,4.389569759,0.001372244,0.014762038,0.063911846,0.004405286,PANX1,0.478739738,0.580866387,1.0,0.012705367,0.009380761,PANX1
CSF3,3.885396719,1.59407e-21,1.23144e-19,0.205509642,0.031815957,CSF3,1.821356416,0.949000275,1.0,0.00060241,0.000216896,CSF3
CNP,3.86824584,0.001952131,0.020123777,0.061157025,0.003426334,CNP,,,,,,
TNFRSF11B,3.800835371,4.02136e-36,6.2907400000000005e-34,0.258953168,0.027410671,TNFRSF11B,0.0,1.0,1.0,0.0,0.0,TNFRSF11B
MAP3K20,3.714053631,6.89865e-62,2.39818e-59,0.356473829,0.058737151,MAP3K20,-0.040884987,0.740408318,1.0,0.029299014,0.031341503,MAP3K20
TNF,3.698753595,2.1751999999999997e-187,6.8056e-184,0.678787879,0.215859031,TNF,1.692402363,1.45268e-31,1.53923e-29,0.12245345,0.05416983,TNF
PLK2,3.688082695,7.08455e-61,2.41802e-58,0.355922865,0.059226628,PLK2,0.768256724,1.97743e-08,6.10589e-07,0.073384447,0.039312439,PLK2
SOCS3,3.56925106,3.79104e-16,1.98786e-14,0.173553719,0.02349486,SOCS3,0.649422467,2.89157e-10,1.03561e-08,0.113636364,0.075805227,SOCS3
IL1B,3.567188025,8.49013e-84,5.49575e-81,0.433057851,0.092511013,IL1B,1.25136292,8.18198e-21,5.4695e-19,0.176560789,0.131330658,IL1B
TNFRSF1B,3.467703342,9.7871e-216,4.5931e-212,0.721212121,0.279001468,TNFRSF1B,0.321104079,5.26816e-09,1.71591e-07,0.22196057,0.187994794,TNFRSF1B
BCL2A1,3.438195944,6.98523e-66,2.73181e-63,0.366942149,0.052863436,BCL2A1,0.484006345,1.85761e-07,5.16731e-06,0.202245345,0.178776705,BCL2A1
