pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
FTH1_1,2.582309961,0,0,0.98849252,0.923641703,no
IRF1,3.701247692,1.1286E-217,1.0593E-213,0.711737629,0.185511503,no
TNIP1,2.522758484,1.1019E-208,6.8949E-205,0.780782509,0.368086148,TNIP1
HELZ2_1,2.542793989,1.258E-205,5.9039E-202,0.845224396,0.475281449,no
TNF,3.223140955,7.2877E-164,2.7361E-160,0.681242808,0.215859031,TNF
RNF213,2.893877745,4.006E-162,1.2533E-158,0.67721519,0.28536466,RNF213
PPFIA1_1,1.975681424,1.384E-160,3.7116E-157,0.782508631,0.410670582,no
TEX2_1,2.268064499,2.2301E-154,5.2329E-151,0.697928654,0.257953989,no
STK17A,2.435131788,7.5467E-151,1.5741E-147,0.678941312,0.255506608,STK17A
CALM2_2,1.573245764,3.8831E-143,7.2893E-140,0.906214039,0.75917768,no
ENSVKKG00000006322,1.890479445,3.2445E-133,5.5369E-130,0.85155351,0.555066079,no
UNC13D,1.741788149,1.3491E-127,2.1104E-124,0.795742232,0.441507587,UNC13D
BACH1,1.71210742,4.5831E-125,6.6179E-122,0.79976985,0.487518355,BACH1
IFIH1,3.008174896,1.0956E-124,1.4691E-121,0.593210587,0.226138032,IFIH1
NADK,1.518142223,7.6083E-122,9.5215E-119,0.875719217,0.575624082,NADK
BIRC2,1.854013562,2.0539E-121,2.4098E-118,0.764096663,0.441507587,BIRC2
ISG15,7.401402473,4.7961E-121,5.2961E-118,0.448791715,0.010279001,ISG15
SNX10,2.135289431,9.1547E-120,9.5473E-117,0.678941312,0.362701909,SNX10
ENSVKKG00000005274,1.53449142,6.9318E-119,6.8486E-116,0.875143843,0.661771904,no
TNFAIP3,2.046452761,9.546E-115,8.9598E-112,0.644418872,0.272638277,TNFAIP3
EIF2AK2,4.043765068,1.4859E-111,1.3283E-108,0.47986191,0.083210964,EIF2AK2
IRG1,3.313237667,3.4348E-111,2.9308E-108,0.509781358,0.110132159,no
ENSVKKG00000011003,7.432115555,5.7862E-111,4.7225E-108,0.427502877,0.00783162,no
MAFF,1.444820523,3.5591E-109,2.7838E-106,0.881472957,0.614782183,MAFF
IFT57,1.553351402,5.8455E-107,4.3893E-104,0.762945915,0.473323544,IFT57
TNFAIP2,2.427961588,1.3569E-104,9.797E-102,0.594361335,0.227606461,TNFAIP2
GCH1_2,1.276805282,1.7685E-103,1.2296E-100,0.86018412,0.644150759,no
NFKBIA,1.451294184,4.5844E-103,3.0735E-100,0.810126582,0.539892315,NFKBIA
ENSVKKG00000012738,1.575543046,5.1809E-101,3.35366E-98,0.756616801,0.521781694,no
RNF39_22,2.409577847,2.5588E-99,1.60114E-96,0.549482163,0.203622124,no
PNRC1,1.526020765,1.46639E-97,8.87972E-95,0.83141542,0.597650514,PNRC1
NAMPT,1.42516768,1.10281E-94,6.46936E-92,0.721518987,0.414096916,NAMPT
ENSVKKG00000018377,5.081755161,1.98798E-93,1.13086E-90,0.403912543,0.019089574,no
