pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
TNIP1,2.522758484,1.1019000000000002e-208,6.8948999999999995e-205,0.780782509,0.368086148,TNIP1
TNF,3.223140955,7.287700000000001e-164,2.7361e-160,0.681242808,0.215859031,TNF
RNF213,2.893877745,4.0060000000000003e-162,1.2533000000000002e-158,0.67721519,0.28536466,RNF213
STK17A,2.435131788,7.5467e-151,1.5741e-147,0.678941312,0.255506608,STK17A
UNC13D,1.741788149,1.3491000000000002e-127,2.1104e-124,0.795742232,0.441507587,UNC13D
BACH1,1.71210742,4.5831e-125,6.6179e-122,0.79976985,0.487518355,BACH1
IFIH1,3.008174896,1.0956e-124,1.4691e-121,0.593210587,0.226138032,IFIH1
NADK,1.518142223,7.608300000000001e-122,9.5215e-119,0.875719217,0.575624082,NADK
BIRC2,1.854013562,2.0539000000000003e-121,2.4098e-118,0.764096663,0.441507587,BIRC2
ISG15,7.401402473,4.796100000000001e-121,5.2961e-118,0.448791715,0.010279001,ISG15
SNX10,2.135289431,9.154700000000001e-120,9.5473e-117,0.678941312,0.362701909,SNX10
TNFAIP3,2.046452761,9.546e-115,8.9598e-112,0.644418872,0.272638277,TNFAIP3
EIF2AK2,4.043765068,1.4859e-111,1.3283e-108,0.47986191,0.083210964,EIF2AK2
MAFF,1.444820523,3.5591e-109,2.7838e-106,0.881472957,0.614782183,MAFF
IFT57,1.553351402,5.8455e-107,4.3893e-104,0.762945915,0.473323544,IFT57
TNFAIP2,2.427961588,1.3568999999999999e-104,9.797000000000001e-102,0.594361335,0.227606461,TNFAIP2
NFKBIA,1.451294184,4.5844e-103,3.0735e-100,0.810126582,0.539892315,NFKBIA
PNRC1,1.526020765,1.46639e-97,8.87972e-95,0.83141542,0.597650514,PNRC1
NAMPT,1.42516768,1.1028100000000001e-94,6.46936e-92,0.721518987,0.414096916,NAMPT
BHLHE40,1.390223145,7.591359999999999e-91,4.19132e-88,0.784234753,0.476749878,BHLHE40
ETS2,1.861142635,7.43141e-85,3.7703400000000004e-82,0.627157652,0.319627998,ETS2
MBD2,1.261663437,1.42649e-83,7.04687e-81,0.734752589,0.480665688,MBD2
PSMA2,0.96978116,2.22021e-83,1.06866e-80,0.894131185,0.773861968,PSMA2
SDC4,1.257528663,1.2188499999999999e-81,5.58053e-79,0.879171461,0.738619677,SDC4
ZC3HAV1,2.156907797,6.09171e-79,2.72271e-76,0.505178366,0.186490455,ZC3HAV1
GNB1,0.888912857,6.3926100000000004e-77,2.72732e-74,0.916570771,0.779246207,GNB1
MAST4,1.752034664,1.1265700000000001e-76,4.69955e-74,0.579976985,0.262848752,MAST4
CD44,0.965221763,1.52406e-74,6.21949e-72,0.904487917,0.787077827,CD44
UBE2E2,1.059075952,6.0269100000000004e-74,2.4071699999999998e-71,0.800345224,0.569260891,UBE2E2
HSP90AA1,0.740725219,4.2327200000000003e-72,1.6215600000000001e-69,0.980437284,0.953989232,HSP90AA1
ALAS1,1.045399308,2.1732599999999998e-71,8.159280000000001e-69,0.931530495,0.801272638,ALAS1
PIM2,1.919136167,4.65125e-71,1.71202e-68,0.517836594,0.186979931,PIM2
TRIM25,1.522715449,2.44427e-69,8.65734e-67,0.600690449,0.332843857,TRIM25
