pic_names,pic_logfoldchanges_x,pic_pvals_x,pic_pvals_adj_x,pic_pts_x,UNST_pts_x,1to1_bat_dragon_x,pic_logfoldchanges_y,pic_pvals_y,pic_pvals_adj_y,pic_pts_y,UNST_pts_y,1to1_bat_dragon_y
IFNB1,26.88949776,0.000499396,0.005671304,0.065592635,0.0,IFNB1,4.301702499,0.000230934,0.002283942,0.026200376,0.003849908,IFNB1
ISG15,7.401402473,4.796100000000001e-121,5.2961e-118,0.448791715,0.010279001,ISG15,2.88180542,0.0,0.0,0.970439141,0.727469906,ISG15
RSAD2,7.169781685,2.17061e-31,2.1906900000000002e-29,0.223820483,0.004894763,RSAD2,1.939818501,1.6182e-137,4.0912999999999996e-135,0.218488352,0.066858258,RSAD2
NOS2,6.864129066,8.81314e-06,0.000138212,0.085155351,0.001468429,NOS2,0.441844851,0.831707671,1.0,0.005467905,0.004175252,NOS2
MOV10,6.433786392,2.49125e-32,2.62729e-30,0.230149597,0.008321096,MOV10,1.048279762,1.34e-122,3.2589e-120,0.34117446,0.211094241,MOV10
HERC5,5.937894821,1.0394300000000001e-67,3.4843199999999997e-65,0.338895282,0.013705335,HERC5,2.37336731,0.0,0.0,0.639517002,0.260980371,HERC5
USP18,5.539772987,4.7618e-34,5.45052e-32,0.236478711,0.00783162,USP18,2.060571432,0.0,0.0,0.480776898,0.18338575,USP18
CMPK2,4.432961464,6.48105e-31,6.40328e-29,0.235903337,0.020558003,CMPK2,1.068006158,5.5333e-194,1.884e-191,0.428034402,0.26244442,CMPK2
STAT2,4.284911156,0.001662951,0.016801354,0.062715765,0.003426334,STAT2,1.422741055,1.0678999999999999e-178,3.4089e-176,0.32619468,0.164298883,STAT2
EIF2AK2,4.043765068,1.4859e-111,1.3283e-108,0.47986191,0.083210964,EIF2AK2,2.126232147,0.0,0.0,0.74528678,0.393341286,EIF2AK2
CSF3,3.787983179,1.26098e-26,9.94582e-25,0.229574223,0.031815957,CSF3,0.054039024,0.986506859,1.0,0.000113915,0.000216896,CSF3
TNIP3,3.597690582,8.16315e-34,9.23124e-32,0.261219793,0.035731767,TNIP3,0.523263991,0.232166693,0.899813618,0.034573105,0.027437371,TNIP3
DHX58,3.544312954,0.001367543,0.014112982,0.066168009,0.005873715,DHX58,2.588986397,0.0,0.0,0.308082246,0.079492463,DHX58
TRIM47,3.490121603,3.89098e-12,1.22759e-10,0.155350978,0.026921194,TRIM47,-3.003768921,0.831780093,1.0,0.000170872,0.001464049,TRIM47
PLK2,3.47851038,1.01038e-61,2.87375e-59,0.364787112,0.059226628,PLK2,1.352646708,2.6684e-05,0.000312857,0.064077006,0.039312439,PLK2
TRANK1,3.430800438,4.07435e-31,4.06829e-29,0.266398159,0.054821341,TRANK1,2.495387554,0.0,0.0,0.606026086,0.230669125,TRANK1
INHBA,3.378868341,2.63387e-33,2.8746e-31,0.267548907,0.044052863,INHBA,1.676990509,0.003603425,0.02656382,0.032465683,0.014911615,INHBA
SOCS3,3.266439676,2.95872e-16,1.2623e-14,0.176639816,0.02349486,SOCS3,0.5000301,0.002274956,0.017705964,0.093353079,0.075805227,SOCS3
F3,3.258362055,7.48851e-28,6.27564e-26,0.247410817,0.045521292,F3,0.845996797,0.911251356,1.0,0.00170872,0.001030257,F3
TNF,3.223140955,7.287700000000001e-164,2.7361e-160,0.681242808,0.215859031,TNF,1.773327589,8.64403e-16,3.05303e-14,0.100928405,0.05416983,TNF
TBC1D9,3.153456211,5.08156e-05,0.000702438,0.088032221,0.01174743,TBC1D9,-0.487113208,3.79919e-12,1.0376e-10,0.09739705,0.140928316,TBC1D9
FRRS1,3.051475286,4.48359e-36,5.5739100000000005e-34,0.277905639,0.044052863,FRRS1,-0.522646785,0.663554868,1.0,0.005809649,0.008458952,FRRS1
IFIH1,3.008174896,1.0956e-124,1.4691e-121,0.593210587,0.226138032,IFIH1,2.238087654,0.0,0.0,0.609500484,0.269656219,IFIH1
GSDMA,2.970463276,2.70845e-53,5.84403e-51,0.355005754,0.078316202,GSDMA,0.564705193,0.975103929,1.0,0.000569573,0.000379568,GSDMA
SLC25A37,2.934088707,1.45762e-30,1.4104300000000001e-28,0.262370541,0.049437102,SLC25A37,-0.616890669,7.6343e-05,0.000828514,0.037648801,0.062086542,SLC25A37
TNFSF10,2.921099901,4.2764e-10,1.12118e-08,0.141542002,0.024963289,TNFSF10,1.957485318,0.0,0.0,0.836418523,0.513013773,TNFSF10
RNF213,2.893877745,4.0060000000000003e-162,1.2533000000000002e-158,0.67721519,0.28536466,RNF213,1.001675606,0.0,0.0,0.70718232,0.543433467,RNF213
RASGEF1A,2.888822794,5.838579999999999e-45,1.05386e-42,0.324510932,0.064610866,RASGEF1A,0.122457139,0.97601871,1.0,0.002676995,0.002494306,RASGEF1A
RASSF5,2.82409668,2.27784e-08,4.96713e-07,0.137514384,0.034263338,RASSF5,-0.191856906,0.00062962,0.005619708,0.166486302,0.187018762,RASSF5
MAP3K20,2.779123545,1.4109e-36,1.8265800000000002e-34,0.292865362,0.058737151,MAP3K20,-0.548817694,0.063449389,0.316639359,0.019992026,0.031341503,MAP3K20
SAMD9L,2.584122419,4.0929800000000005e-55,9.189880000000001e-53,0.384925201,0.107684777,SAMD9L,1.710847974,0.0,0.0,0.850657857,0.594675198,SAMD9L
VCAM1,2.57619977,6.15207e-12,1.89322e-10,0.163981588,0.035242291,VCAM1,1.640282869,0.594750616,1.0,0.005297033,0.002060514,VCAM1
ZC3H12B,2.551653862,4.3207699999999995e-25,3.0957800000000004e-23,0.249712313,0.059226628,ZC3H12B,0.368887275,0.998563837,1.0,0.000227829,0.000216896,ZC3H12B
ETV7,2.545388222,1.76682e-12,5.75811e-11,0.164556962,0.032305433,ETV7,1.870752096,8.05828e-24,4.30494e-22,0.088853449,0.027871164,ETV7
TNIP1,2.522758484,1.1019000000000002e-208,6.8948999999999995e-205,0.780782509,0.368086148,TNIP1,0.062976174,0.287975938,1.0,0.305803953,0.305010303,TNIP1
STK17A,2.435131788,7.5467e-151,1.5741e-147,0.678941312,0.255506608,STK17A,-16.270895,0.992893351,1.0,0.0,5.42241e-05,STK17A
