Gene stable ID	Gene name
ENSXETG00000034356	
ENSXETG00000034357	
ENSXETG00000034358	
ENSXETG00000034359	
ENSXETG00000034360	
ENSXETG00000034361	nd1
ENSXETG00000034362	
ENSXETG00000034363	
ENSXETG00000034364	
ENSXETG00000034365	nd2
ENSXETG00000034366	
ENSXETG00000034367	
ENSXETG00000034368	
ENSXETG00000034369	
ENSXETG00000034370	
ENSXETG00000034371	COX1
ENSXETG00000034372	
ENSXETG00000034373	
ENSXETG00000034374	cox2
ENSXETG00000034375	
ENSXETG00000034376	ATP8
ENSXETG00000034377	ATP6
ENSXETG00000034378	cox3
ENSXETG00000034379	
ENSXETG00000034380	nd3
ENSXETG00000034381	
ENSXETG00000034382	nd4l
ENSXETG00000034383	nd4
ENSXETG00000034384	
ENSXETG00000034385	
ENSXETG00000034386	
ENSXETG00000034387	nd5
ENSXETG00000034388	nd6
ENSXETG00000034389	
ENSXETG00000034390	cytb
ENSXETG00000034391	
ENSXETG00000034392	
ENSXETG00000045641	
ENSXETG00000042394	
ENSXETG00000041794	
ENSXETG00000042931	
ENSXETG00000037518	
ENSXETG00000047232	
ENSXETG00000047867	
ENSXETG00000046667	
ENSXETG00000036341	fat4
ENSXETG00000044936	npffr2
ENSXETG00000047955	
ENSXETG00000042071	
ENSXETG00000048632	
ENSXETG00000043217	
ENSXETG00000044905	
ENSXETG00000041504	
ENSXETG00000048207	
ENSXETG00000048837	
ENSXETG00000046504	
ENSXETG00000042580	
ENSXETG00000044746	
ENSXETG00000013654	lingo3
ENSXETG00000026093	fga
ENSXETG00000022431	fgb
ENSXETG00000022434	plrg1
ENSXETG00000039430	
ENSXETG00000027610	naaa
ENSXETG00000031849	ppef2
ENSXETG00000001810	etv2
ENSXETG00000026087	sfrp2
ENSXETG00000021533	prdm8
ENSXETG00000034866	cplx1
ENSXETG00000018866	ercc8
ENSXETG00000014102	ppa1
ENSXETG00000004045	fabp2
ENSXETG00000021098	etnppl
ENSXETG00000009427	aga
ENSXETG00000030606	neil3
ENSXETG00000047496	fgf5
ENSXETG00000001003	trpc3
ENSXETG00000003663	pcdh10
ENSXETG00000044588	jund.2
ENSXETG00000044682	tlr2
ENSXETG00000001817	tlr2
ENSXETG00000015285	dmrt3
ENSXETG00000002277	dmrt1
ENSXETG00000030005	tmem132b
ENSXETG00000002234	slc46a2
ENSXETG00000000805	auh
ENSXETG00000000804	nfil3
ENSXETG00000008148	rorb.2
ENSXETG00000008147	abhd17a
ENSXETG00000008146	rexo1
ENSXETG00000008135	atp8b3
ENSXETG00000033061	ctxn3
ENSXETG00000040565	onecut3
ENSXETG00000045030	
ENSXETG00000044906	
ENSXETG00000042190	
ENSXETG00000003622	cep78
ENSXETG00000003623	psat1
ENSXETG00000002931	fzd10
ENSXETG00000021616	slc7a4
ENSXETG00000021658	dgcr6
ENSXETG00000021256	slc25a46
ENSXETG00000009177	tdgf1.3
ENSXETG00000021258	tmem232
ENSXETG00000023155	nek1
ENSXETG00000013061	yjefn3
ENSXETG00000017824	
ENSXETG00000034886	tlx2
ENSXETG00000038812	mfsd14bl
ENSXETG00000009350	sfswap
ENSXETG00000026198	
ENSXETG00000002278	kank1
ENSXETG00000010267	XB5909790 [provisional]
ENSXETG00000017583	dtwd2
ENSXETG00000023109	adamtsl1
ENSXETG00000018597	aldh3b1
ENSXETG00000040875	mmab
ENSXETG00000041813	
ENSXETG00000018603	mvk
ENSXETG00000017078	s100z
ENSXETG00000035873	st8sia4
ENSXETG00000021114	anxa5
ENSXETG00000000592	rcl1
ENSXETG00000016412	rasal1
ENSXETG00000048112	
ENSXETG00000049298	
ENSXETG00000042319	hint2
ENSXETG00000010183	anp32b
ENSXETG00000021106	cyp2u1
ENSXETG00000017645	sart3
ENSXETG00000012179	rtn4r
ENSXETG00000002259	pitpnb.2
ENSXETG00000049308	
ENSXETG00000016155	smtn
ENSXETG00000045548	tmem233
ENSXETG00000000588	ak3
ENSXETG00000039548	st8sia5
