0,1,2,3
KLF2,ENSCPBG00000004468,ENSCPBG00000027536,ENSCPBG00000000003
SQSTM1,HELZ2,NBEAL2,ENSCPBG00000000005
BTG1,ENSCPBG00000004476,MACF1,MT-COX2
GRASP,RNF213,GATA3,MT-COX3
PLK3,RPS5,MYCBP2,MT-COX1
DUSP1,RPS17,GVINP1_4,MT-ND5
ENSCPBG00000015316,ENSCPBG00000023841,ANKRD11,MT-ND2
CXCR4,ISG15,REV3L,MT-ND4
IER3,TPT1_1,GVINP1_3,ND1_2
DDX3X,RPL10L,SON_3,MT-ND3
FAM46B,RPS21,SMG1,MT-ATP6
CD40,PPDPF,TCF7,MT-CYTB
BAIAP2,RHOB,SF3B1,RPL13
MAT2A,RPL37,PTPRC,NACA
NFKBIZ,EEF1A1_3,NLRP6_2,RPS27A_2
ENSCPBG00000004468,RPL35,CCDC186,RPS15A_3
ID3,RPL13A,MMRN1,ENSCPBG00000025775
DUSP2,JARID2,TNFAIP2,ENSCPBG00000012653
GRN,GLTSCR2,CYFIP2,RPL27
AZIN1,ENSCPBG00000004637,CBLB,RPS18_2
GLS,UBA52,DYNC1H1_4,RPS16
SFPQ,NFKBIA,ITPR1,RPL35
IFITM3_3,RPS18_2,PREX1,RPS3_3
VIM,IFITM3_2,UTRN,RPS15_1
GADD45B,JUN,SON_2,RPS28
SLC9A3R1,RPL10A_1,ALS2CL,RPS12
HMGN2,RPL32_1,TRPM7,RPL24
GRAP,RPL7A,SBF1,RPL28
MYC,GNB2L1,BIRC6,RPL19
WDFY4,RPS23_2,ZAP70,ND4L_1
PLEC,RPS10_2,SAT1,RPL23A_1
INTS6,RPS2_3,PLEKHM1,RPL14
CD74,RPS11_2,BCL11B,RPL27A_1
B2M,RPL24,CNK_1,MT-ND6
FLNA,RPS29_2,OGT,RPL18A_1
ENSCPBG00000012826,RPL28,SLC4A4,RPS25_1
DEGS1,RPS3A_1,HIVEP3,RPS11_2
EHD1,EEF1B2,VPS13A,RPL22
TUBA1B_2,RPL38,KIAA1551,HMGB2
SLC25A30,ENSCPBG00000001922,UBC,RPS10_2
MYLIP,RPL35A_3,ETS1,RPL32_1
PRCP,ENSCPBG00000003057,STAT5B_1,NME2
PCNA,RPS13,PLCG1_2,RPS8_1
TUBB4B,IFIT5,ATRX,RPL34_2
CEBPD,RPL31,ZNF407,RPL11
CHKA,RPS27_2,ENSCPBG00000004637,GAPDH
AMD1,RPLP0,ERBB2IP,RPL31
ODC1,RPS6_1,NCOR1,RPS7
UAP1,RPS19_3,SRGN,RPS24
PIK3CD,CD74,USP9X,RPS26
SAT1,RPL23_1,PRRC2B,EEF1B2
HMHA1,RPS15_1,ENSCPBG00000003862,RPS19_2
ISG15,RPL18,RGS1,RPL7
HIST2H2AB_2,RPS25_1,ZFP36L2,RPLP2_2
ARAP1,ZNFX1,AGO3,CLEC2D_1
MARCKSL1,RPL26,HERC1,RPL5_1
OTUD1,RPL23A_1,RAB11FIP3,MT-ATP8
ARL6IP1,ENSCPBG00000012685,RASA2,SRGN
IER2,RPL36_3,SYNE1_1,RPL37
TXNIP,IFIH1,DDX17,RPL15
PSD,KDM6B,SMAD7,RPS9
ENSCPBG00000026732,TNIP2,PRRC2C,S100A9
NOTCH2,RPL11,ENSCPBG00000020878,RPLP1
HERPUD1,RPS16,PFN1,RPL36_3
ENSCPBG00000020005,DHX58,ZNF462,RPL26
KDM4B,LAMP3,SLA,PTPRC
BHLHE40,RPS12,JAK3,RPL12
PNRC1,RPS24,PALD1,IGSF1_10
ENSCPBG00000001961,RPL30_1,LRRFIP1,TPT1_1
FNIP1,FAU,MGEA5,RPL3
PDK4,RPS26,ZNF217,RPL8
TSC22D3_1,RPL6,ENSCPBG00000012685,RGS1
ENSCPBG00000011912,HERC5_1,ITPR2,RPS23_1
ENSCPBG00000021821,RPLP2_3,NIPBL,HMGB1
MYO1G,EEF1G,ENSCPBG00000009311,CCL20_1
ENSCPBG00000016044,RSAD2,CCDC88C,RPS14_1
EIF4A2,DDIT4,ABCA7_2,RPS4X
ORMDL3,RPL13,TET3,ENSCPBG00000015075
SRSF2,KLF2,ENSCPBG00000000003,KIAA1551
SOX8,CH25H,ARHGAP35,FAU
GPI,UBC,B4GALT4,RPL13A
OAZ1_2,NCOR2,UBR4,RPL6
ITPR3,ATP5G3_2,NUMA1,RPLP2_3
ATF5,RPS8_1,PIK3C2A,CD3D
DENND4B,RPLP1,ITGA5,ENSCPBG00000023714
SRCAP,OASL_1,SIK2,RPS19_3
LAMP3,SON_3,HUWE1,RPS3A_1
FNBP4,CLIC2,ZNF831,RPL17_2
DNMT1_1,RPS27A_2,ZNF638,RPL36A_1
RASA3,HSP90AB1,TRIP12,MMP7
NLRC3,RPS15A_3,TLE3,RPL9
ENSCPBG00000015489,JUNB,USP34,HSP90AA1
POU2F2,RPL14,PIK3R5,ENSCPBG00000003888
KLF13_1,RPL21_1,LRP1,HSPA8
SNX9,RPL27A_1,AKAP13,RPL35A_3
PRPS1,RPS23_1,ZC3H12D_2,ADAM10_2
PPIA,ADRB2,DOCK8,RPLP0
MARK2,RPL18A_1,ACAP1,PSMB3
IRF8,ENSCPBG00000027536,PTK2B,ENSCPBG00000021730
KDM6B,RPSA_1,FGD3,PPBP_4
