0,1,2,3
RPS24,ENSCPBG00000015316,SYNM,ENSCPBG00000021730
RPS15_1,ENSCPBG00000000003,RPS12,HBA
FTL_1,ENSCPBG00000024409,RPL6,HBM
RPS13,MT-COX1,ENSCPBG00000011344,DDIT3
RPS10_2,MT-ND3,RPL28,OSGIN1
RPL18,ENSCPBG00000004637,RBM38,PPA1
RPS17,ND1_2,RPLP0,ATF5
RPS5,ENSCPBG00000003862,TPT1_1,RPL37A_1
RPS25_1,ENSCPBG00000027536,RPL26,ATP5J2
RPL13A,MT-COX2,RPS26,EIF2S2
RPL24,ENSCPBG00000000005,FTL_1,CA1
RPS14_1,MT-COX3,RPLP2_2,TOMM7
RPS11_2,MT-CYTB,UBA52,SQSTM1
RPL35A_3,MT-ND4,RPL15,TACC3
RPS27_2,SQSTM1,RPLP1,CHCHD7
RPS26,NFKBIA,NRK1,RNF130
RPL4,CXCL8,ENSCPBG00000027518,MGST1
RPL10L,ENSCPBG00000012685,RPL32_1,CTBP1
UBA52,ACTG1_1,RPL11,RUFY1
RPS18_2,THBS1,RPS4X,IFI27L2_3
RPL35,ENSCPBG00000012653,RPL22,ATF4
RPS29_2,ZFP36,RPL36A_1,TUBA4A
RPLP1,RPS15_2,TIMM13,CTSD
RPL19,MT-ND2,RPL5_1,TXN
RPL23A_1,BTG1,RPL23A_1,COX7A2
RPS23_2,ENSCPBG00000012826,RPL7A,EIF5
RPL14,TNFAIP3,PRDX2,SLC1A5
RPS19_3,TXNIP,HDGF,ATF3
FAU,DNAJB1,RPS6_1,ARF1
RPS15A_3,ANKRD11,CD55_5,ELL2
RPL34_2,DEGS1,RPS5,WSB1
RPS2_3,EIF2S2,ARPC2,COX6C
RPS16,ENSCPBG00000003057,EPB41_1,COX7B
RPL30_1,RPS2_2,RPS10_2,MT-ND3
SYNM,ACTB_1,RPS13,ENSCPBG00000013510
RPS6_1,SRGN,RPS15_1,TMEM14C
RPS19_2,DUSP1,RPS18_2,COPB1
RPL28,SFPQ,RPS16,ZFAND2A
RPL31,CLIC2,RPS19_2,BLVRB
RPS8_1,RND1,RPL10L,CRIPT
RPL27,HSPA2_2,RPS29_2,SEC61G
RPS3_3,NFE2L1,PCBP2,ENSCPBG00000021638
RPS27A_2,SAT1,RPL35,EIF5B
RPL7,DDX5,RPL9,EPSTI1
RPS12,MMP7,GNB2L1,ACTG1_1
RPLP2_3,DNASE1L3,RPL8,ACE
RPL6,MT-ND5,CA1,CTSL
NACA,OAZ1_2,RPL35A_3,GGH_2
RPL36_3,NFKB2,RPL24,IFITM3_2
ENSCPBG00000000005,DMXL1,RPS15A_3,USMG5
ATP5G3_2,SF3B1,RPL4,STAT1
RPLP2_2,IPO7,SULT1A1_3,GRPEL1
FTH1,ERRFI1,NSA2,PRDX1
RPL5_1,SELENOT,RPS8_1,GADD45B
TPT1_1,ODC1,FTH1,SERINC3
ENSCPBG00000021863,RGS18,RPS11_2,BTG1
RPL32_1,LRRFIP1,RPL21_1,ENSCPBG00000018663
RPL36A_1,LGMN,RPLP2_3,HBE1_1
RPS3A_1,CFL1,TUBB1,TAX1BP1
EEF1B2,MDN1,RPS3A_1,SEC61B_1
RPL27A_2,MAT2A,RPS24,NUS1
RPL21_1,FOS,RPL12,UROS
RPL11,ISG15,RPL31,RHEB
RPL18A_1,GVINP1_3,RPS25_1,SLIRP
RPLP0,SLC3A2,EEF1G,FAM177A1
CLEC2D_1,SLC4A1,RPS27A_2,ADAR
RPL10A_1,DDIT4,NACA,NCOA7
RPL23_1,RELB,PCIF1,IFIT5
NUCKS1,SON_2,ANP32E,GSTA4_1
UQCRH,GATA3,PFN1,AIMP2
RPL15,HSPA5,RPS19_3,SKP1
RPS28,SLC38A2,FAM213A,CTU1
RPS7,DDX3X,RPL7,ENSCPBG00000004468
RPL3,XPOT,ENSCPBG00000024354,SLC3A2
S100A6,ALDOA,SUGP2,ABCF1_1
ENSCPBG00000019180,RPL37A_1,H2AFJ_2,FADD
RPS23_1,EIF1B,RPL17_2,CCT4
RPS4X,AKAP8,RPS28,GLRX
NDUFB11,ENSCPBG00000004468,RPL19,ADSSL1
SERBP1,SLC25A6,JAK2,SYF2
RPL7A,S100A9,CREG1,DAP
RPL17_2,RNF213,RPL27A_2,SLC25A3_2
RPL12,PRDX1,ARRDC2,TUBB4B
NRK1,FABP5,ATP5G3_2,GSTO1
ENSCPBG00000023481,PDGFB,HIPK1,VDAC2
NAA10,ENSCPBG00000015489,RPS23_2,SNRPG
RPL9,PPP1R15A,RPL13,COPS3
NDUFB7_1,DDX21_2,EEF1B2,SOD1
GNB2L1,PCNA,RPL34_2,COPE
IFITM3_3,MT-ATP6,VPS13D,HYPK
MT-ND5,ZC3H13,HNRNPA2B1,UQCR10
GLTSCR2,APC,RPL13A,LRRC59
CXCL8,TRIM8,RPS27_2,SF1
RBM3,ENSCPBG00000009153,EEF1D,ATP6V1E1
ENSCPBG00000014668,AGO2,ITM2B,ISG15
SLC5A3,NME2,HNRNPUL2,ARF4
PPBP_4,SRSF3,GATA1,NUB1
RPS9,PSMA3,PNRC1,MED28
PNRC1,KIAA1551,CR2_2,TTC1
MKNK2,FADS1_4,RPL10A_1,HIGD1A
