0,1,2,3,4
BTG1,ALOX5AP,ENSCPBG00000000005,ALOX5AP,RGS1
CXCL8,ENSCPBG00000012826,RPL28,FTL_1,BTG1
RPL38,RPL37,RPL17_2,PRDX5,SLTM
RPS21,RPL37A_1,RPLP1,CCL20_1,NFKBIA
TXNIP,RPL38,RPS26,GSTP1,CIRBP
ITM2A,S100A6,RPS15_1,LGALS1,CCNL1
RPL37,CRIP1,RPL24,EFHD2,EIF5
MT-ND3,RPS15_2,ENSCPBG00000004637,ALDOA,SLA
ENSCPBG00000012826,LDHB,RPS10_2,SDC4,ATF4
RPL37A_1,RPS21,RPL11,RPS9,NUB1
TRBV25-1_1,ACTB_1,RPS27A_2,RPS2_3,TNFAIP3
ENSCPBG00000015316,CCL20_1,RPL13A,PSMB8,CBLB
RPL14,RPS2_2,RPS5,ISG15,TRA2B
RPLP2_2,FTH1,RPL10L,FTH1,N4BP1
DDIT4,LGALS1,RPL34_2,RPL22L1,H3F3A_2
DDX21_2,GSTP1,RPS28,HSPA8,ZEB1
RPS15_2,RGS18,RPS19_2,RPS8_1,SRSF10
HMGB2,DDX21_2,MT-ND2,ENSCPBG00000017199,SAFB2
RPL26,SRGN,RPS23_2,PPIA,FUS
ENSCPBG00000003862,NCL,RPS8_1,RGS18,CCDC186
MT-COX1,STOM,GNB2L1,RPL17_2,NFKB1
CXCR4,RPL14,RPS18_2,EPSTI1,SAFB
ENSCPBG00000000003,EFHD2,RPS15A_3,S100A11,CLK1
SF3B1,RPL27A_1,RPLP0,ENSCPBG00000027030,BIRC2
TCF7,RPLP2_2,RPS7,ENO1,DDX5
ENSCPBG00000012653,IL23R,RPS2_3,RPL19,TXNIP
FAU,RPSA_1,RPS3_3,PRDX1,CNDP2
ENSCPBG00000024409,RPL35A_1,RPL18,SLC1A5,ING3
MT-COX3,TPT1_1,RPL36A_1,RPL7A,EIF4A2
RPL22,ANXA1,IFITM3_3,MPC2,SRSF3
RPL31,EEF1A1_3,EEF1G,RPL3,TRA2A
CBLB,EEF2_2,RPS14_1,RPL13A,KMT2E
MMRN1,HSP90AB1,RPLP2_3,VIM,UPF3B
RPS27_2,PRDX1,GLTSCR2,GAPDH,ZFP36
