ref_komodo_stable_id,komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,turtle_painted_orthology,crocodile_stable_id,crocodile_name,crocodile_orthology,chicken_grcg6a_stable_id,chicken_grcg6a_name,chicken_grcg6a_orthology,human_stable_id,human_name,human_orthology,mouse_stable_id,mouse_name,mouse_orthology
ENSVKKG00000000002,ENSVKKG00000000002,LPGAT1,ENSCPBG00000015486,LPGAT1,ortholog_one2one,ENSCPRG00005000299,LPGAT1,ortholog_one2one,ENSGALG00000009848,LPGAT1,ortholog_one2one,ENSG00000123684,LPGAT1,ortholog_one2one,ENSMUSG00000026623,Lpgat1,ortholog_one2one
ENSVKKG00000000004,ENSVKKG00000000004,DTL,ENSCPBG00000015475,DTL,ortholog_one2one,ENSCPRG00005000390,DTL,ortholog_one2one,ENSGALG00000009837,DTL,ortholog_one2one,ENSG00000143476,DTL,ortholog_one2one,ENSMUSG00000037474,Dtl,ortholog_one2one
ENSVKKG00000000008,ENSVKKG00000000008,ATF3,ENSCPBG00000010168,ATF3,ortholog_one2one,ENSCPRG00005000494,ATF3,ortholog_one2one,ENSGALG00000049422,ATF3,ortholog_one2one,ENSG00000162772,ATF3,ortholog_one2one,ENSMUSG00000026628,Atf3,ortholog_one2one
ENSVKKG00000000009,ENSVKKG00000000009,BATF3,ENSCPBG00000010172,BATF3,ortholog_one2one,ENSCPRG00005000509,BATF3,ortholog_one2one,ENSGALG00000052425,BATF3,ortholog_one2one,ENSG00000123685,BATF3,ortholog_one2one,ENSMUSG00000026630,Batf3,ortholog_one2one
ENSVKKG00000000014,ENSVKKG00000000014,FLVCR1,ENSCPBG00000010192,FLVCR1,ortholog_one2one,ENSCPRG00005000556,FLVCR1,ortholog_one2one,ENSGALG00000009807,FLVCR1,ortholog_one2one,ENSG00000162769,FLVCR1,ortholog_one2one,ENSMUSG00000066595,Flvcr1,ortholog_one2one
ENSVKKG00000000018,ENSVKKG00000000018,,ENSCPBG00000005390,,ortholog_one2one,ENSCPRG00005017799,,ortholog_one2one,ENSGALG00000010226,,ortholog_one2one,"{'ENSG00000288208', 'ENSG00000132781'}","{'AL451136.1', 'MUTYH'}",ortholog_one2many,ENSMUSG00000028687,Mutyh,ortholog_one2one
ENSVKKG00000000019,ENSVKKG00000000019,PDP2,ENSCPBG00000012093,PDP2,ortholog_one2one,ENSCPRG00005005299,PDP2,ortholog_one2one,ENSGALG00000005146,PDP2,ortholog_one2one,ENSG00000172840,PDP2,ortholog_one2one,ENSMUSG00000048371,Pdp2,ortholog_one2one
ENSVKKG00000000020,ENSVKKG00000000020,BEND3,ENSCPBG00000006167,BEND3,ortholog_one2one,ENSCPRG00005001204,BEND3,ortholog_one2one,ENSGALG00000015314,BEND3,ortholog_one2one,ENSG00000178409,BEND3,ortholog_one2one,ENSMUSG00000038214,Bend3,ortholog_one2one
ENSVKKG00000000023,ENSVKKG00000000023,GPER1,ENSCPBG00000020585,GPER1,ortholog_one2one,ENSCPRG00005017098,GPER1,ortholog_one2one,ENSGALG00000004064,GPER1,ortholog_one2one,ENSG00000164850,GPER1,ortholog_one2one,ENSMUSG00000053647,Gper1,ortholog_one2one
ENSVKKG00000000030,ENSVKKG00000000030,RNPEPL1,ENSCPBG00000015586,RNPEPL1,ortholog_one2one,ENSCPRG00005011747,RNPEPL1,ortholog_one2one,ENSGALG00000008321,RNPEPL1,ortholog_one2one,ENSG00000142327,RNPEPL1,ortholog_one2one,ENSMUSG00000026269,Rnpepl1,ortholog_one2one
ENSVKKG00000000031,ENSVKKG00000000031,THOC1,ENSCPBG00000027558,THOC1,ortholog_one2one,ENSCPRG00005012815,THOC1,ortholog_one2one,ENSGALG00000014915,THOC1,ortholog_one2one,ENSG00000079134,THOC1,ortholog_one2one,ENSMUSG00000024287,Thoc1,ortholog_one2one
