ref_komodo_stable_id,chicken_grcg6a_stable_id,chicken_grcg6a_name,chicken_grcg6a_pic_4_logFC,chicken_grcg6a_pic_4_QValue,chicken_grcg6a_pic_8_logFC,chicken_grcg6a_pic_8_QValue,crocodile_stable_id,crocodile_name,crocodile_pic_4_logFC,crocodile_pic_4_QValue,turtle_painted_stable_id,turtle_painted_name,turtle_painted_pic_4_logFC,turtle_painted_pic_4_QValue,turtle_painted_pic_8_logFC,turtle_painted_pic_8_QValue,komodo_stable_id,komodo_name,komodo_pic_4_logFC,komodo_pic_4_QValue
ENSVKKG00000000325,ENSGALG00000005619,F3,12.55823936,4.15E-21,9.598546349,2.00E-16,ENSCPRG00005014884,F3,6.906385827,6.60E-09,,,,,,,ENSVKKG00000000325,F3,4.204241735,5.95E-06
ENSVKKG00000017107,ENSGALG00000038096,NOS2,6.090132663,7.45E-22,5.287865777,2.65E-18,ENSCPRG00005009119,NOS2,2.788405936,0.000193948,,,,,,,ENSVKKG00000017107,NOS2,7.871754695,5.59E-66
ENSVKKG00000005001,ENSGALG00000006352,CH25H,5.537380457,1.40E-43,4.260525015,2.14E-26,ENSCPRG00005017776,CH25H,2.512708106,0.023641315,ENSCPBG00000026502,CH25H,2.073162213,1,2.409179122,0.019166682,,,,
ENSVKKG00000013024,ENSGALG00000037437,EGR3,1.606815699,2.41E-07,1.11053453,0.000202217,ENSCPRG00005014537,EGR3,1.801280482,0.023740318,,,,,,,,,,
ENSVKKG00000003402,ENSGALG00000033635,PTGS2,1.574913178,0.020381618,1.719013693,0.010775273,ENSCPRG00005014013,PTGS2,1.745805108,0.050063047,,,,,,,ENSVKKG00000003402,PTGS2,1.446590528,0.11195043
ENSVKKG00000012477,ENSGALG00000016919,ACOD1,7.555377777,4.38E-21,6.461504843,2.20E-14,ENSCPRG00005018657,ACOD1,1.910776866,0.060670557,,,,,,,ENSVKKG00000012477,ACOD1,4.372267097,1.93E-21
ENSVKKG00000017552,ENSGALG00000013747,TAGAP,1.882447702,3.15E-08,1.028717302,0.001052031,ENSCPRG00005017800,TAGAP,1.797109625,0.125569365,,,,,,,ENSVKKG00000017552,TAGAP,0.744611892,0.537660769
ENSVKKG00000012504,ENSGALG00000027864,NFKBIA,2.244030241,2.07E-09,1.730702558,3.05E-09,ENSCPRG00005003675,,1.476746225,0.219175808,,,,,,,ENSVKKG00000012504,,1.137051181,0.018518215
ENSVKKG00000009073,ENSGALG00000041280,FOSB,4.262689273,4.62E-09,3.111762748,0.001471216,ENSCPRG00005015469,FOSB,2.227156543,0.302672666,ENSCPBG00000015311,FOSB,1.309652591,1,,,,,,
ENSVKKG00000012541,ENSGALG00000026299,,4.153188854,1.17E-18,3.137883469,2.02E-09,ENSCPRG00005009766,,1.668786414,0.534537674,,,,,,,ENSVKKG00000012541,,2.49222409,0.021039003
ENSVKKG00000013172,,,,,,,ENSCPRG00005001529,,5.328177166,0.917893542,,,,,,,,,,
ENSVKKG00000015581,,,,,,,ENSCPRG00005012973,,4.914241966,0.917893542,,,,,,,,,,
ENSVKKG00000009350,,,,,,,ENSCPRG00005018473,,3.886101187,0.917893542,,,,,,,,,,
ENSVKKG00000003693,,,,,,,ENSCPRG00005012468,CLDN12,3.729705153,0.917893542,,,,,,,,,,
ENSVKKG00000005988,,,,,,,ENSCPRG00005005828,VEGFD,3.517332165,0.917893542,,,,,,,,,,
ENSVKKG00000003228,,,,,,,ENSCPRG00005004937,TOPAZ1,3.416398371,0.917893542,,,,,,,,,,
ENSVKKG00000013835,,,,,,,ENSCPRG00005000622,CCDC3,3.416398371,0.917893542,,,,,,,,,,
ENSVKKG00000018483,ENSGALG00000009519,ARG2,,,1.177761387,0.1085329,ENSCPRG00005017550,ARG2,3.293044392,0.917893542,,,,,,,,,,
ENSVKKG00000000915,,,,,,,ENSCPRG00005002771,ESRP2,2.6048518,0.917893542,,,,,,,,,,
ENSVKKG00000000502,,,,,,,ENSCPRG00005012375,CFAP58,2.283903243,0.917893542,,,,,,,,,,
