Gene Id,Gene Name,Sphenodon punctatus,Anolis carolinensis,Pogona vitticeps,Laticauda laticaudata,Naja naja,Notechis scutatus,Pseudonaja textilis,Varanus komodoensis,Podarcis muralis,Salvator merianae,Pelodiscus sinensis,Chelydra serpentina,Chrysemys picta bellii,Terrapene carolina triunguis,Gopherus agassizii,Gopherus evgoodei,Chelonoidis abingdonii,Pelusios castaneus,Crocodylus porosus,Aquila chrysaetos chrysaetos,Struthio camelus australis,Taeniopygia guttata,Anas platyrhynchos platyrhynchos,Gallus gallus
ENSVKKG00000000002,,,,,6.0,,,,,,6.0,,,,6.0,,,,,,,,,,
ENSVKKG00000000003,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000004,,,,,,,,,,,,,,,,2.0,,,,,,,,,
ENSVKKG00000000005,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000006,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000007,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000008,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000009,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000010,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000011,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000012,,2.0,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000013,,,,,,,,,,2.0,,,,,,,,,,,,,,,
ENSVKKG00000000014,,,,,,,3.0,,,,,,,,,,,3.0,,,,,3.0,,
ENSVKKG00000000015,,,,,,,2.0,,,,,,,,,,,,,,,,,,
ENSVKKG00000000016,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ENSVKKG00000000017,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000018,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,
ENSVKKG00000000019,,,,,,,,2.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000020,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000021,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000022,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000023,,,,,,,,,,,,,,,,,,3.0,,,,,,,
ENSVKKG00000000024,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000025,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000026,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000027,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000028,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000029,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ENSVKKG00000000030,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000031,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000032,,,,,,,,,,,,,,,,,,,2.0,,,,,,
ENSVKKG00000000033,,,,,2.0,,,,,,,2.0,,,2.0,,,,,,,,,2.0,
ENSVKKG00000000034,,,,,,,,,,,,,,,,,,,,,2.0,,,,
ENSVKKG00000000035,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000037,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,
ENSVKKG00000000039,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ENSVKKG00000000040,,,,,,,,,,,,,,,,,,2.0,,,,,,,
ENSVKKG00000000042,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000043,,,,,,,,,,,,,,,2.0,,,,,,,,,,
ENSVKKG00000000044,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000045,,,,,,,,2.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000046,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000047,,,,,,4.0,,,,7.0,,12.0,,,12.0,,12.0,14.0,,,,3.0,,3.0,2.0
ENSVKKG00000000048,,,4.0,,,,,,,,,,,3.0,,,3.0,,3.0,,,,,,
ENSVKKG00000000049,,,,,,,,,,,,,,,,,,,,,,,,2.0,
ENSVKKG00000000050,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000051,,,,7.0,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000052,,,,,,,,,,,2.0,,,,,,,,,,,,,,
ENSVKKG00000000053,,,,,,,,,,,,,,,2.0,,,,,,,,,,
ENSVKKG00000000054,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ENSVKKG00000000055,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000056,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000057,,2.0,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000058,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,
ENSVKKG00000000059,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000060,,,,,,2.0,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000061,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000062,,,,,,,,,,2.0,,,,,,,,,,,,,,,
ENSVKKG00000000063,,,,,,,,,8.0,,8.0,,,,,,,,,,,,2.0,,
ENSVKKG00000000064,,4.0,3.0,,,3.0,,,,,4.0,,6.0,10.0,,,,,5.0,,,,,,
ENSVKKG00000000065,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,2.0
ENSVKKG00000000066,,,,,,,,,,,,,4.0,,4.0,,,4.0,,,,,2.0,,3.0
ENSVKKG00000000067,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,
ENSVKKG00000000068,,,,,3.0,,,,,,,,,,,,,,5.0,,,3.0,,,
ENSVKKG00000000069,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000070,,,,,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,
ENSVKKG00000000071,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000072,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,
ENSVKKG00000000073,,,22.0,26.0,14.0,47.0,37.0,27.0,27.0,19.0,33.0,2.0,7.0,11.0,5.0,6.0,8.0,4.0,9.0,,3.0,,3.0,10.0,18.0
ENSVKKG00000000074,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ENSVKKG00000000075,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,,,,,
ENSVKKG00000000076,,,,,,,,,,,,,,,5.0,,,,,,,,,,
ENSVKKG00000000077,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,
ENSVKKG00000000078,,,,,,,,2.0,,,,,,,,,,,,,,,,,
ENSVKKG00000000079,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000080,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0
ENSVKKG00000000081,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000082,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000083,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000084,,,,,,,,,,2.0,,,,,,,,,,,,,,,
ENSVKKG00000000085,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000086,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
ENSVKKG00000000087,,,,,3.0,,,,,,,,3.0,,,3.0,,,,,,,,,
ENSVKKG00000000088,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000089,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000090,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,
ENSVKKG00000000091,,,,,,,,,,,,,,,6.0,,,,,,,,,,
ENSVKKG00000000092,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,
ENSVKKG00000000093,,,,4.0,4.0,,,5.0,,5.0,,,,,,,,,,,,,,,
ENSVKKG00000000094,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,
ENSVKKG00000000095,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,
ENSVKKG00000000096,,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000097,,1.0,2.0,4.0,5.0,6.0,4.0,2.0,5.0,6.0,6.0,1.0,17.0,14.0,13.0,15.0,7.0,15.0,4.0,3.0,3.0,1.0,13.0,3.0,1.0
ENSVKKG00000000098,,3.0,,4.0,,3.0,3.0,,,,3.0,,,,,,,3.0,,,,,,,
