Gene Id,Gene Name,Sphenodon punctatus,Anolis carolinensis,Pogona vitticeps,Laticauda laticaudata,Naja naja,Notechis scutatus,Pseudonaja textilis,Varanus komodoensis,Podarcis muralis,Salvator merianae,Pelodiscus sinensis,Chelydra serpentina,Chrysemys picta bellii,Terrapene carolina triunguis,Gopherus agassizii,Gopherus evgoodei,Chelonoidis abingdonii,Pelusios castaneus,Crocodylus porosus,Aquila chrysaetos chrysaetos,Struthio camelus australis,Taeniopygia guttata,Anas platyrhynchos platyrhynchos,Gallus gallus
ENSVKKG00000000002,LPGAT1,,,,,,,,,,,,,,,,,,,,,,4.0,,
ENSVKKG00000000003,INTS7,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000004,DTL,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000005,PPP2R5A,,1.0,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000006,PACC1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000007,NENF,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,0.0,
ENSVKKG00000000008,ATF3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000009,BATF3,,,,,,,,,,,,,,,,,,,,,,0.0,,
ENSVKKG00000000010,NSL1,,,,,,,,,,,0.0,,,,,,,,,,,,,
ENSVKKG00000000011,ENSVKKG00000000011,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0
ENSVKKG00000000012,TATDN3,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
ENSVKKG00000000013,ENSVKKG00000000013,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,
ENSVKKG00000000014,FLVCR1,,,,,,,,,,,,,,,,,,,,2.0,,,,
ENSVKKG00000000015,UCN3,,,,,0.0,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000016,DPY30,,,,,,,,,,,,,,,,,,,,,0.0,,,
ENSVKKG00000000017,BTBD16,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,
ENSVKKG00000000018,ENSVKKG00000000018,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000019,PDP2,,,,,,,,,,0.0,,,,,,,,,,,,,,
ENSVKKG00000000020,BEND3,0.0,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000021,MEMO1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000022,ENSVKKG00000000022,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,
ENSVKKG00000000023,GPER1,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
ENSVKKG00000000024,FAM234A,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000025,ENSVKKG00000000025,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000026,ENSVKKG00000000026,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,
ENSVKKG00000000027,TWF1,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
ENSVKKG00000000028,ENSVKKG00000000028,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000029,FAM83A,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000030,RNPEPL1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000031,THOC1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000032,ZNHIT1,,0.0,,,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0
ENSVKKG00000000033,WWP1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000034,XYLB,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,
ENSVKKG00000000035,ARMC3,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000037,NUAK2,,,,,,,,,,,,,,,,,,,,,0.0,,,
ENSVKKG00000000039,ENSVKKG00000000039,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,
ENSVKKG00000000040,TOX,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000042,PLEKHA1,,,,,,,,,,,,,,,,,,,,,,,,
ENSVKKG00000000043,CDCP1,,,,,,,,,,,,,,,,,,,,,,,,
