gene_id,eggnog_name
LOC121396124,ACSL5
LOC121396047,V2R26
hspa1a.S,HSP7C
hspa1a.S,HSP7C
lin37.S,LIN37
lin37.S,LIN37
lin37.S,LIN37
lin37.S,LIN37
LOC108697211,PSD1
LOC108697161,OR8H3
hes3.S,HES3
hes3.S,HES3
cox6b1.S,CX6B1
cox6b1.S,CX6B1
LOC108703381,TIM23
LOC108697459,IFIT5
LOC108705111,CD22
LOC108697170,OR5V1
cblc.S,CBL
tmem88.S,TMM88
wapl.S,WAPL
slk.S,SLK
slk.S,SLK
slk.S,SLK
hes5.3.S,HES5
LOC108697913,PKN2
LOC121396138,TNIK
LOC121396464,SCN2B
ski.S,SKI
zranb1.S,ZRN1B
LOC108697264,DHDH
masp2.S,MASP2
masp2.S,MASP2
clstn3.S,CSTN3
LOC121396221,KPCD
mcu.S,MCU
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
LOC108697620,TNIK
prxl2a.S,PXL2A
prxl2a.S,PXL2A
emg1.S,NEP1
LOC121396287,UN5BB
tspan4.S,TSN4
tspan4.S,TSN4
LOC108697505,ZSWM8
mfsd13a.S,MF13A
mfsd13a.S,MF13A
hes5.7.S,HES5
hes5.7.S,HES5
LOC108697458,IFIT5
LOC108697295,TMEM139
uros.S,HEM4
uros.S,HEM4
LOC108697935,AATC
icmt.S,ICMT
MGC154351,LAAT1
MGC154351,LAAT1
bcl2l12.S,B2L12
bcl2l12.S,B2L12
ndufa3.S,NDUA3
kiaa2013.S,K2013
kiaa2013.S,K2013
kiaa2013.S,K2013
papss2.S,PAPS2
papss2.S,PAPS2
nppa.S,ANF
pdcd4.S,PDCD4
pdcd4.S,PDCD4
pdcd4.S,PDCD4
pdcd4.S,PDCD4
pdcd4.S,PDCD4
pdcd4.S,PDCD4
chst3.S,CHST3
LOC121396326,DUS29
zbtb17.S,ZBT17
vwa1.S,VWA1
znf365.S,ZN365
LOC108697275,PHC2
kcnc1.S,KCNC3
kcnc1.S,KCNC3
kcnc1.S,KCNC1
kcnc1.S,KCNC3
kcnc1.S,KCNC3
kcnc1.S,KCNC3
kcnc1.S,KCNC1
kcnc1.S,KCNC3
kcnc1.S,KCNC1
LOC108697267,AP2A1
LOC108697267,AP2A1
ethe1.S,ETHE1
abraxas2.S,ABRX2
gpam.S,GPAT1
gpam.S,GPAT1
gpam.S,GPAT1
acap3.S,ACAP3
acap3.S,ACAP3
acap3.S,ACAP3
acap3.S,ACAP3
acap3.S,ACAP3
acap3.S,ACAP3
megf6.S,MEGF6
megf6.S,MEGF6
megf6.S,MEGF6
prmt1.S,ANM1A
prmt1.S,ANM1A
LOC121396181,FFAR3
LOC121396467,SIDT2
LOC108697859,PADI1
LOC108697713,ZN570
LOC108697713,ZN570
h2ax.S,H2AX
LOC121396044,muc3a
pdlim1.S,PDLI1
pdlim1.S,PDLI1
pdlim1.S,PDLI1
pdlim1.S,PDLI1
pdlim1.S,PDLI1
pdlim1.S,PDLI1
oga.S,OGA
oga.S,OGA
LOC121393094,ZSWM9
hells.S,HELLS
hectd2.S,HECD2
hectd2.S,HECD2
LOC108697190,RHG19
LOC108697845,SVBP
LOC108697845,SVBP
nkx2-3.S,NKX23
panx3.S,PANX3
LOC108697162,OR8H1
blnk.S,BLNK
blnk.S,BLNK
blnk.S,BLNK
blnk.S,BLNK
blnk.S,BLNK
blnk.S,BLNK
blnk.S,BLNK
scaf1.S,SFR19
nkx6-2.S,NKX62
ift46.S,IFT46
ankrd2.S,ANKR2
ddx6.S,DDX6
ddx6.S,DDX6
ddx6.S,DDX6
ddx6.S,DDX6
