ref_komodo_stable_id,komodo_stable_id,chicken_grcg6a_stable_id,crocodile_stable_id,turtle_painted_stable_id
ENSVKKG00000002510,,ENSGALG00000011094,,ENSCPBG00000001215
ENSVKKG00000002810,,ENSGALG00000005086,,
ENSVKKG00000012228,,ENSGALG00000011153,,
ENSVKKG00000017981,ENSVKKG00000017981,ENSGALG00000009052,,
ENSVKKG00000012838,,ENSGALG00000009709,,
ENSVKKG00000010004,,ENSGALG00000043002,,
ENSVKKG00000006438,,ENSGALG00000015181,,
ENSVKKG00000016742,,ENSGALG00000013036,,
ENSVKKG00000013164,ENSVKKG00000013164,ENSGALG00000039872,,
ENSVKKG00000000661,ENSVKKG00000000661,,,
ENSVKKG00000011140,,ENSGALG00000007845,,
ENSVKKG00000018064,,ENSGALG00000039084,,
ENSVKKG00000015070,,ENSGALG00000000275,,
ENSVKKG00000011204,,ENSGALG00000048261,,
ENSVKKG00000008791,ENSVKKG00000008791,,,
ENSVKKG00000002600,,ENSGALG00000036114,,
ENSVKKG00000011132,ENSVKKG00000011132,,,
ENSVKKG00000003929,,ENSGALG00000005451,,
ENSVKKG00000010341,,ENSGALG00000030407,,
ENSVKKG00000014650,ENSVKKG00000014650,,,
ENSVKKG00000013835,,,ENSCPRG00005000622,
ENSVKKG00000010284,ENSVKKG00000010284,,,
ENSVKKG00000011961,,ENSGALG00000014537,,
ENSVKKG00000011625,,ENSGALG00000027353,,
ENSVKKG00000009437,,ENSGALG00000015780,,
ENSVKKG00000006102,ENSVKKG00000006102,,,
ENSVKKG00000003272,,ENSGALG00000043583,,
ENSVKKG00000004365,,ENSGALG00000046316,,
ENSVKKG00000002750,,ENSGALG00000012570,,
ENSVKKG00000004251,,"{'ENSGALG00000038740', 'ENSGALG00000005147'}",,
ENSVKKG00000010114,,ENSGALG00000031960,,
ENSVKKG00000007105,,ENSGALG00000017126,,
ENSVKKG00000006543,,ENSGALG00000043885,,
ENSVKKG00000015816,,ENSGALG00000028037,ENSCPRG00005005033,ENSCPBG00000026248
ENSVKKG00000015652,ENSVKKG00000015652,,,
ENSVKKG00000006473,,ENSGALG00000039658,,
ENSVKKG00000010980,,ENSGALG00000035996,,
ENSVKKG00000017217,,ENSGALG00000015355,,
ENSVKKG00000009630,,ENSGALG00000006690,,
ENSVKKG00000015473,,ENSGALG00000001529,,
ENSVKKG00000009776,,ENSGALG00000008038,,
ENSVKKG00000017881,ENSVKKG00000017881,,,
ENSVKKG00000002779,,,,ENSCPBG00000015032
ENSVKKG00000015287,,ENSGALG00000009023,,
ENSVKKG00000001018,,,,"{'ENSCPBG00000007587', 'ENSCPBG00000007583'}"
ENSVKKG00000010021,,ENSGALG00000016932,,
ENSVKKG00000012037,,ENSGALG00000010818,,
ENSVKKG00000006041,ENSVKKG00000006041,,,
ENSVKKG00000000846,,ENSGALG00000011922,,
ENSVKKG00000006406,,ENSGALG00000000637,,
ENSVKKG00000013254,,ENSGALG00000000081,,
ENSVKKG00000014800,,ENSGALG00000008691,,
ENSVKKG00000003360,,ENSGALG00000012865,,
ENSVKKG00000015962,ENSVKKG00000015962,,,
ENSVKKG00000018634,,ENSGALG00000027064,,
ENSVKKG00000012952,,ENSGALG00000016959,,
ENSVKKG00000005979,ENSVKKG00000005979,,,
ENSVKKG00000000697,,ENSGALG00000015259,,
ENSVKKG00000018021,,ENSGALG00000040665,,
ENSVKKG00000000766,,,,ENSCPBG00000018224
ENSVKKG00000006002,,ENSGALG00000016569,,
ENSVKKG00000007853,,ENSGALG00000043240,,
ENSVKKG00000012210,,ENSGALG00000009744,,
ENSVKKG00000003093,,ENSGALG00000000812,,
ENSVKKG00000016074,,ENSGALG00000023541,,
ENSVKKG00000015038,,ENSGALG00000005438,,
ENSVKKG00000007708,,ENSGALG00000000011,,
ENSVKKG00000018191,,ENSGALG00000001103,,
ENSVKKG00000005312,,ENSGALG00000001916,,
ENSVKKG00000006798,,ENSGALG00000017098,,
ENSVKKG00000004093,ENSVKKG00000004093,ENSGALG00000044383,,
ENSVKKG00000012359,,ENSGALG00000009061,,
ENSVKKG00000009269,,ENSGALG00000042213,,
ENSVKKG00000003881,ENSVKKG00000003881,ENSGALG00000029917,,
ENSVKKG00000015851,,ENSGALG00000009364,,
ENSVKKG00000016170,,ENSGALG00000007848,,
ENSVKKG00000003271,,ENSGALG00000001933,,
ENSVKKG00000010234,ENSVKKG00000010234,,,
ENSVKKG00000018164,,ENSGALG00000023189,,
ENSVKKG00000015297,,ENSGALG00000017365,,
ENSVKKG00000015887,,ENSGALG00000034777,,
ENSVKKG00000013828,,ENSGALG00000034198,,
ENSVKKG00000009580,ENSVKKG00000009580,,,
ENSVKKG00000009778,,ENSGALG00000005309,,
ENSVKKG00000010464,ENSVKKG00000010464,ENSGALG00000015828,,
ENSVKKG00000004371,,ENSGALG00000029439,,
ENSVKKG00000007162,,ENSGALG00000000528,,
ENSVKKG00000017220,,ENSGALG00000015348,,
ENSVKKG00000015942,,,,"{'ENSCPBG00000017895', 'ENSCPBG00000018166'}"
ENSVKKG00000003654,ENSVKKG00000003654,ENSGALG00000008997,,
ENSVKKG00000000604,,ENSGALG00000030011,,ENSCPBG00000007254
ENSVKKG00000010792,,ENSGALG00000010537,,
ENSVKKG00000018397,,ENSGALG00000012735,,
ENSVKKG00000014614,,ENSGALG00000007350,,
ENSVKKG00000017795,,,,ENSCPBG00000015962
ENSVKKG00000012688,,ENSGALG00000042356,,
ENSVKKG00000010888,,ENSGALG00000006305,,
ENSVKKG00000004880,ENSVKKG00000004880,,,
ENSVKKG00000013945,,,,ENSCPBG00000025142
ENSVKKG00000011193,,ENSGALG00000005554,,
ENSVKKG00000007614,,ENSGALG00000026741,,
ENSVKKG00000010495,,ENSGALG00000015746,,
ENSVKKG00000015225,,,ENSCPRG00005015501,
ENSVKKG00000010075,ENSVKKG00000010075,,,
ENSVKKG00000012107,,,,ENSCPBG00000004886
ENSVKKG00000012365,,ENSGALG00000005944,,
