komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,crocodile_stable_id,crocodile_name,chicken_grcg6a_stable_id,chicken_grcg6a_name
ENSVKKG00000004137,CBL,ENSCPBG00000007887,CBL,ENSCPRG00005004074,CBL,ENSGALG00000029077,CBL
ENSVKKG00000002510,,ENSCPBG00000001215,PDE4B,ENSCPRG00005011137,PDE4B,ENSGALG00000011094,PDE4B
ENSVKKG00000002810,,ENSCPBG00000011900,,ENSCPRG00005007814,,ENSGALG00000005086,PLAU
ENSVKKG00000017981,LBH,ENSCPBG00000011831,LBH,ENSCPRG00005008519,LBH,ENSGALG00000009052,LBH
ENSVKKG00000010148,FSHR,ENSCPBG00000018469,FSHR,ENSCPRG00005008572,,ENSGALG00000009100,FSHR
ENSVKKG00000008426,SYK,ENSCPBG00000005707,SYK,ENSCPRG00005010354,SYK,ENSGALG00000015216,SYK
ENSVKKG00000013540,C9orf116,ENSCPBG00000020908,C9orf116,ENSCPRG00005007762,C9orf116,ENSGALG00000040773,C9orf116
ENSVKKG00000018502,ACADL,ENSCPBG00000025491,ACADL,ENSCPRG00005002494,ACADL,ENSGALG00000002891,ACADL
ENSVKKG00000012838,,ENSCPBG00000022939,,ENSCPRG00005015596,,ENSGALG00000009709,MUM1L1
ENSVKKG00000009411,SESN3,ENSCPBG00000024045,SESN3,ENSCPRG00005015169,SESN3,ENSGALG00000017204,SESN3
ENSVKKG00000010004,TOMM6,ENSCPBG00000017444,TOMM6,ENSCPRG00005011375,,ENSGALG00000043002,TOMM6
ENSVKKG00000006438,GAREM1,ENSCPBG00000020994,GAREM1,ENSCPRG00005015258,GAREM1,ENSGALG00000015181,GAREM1
ENSVKKG00000017736,ATXN10,ENSCPBG00000024301,ATXN10,ENSCPRG00005001839,ATXN10,ENSGALG00000014234,ATXN10
ENSVKKG00000000557,DPP6,ENSCPBG00000018233,DPP6,ENSCPRG00005005025,DPP6,ENSGALG00000041791,DPP6
ENSVKKG00000016742,,ENSCPBG00000028220,,ENSCPRG00005013295,,ENSGALG00000013036,ATP6V1E1
ENSVKKG00000013164,PDLIM4,ENSCPBG00000016823,PDLIM4,ENSCPRG00005009404,PDLIM4,ENSGALG00000039872,PDLIM4
ENSVKKG00000013413,,ENSCPBG00000022007,,ENSCPRG00005004639,,ENSGALG00000003034,SS2
ENSVKKG00000007269,ZNF609,ENSCPBG00000006076,ZNF609,ENSCPRG00005005286,ZNF609,ENSGALG00000040087,ZNF609
ENSVKKG00000000661,FMNL3,ENSCPBG00000019686,FMNL3,ENSCPRG00005001684,FMNL3,ENSGALG00000055075,FMNL3
ENSVKKG00000000296,SUCLA2,ENSCPBG00000008358,SUCLA2,ENSCPRG00005002006,SUCLA2,ENSGALG00000016993,SUCLA2
ENSVKKG00000017172,GRIN2A,ENSCPBG00000026672,GRIN2A,ENSCPRG00005003667,GRIN2A,ENSGALG00000007278,GRIN2A
ENSVKKG00000017397,EIF3H,ENSCPBG00000001641,EIF3H,ENSCPRG00005007395,EIF3H,ENSGALG00000040522,EIF3H
ENSVKKG00000012027,RCL1,ENSCPBG00000025481,RCL1,ENSCPRG00005004387,RCL1,ENSGALG00000015024,RCL1
ENSVKKG00000011140,REL,ENSCPBG00000026152,REL,ENSCPRG00005013695,REL,ENSGALG00000007845,REL
ENSVKKG00000006576,MYH9,ENSCPBG00000016319,MYH9,ENSCPRG00005018786,MYH9,ENSGALG00000043092,MYH9
ENSVKKG00000010261,GTPBP6,ENSCPBG00000007520,GTPBP6,ENSCPRG00005007374,GTPBP6,ENSGALG00000016717,GTPBP6
ENSVKKG00000018064,,ENSCPBG00000014014,,ENSCPRG00005010002,,ENSGALG00000039084,EVI2A
ENSVKKG00000003102,TTC29,ENSCPBG00000027462,TTC29,ENSCPRG00005008631,TTC29,ENSGALG00000010009,TTC29
ENSVKKG00000015070,KCTD9,ENSCPBG00000002787,KCTD9,ENSCPRG00005014183,KCTD9,ENSGALG00000000275,KCTD9
ENSVKKG00000011034,TMEM259,ENSCPBG00000009758,TMEM259,ENSCPRG00005015111,TMEM259,ENSGALG00000002029,TMEM259
ENSVKKG00000008791,AGTPBP1,ENSCPBG00000005173,AGTPBP1,ENSCPRG00005006984,AGTPBP1,ENSGALG00000012595,AGTPBP1
ENSVKKG00000007334,ERI1,ENSCPBG00000027186,ERI1,ENSCPRG00005006766,ERI1,ENSGALG00000011448,ERI1
ENSVKKG00000002600,SMO,ENSCPBG00000017534,SMO,ENSCPRG00005003575,SMO,ENSGALG00000036114,SMO
ENSVKKG00000003214,ANO10,ENSCPBG00000022761,ANO10,ENSCPRG00005005066,ANO10,ENSGALG00000042371,ANO10
ENSVKKG00000002335,TRIO,ENSCPBG00000028362,TRIO,ENSCPRG00005015283,TRIO,ENSGALG00000031495,TRIO
ENSVKKG00000007485,SMIM20,ENSCPBG00000027970,SMIM20,ENSCPRG00005005197,,ENSGALG00000022991,SMIM20
ENSVKKG00000014055,SLC6A2,ENSCPBG00000012155,SLC6A2,ENSCPRG00005002972,SLC6A2,ENSGALG00000003560,SLC6A2
ENSVKKG00000003266,RPS21,ENSCPBG00000027132,RPS21,ENSCPRG00005005632,RPS21,ENSGALG00000005338,RPS21
ENSVKKG00000011132,PAPOLG,ENSCPBG00000026150,PAPOLG,ENSCPRG00005013702,PAPOLG,ENSGALG00000007853,PAPOLG
ENSVKKG00000012406,MYOZ2,ENSCPBG00000024760,MYOZ2,ENSCPRG00005004848,MYOZ2,ENSGALG00000011991,MYOZ2
ENSVKKG00000014019,MPP1,ENSCPBG00000005894,MPP1,ENSCPRG00005000069,MPP1,ENSGALG00000005071,MPP1
ENSVKKG00000003929,HELLS,ENSCPBG00000025739,HELLS,ENSCPRG00005002734,HELLS,ENSGALG00000005451,HELLS
ENSVKKG00000012773,OCA2,ENSCPBG00000010289,OCA2,ENSCPRG00005010998,OCA2,ENSGALG00000016740,OCA2
ENSVKKG00000005199,SREK1,ENSCPBG00000026866,SREK1,ENSCPRG00005017242,SREK1,ENSGALG00000043541,SREK1
ENSVKKG00000014650,TTC39B,ENSCPBG00000025312,TTC39B,ENSCPRG00005001076,TTC39B,ENSGALG00000005416,TTC39B
ENSVKKG00000013835,CCDC3,ENSCPBG00000027810,CCDC3,ENSCPRG00005000622,CCDC3,ENSGALG00000030140,CCDC3
ENSVKKG00000010284,PIK3C2B,ENSCPBG00000001168,PIK3C2B,ENSCPRG00005010571,PIK3C2B,ENSGALG00000037043,PIK3C2B
ENSVKKG00000018113,DGKB,ENSCPBG00000021818,DGKB,ENSCPRG00005014724,DGKB,ENSGALG00000033561,DGKB
ENSVKKG00000001854,AP2B1,ENSCPBG00000027826,AP2B1,ENSCPRG00005005555,AP2B1,ENSGALG00000042125,AP2B1
ENSVKKG00000011961,BMF,ENSCPBG00000013578,BMF,ENSCPRG00005018702,BMF,ENSGALG00000014537,BMF
ENSVKKG00000011625,C10orf71,ENSCPBG00000012803,C10orf71,ENSCPRG00005017846,C10orf71,ENSGALG00000027353,C10orf71
ENSVKKG00000001859,BBOX1,ENSCPBG00000028028,BBOX1,ENSCPRG00005007481,BBOX1,ENSGALG00000013297,BBOX1
ENSVKKG00000002712,HCN2,ENSCPBG00000009906,HCN2,ENSCPRG00005014925,HCN2,ENSGALG00000001342,HCN2
ENSVKKG00000003808,EIF4EBP2,ENSCPBG00000025890,EIF4EBP2,ENSCPRG00005009613,EIF4EBP2,ENSGALG00000037904,EIF4EBP2
ENSVKKG00000009437,PNRC1,ENSCPBG00000019920,PNRC1,ENSCPRG00005016899,PNRC1,ENSGALG00000015780,PNRC1
ENSVKKG00000003272,SCG3,ENSCPBG00000027854,SCG3,ENSCPRG00005013902,SCG3,ENSGALG00000043583,SCG3
ENSVKKG00000014086,GSE1,ENSCPBG00000023555,GSE1,ENSCPRG00005006721,GSE1,ENSGALG00000031896,GSE1
ENSVKKG00000004110,SLC6A18,ENSCPBG00000015980,SLC6A18,ENSCPRG00005014172,SLC6A18,ENSGALG00000013180,SLC6A18
ENSVKKG00000014409,RAB2A,ENSCPBG00000023254,RAB2A,ENSCPRG00005016436,RAB2A,ENSGALG00000015450,RAB2A
ENSVKKG00000009099,ARFGEF3,ENSCPBG00000017225,ARFGEF3,ENSCPRG00005001438,ARFGEF3,ENSGALG00000013846,ARFGEF3
ENSVKKG00000013560,MRPL58,ENSCPBG00000028141,MRPL58,ENSCPRG00005003240,MRPL58,ENSGALG00000007822,MRPL58
ENSVKKG00000017566,SWI5,ENSCPBG00000025183,,ENSCPRG00005000422,SWI5,ENSGALG00000047230,SWI5
ENSVKKG00000001676,CGRRF1,ENSCPBG00000020065,CGRRF1,ENSCPRG00005018711,CGRRF1,ENSGALG00000012206,CGRRF1
ENSVKKG00000005251,ACBD6,ENSCPBG00000025770,ACBD6,ENSCPRG00005007370,ACBD6,ENSGALG00000003924,ACBD6
ENSVKKG00000018577,FBXL14,ENSCPBG00000027424,FBXL14,ENSCPRG00005016376,FBXL14,ENSGALG00000032159,FBXL14
ENSVKKG00000010114,LEF1,ENSCPBG00000004144,LEF1,ENSCPRG00005005834,LEF1,ENSGALG00000031960,LEF1
ENSVKKG00000005021,TECPR2,ENSCPBG00000019541,TECPR2,ENSCPRG00005013314,TECPR2,ENSGALG00000011373,TECPR2
ENSVKKG00000009104,EIF2D,ENSCPBG00000001908,EIF2D,ENSCPRG00005008148,EIF2D,ENSGALG00000000856,EIF2D
ENSVKKG00000007105,ZDHHC20,ENSCPBG00000020739,ZDHHC20,ENSCPRG00005013038,ZDHHC20,ENSGALG00000017126,ZDHHC20
ENSVKKG00000013797,,ENSCPBG00000016805,,ENSCPRG00005017686,,ENSGALG00000027056,
ENSVKKG00000015816,FOS,ENSCPBG00000026248,FOS,ENSCPRG00005005033,FOS,ENSGALG00000028037,FOS
ENSVKKG00000003627,COPS7A,ENSCPBG00000027700,COPS7A,ENSCPRG00005005800,COPS7A,ENSGALG00000014467,COPS7A
ENSVKKG00000001759,,ENSCPBG00000027902,,ENSCPRG00005007575,,ENSGALG00000031425,PMP22
ENSVKKG00000004789,,ENSCPBG00000002852,,ENSCPRG00005000465,,ENSGALG00000005923,NPY4R
ENSVKKG00000003204,CCDC93,ENSCPBG00000010511,CCDC93,ENSCPRG00005003409,CCDC93,ENSGALG00000012129,CCDC93
ENSVKKG00000006473,GGA1,ENSCPBG00000023067,GGA1,ENSCPRG00005018962,GGA1,ENSGALG00000039658,GGA1
ENSVKKG00000010980,,ENSCPBG00000007962,,ENSCPRG00005003531,,ENSGALG00000035996,COX6C
ENSVKKG00000017217,CD47,ENSCPBG00000004681,CD47,ENSCPRG00005010360,CD47,ENSGALG00000015355,CD47
ENSVKKG00000012346,PAX7,ENSCPBG00000010210,PAX7,ENSCPRG00005017654,PAX7,ENSGALG00000043204,PAX7
ENSVKKG00000014565,PSMD7,ENSCPBG00000027027,PSMD7,ENSCPRG00005008535,PSMD7,ENSGALG00000000707,PSMD7
ENSVKKG00000018430,FGFR1OP2,ENSCPBG00000023106,FGFR1OP2,ENSCPRG00005004865,FGFR1OP2,ENSGALG00000014084,FGFR1OP2
ENSVKKG00000007335,,ENSCPBG00000002437,,ENSCPRG00005014138,,ENSGALG00000025773,
ENSVKKG00000005673,DDX1,ENSCPBG00000013330,DDX1,ENSCPRG00005005666,DDX1,ENSGALG00000016461,DDX1
ENSVKKG00000009630,ECHDC3,ENSCPBG00000027831,ECHDC3,ENSCPRG00005000889,ECHDC3,ENSGALG00000006690,ECHDC3
ENSVKKG00000014393,LDB1,ENSCPBG00000005401,LDB1,ENSCPRG00005013215,LDB1,ENSGALG00000007641,LDB1
ENSVKKG00000002851,,ENSCPBG00000010835,,ENSCPRG00005018333,,ENSGALG00000009292,
ENSVKKG00000015473,THYN1,ENSCPBG00000017796,THYN1,ENSCPRG00005002659,THYN1,ENSGALG00000001529,THYN1
ENSVKKG00000009776,SF3B1,ENSCPBG00000021902,SF3B1,ENSCPRG00005009298,SF3B1,ENSGALG00000008038,SF3B1
ENSVKKG00000017637,SOCS6,ENSCPBG00000028427,SOCS6,ENSCPRG00005005997,SOCS6,ENSGALG00000013731,SOCS6
ENSVKKG00000005024,PRDX4,ENSCPBG00000006704,PRDX4,ENSCPRG00005003960,PRDX4,ENSGALG00000016357,PRDX4
ENSVKKG00000010026,UBAC2,ENSCPBG00000018060,UBAC2,ENSCPRG00005017856,UBAC2,ENSGALG00000016880,UBAC2
ENSVKKG00000013385,RBM38,ENSCPBG00000024059,RBM38,ENSCPRG00005005027,RBM38,ENSGALG00000026081,RBM38
ENSVKKG00000017881,KIAA1217,ENSCPBG00000015300,KIAA1217,ENSCPRG00005008763,KIAA1217,ENSGALG00000007766,KIAA1217
ENSVKKG00000006295,PRKAB1,ENSCPBG00000012643,PRKAB1,ENSCPRG00005006365,PRKAB1,ENSGALG00000007373,PRKAB1
ENSVKKG00000018255,CERS6,ENSCPBG00000007053,CERS6,ENSCPRG00005015825,CERS6,ENSGALG00000010902,CERS6
ENSVKKG00000002779,HACD1,ENSCPBG00000015032,HACD1,ENSCPRG00005011207,HACD1,ENSGALG00000008659,HACD1
ENSVKKG00000015287,ING3,ENSCPBG00000008307,ING3,ENSCPRG00005010662,ING3,ENSGALG00000009023,ING3
ENSVKKG00000012129,DARS2,ENSCPBG00000014727,DARS2,ENSCPRG00005005243,DARS2,ENSGALG00000023749,DARS2
ENSVKKG00000009876,TFDP1,ENSCPBG00000013975,TFDP1,ENSCPRG00005016290,TFDP1,ENSGALG00000016823,TFDP1
ENSVKKG00000011992,BRINP2,ENSCPBG00000014554,BRINP2,ENSCPRG00005006081,BRINP2,ENSGALG00000004448,BRINP2
ENSVKKG00000013038,LOXL2,ENSCPBG00000002524,LOXL2,ENSCPRG00005014244,LOXL2,ENSGALG00000000402,LOXL2
ENSVKKG00000015519,DENR,ENSCPBG00000026018,DENR,ENSCPRG00005012005,DENR,ENSGALG00000003795,DENR
ENSVKKG00000002118,HOOK3,ENSCPBG00000027530,HOOK3,ENSCPRG00005014620,HOOK3,ENSGALG00000015390,HOOK3
ENSVKKG00000014259,GOSR1,ENSCPBG00000020045,GOSR1,ENSCPRG00005014009,GOSR1,ENSGALG00000004326,GOSR1
ENSVKKG00000010021,MZT1,ENSCPBG00000010343,MZT1,ENSCPRG00005018691,MZT1,ENSGALG00000016932,MZT1
ENSVKKG00000004915,ASB10,ENSCPBG00000012197,ASB10,ENSCPRG00005000296,ASB10,ENSGALG00000032845,ASB10
ENSVKKG00000010691,ZNF804A,ENSCPBG00000001284,ZNF804A,ENSCPRG00005012383,ZNF804A,ENSGALG00000023886,ZNF804A
ENSVKKG00000015446,NKX6-3,ENSCPBG00000002892,NKX6-3,ENSCPRG00005000634,NKX6-3,ENSGALG00000018503,NKX6-3
ENSVKKG00000017111,SERPIND1,ENSCPBG00000010461,SERPIND1,ENSCPRG00005001299,SERPIND1,ENSGALG00000039239,SERPIND1
ENSVKKG00000013622,TNS4,ENSCPBG00000005006,TNS4,ENSCPRG00005003064,TNS4,ENSGALG00000028308,TNS4
ENSVKKG00000012037,,ENSCPBG00000014230,,ENSCPRG00005005730,,ENSGALG00000010818,PLPP3
ENSVKKG00000007916,ELAVL1,ENSCPBG00000017097,ELAVL1,ENSCPRG00005012995,ELAVL1,ENSGALG00000000726,ELAVL1
ENSVKKG00000005697,TIAL1,ENSCPBG00000001103,TIAL1,ENSCPRG00005010488,TIAL1,ENSGALG00000009427,TIAL1
ENSVKKG00000010239,SORL1,ENSCPBG00000014172,SORL1,ENSCPRG00005002863,SORL1,ENSGALG00000006598,SORL1
ENSVKKG00000010604,RNF20,ENSCPBG00000009501,RNF20,ENSCPRG00005014930,RNF20,ENSGALG00000015548,RNF20
ENSVKKG00000006627,CNOT11,ENSCPBG00000004780,CNOT11,ENSCPRG00005012538,CNOT11,ENSGALG00000039563,CNOT11
ENSVKKG00000009047,ATP13A1,ENSCPBG00000014270,ATP13A1,ENSCPRG00005013354,ATP13A1,ENSGALG00000032815,ATP13A1
ENSVKKG00000002579,,ENSCPBG00000007365,,ENSCPRG00005017645,,ENSGALG00000000820,
ENSVKKG00000017644,CNDP2,ENSCPBG00000002620,CNDP2,ENSCPRG00005004864,CNDP2,ENSGALG00000019514,CNDP2
ENSVKKG00000010293,RELCH,ENSCPBG00000026599,RELCH,ENSCPRG00005016833,RELCH,ENSGALG00000012898,RELCH
ENSVKKG00000011504,H1-10,ENSCPBG00000014342,H1-10,ENSCPRG00005018181,H1-10,ENSGALG00000037991,H1-10
ENSVKKG00000000846,PCNX4,ENSCPBG00000000559,PCNX4,ENSCPRG00005018012,PCNX4,ENSGALG00000011922,PCNX4
ENSVKKG00000007477,SFRP4,ENSCPBG00000024945,SFRP4,ENSCPRG00005010920,SFRP4,ENSGALG00000031997,SFRP4
ENSVKKG00000007099,MICU2,ENSCPBG00000020737,MICU2,ENSCPRG00005013017,MICU2,ENSGALG00000017125,MICU2
ENSVKKG00000006406,ZBTB48,ENSCPBG00000016112,ZBTB48,ENSCPRG00005011280,ZBTB48,ENSGALG00000000637,ZBTB48
ENSVKKG00000014927,,ENSCPBG00000028077,,ENSCPRG00005004559,,ENSGALG00000019736,MCHR1
ENSVKKG00000016989,PIGU,ENSCPBG00000018212,PIGU,ENSCPRG00005012848,PIGU,ENSGALG00000001219,PIGU
ENSVKKG00000007532,PTPN3,ENSCPBG00000000524,PTPN3,ENSCPRG00005014228,PTPN3,ENSGALG00000022909,PTPN3
ENSVKKG00000001955,MRPL19,ENSCPBG00000021644,MRPL19,ENSCPRG00005004483,MRPL19,ENSGALG00000016731,MRPL19
