Gene Id,Gene Name,Sphenodon punctatus,Anolis carolinensis,Pogona vitticeps,Laticauda laticaudata,Naja naja,Notechis scutatus,Pseudonaja textilis,Varanus komodoensis,Podarcis muralis,Salvator merianae,Pelodiscus sinensis,Chelydra serpentina,Chrysemys picta bellii,Terrapene carolina triunguis,Gopherus agassizii,Gopherus evgoodei,Chelonoidis abingdonii,Pelusios castaneus,Crocodylus porosus,Aquila chrysaetos chrysaetos,Struthio camelus australis,Taeniopygia guttata,Anas platyrhynchos platyrhynchos,Gallus gallus
ENSACAG00000000002,,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000004,,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000006,PNPLA8,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000007,NRCAM,,,2,,,,,,,,2,,,,2,,,,,,,,,
ENSACAG00000000009,CLEC16A,,,,,,,,,,,2,,,,,,,,,,,,,
ENSACAG00000000010,SPOUT1,,,,,,,,,2,,,,,,,,,,,,,,,
ENSACAG00000000011,TBC1D13,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000012,OLFML2A,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000013,ZNF385D,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000014,SGO1,,2,,,,,,,,2,,,,,3,,,,,,,,,3
ENSACAG00000000015,KAT2B,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000016,PP2D1,,,,,,,,,2,,,,,,,,,,,,,,,
ENSACAG00000000017,RAB5A,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000018,EFHB,,,,,3,,,,4,,,,,3,3,,,,,,3,3,,
ENSACAG00000000019,KCNH8,,,,,,,,,,,,,,,2,,,,,,,,,
ENSACAG00000000020,,,,,2,,,,,,2,,,,,,,,,,,,,3,
ENSACAG00000000021,ADIPOR2,,,,,,,,2,,,,,,,,,2,2,,,,,,
ENSACAG00000000022,WNT5B,,,2,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000024,,,3,,,,,,,,,,,3,,,,,,,,,,,
ENSACAG00000000025,,,,,,,,,,,,,,,,,,,2,,,,,,
