ref_komodo_stable_id,chicken_grcg6a_stable_id,chicken_grcg6a_name,chicken_grcg6a_lps_4_logFC,chicken_grcg6a_lps_4_QValue,chicken_grcg6a_lps_8_logFC,chicken_grcg6a_lps_8_QValue,chicken_grcg6a_lps_24_logFC,chicken_grcg6a_lps_24_QValue,turtle_painted_stable_id,turtle_painted_name,turtle_painted_lps_4_logFC,turtle_painted_lps_4_QValue,turtle_painted_lps_8_logFC,turtle_painted_lps_8_QValue,komodo_stable_id,komodo_name,komodo_lps_4_logFC,komodo_lps_4_QValue
ENSVKKG00000000002,ENSGALG00000009848,LPGAT1,1.04675864007693,0.0361619189385922,0.730239956543041,0.269891395914759,,,,,,,,,,,,
ENSVKKG00000000004,ENSGALG00000009837,DTL,,,,,3.22257653666945,9.59523698118689e-05,,,,,,,,,,
ENSVKKG00000000019,,,,,,,,,ENSCPBG00000012093,PDP2,1.04304245827323,1.0,,,,,,
ENSVKKG00000000034,ENSGALG00000006173,XYLB,,,,,1.11075651755793,0.094944893328326,,,,,,,,,,
ENSVKKG00000000050,ENSGALG00000003326,AMACR,,,,,1.09884587662917,0.0897089133090188,,,,,,,,,,
ENSVKKG00000000052,,,,,,,,,ENSCPBG00000020591,ZFAND2A,,,2.30109290708051,1.0,,,,
ENSVKKG00000000060,,,,,,,,,,,,,,,ENSVKKG00000000060,CPNE8,1.02193164807944,0.232414376613513
ENSVKKG00000000067,ENSGALG00000009493,TMEM229B,0.869833517621516,0.0500878248926101,0.794891660444704,0.127519906687132,,,,,,,,,,,,
ENSVKKG00000000090,,,,,,,,,ENSCPBG00000016632,UST,1.96192671238602,1.0,1.89610167234865,1.0,,,,
ENSVKKG00000000091,ENSGALG00000010625,SRD5A2,,,2.60148481471599,0.30499895691179,,,,,,,,,,,,
ENSVKKG00000000092,ENSGALG00000003973,TLCD1,,,,,0.646000419674691,0.188218515807603,,,,,,,,,,
ENSVKKG00000000118,ENSGALG00000034348,ATAD2,,,,,0.635782632181037,0.182442605722187,,,,,,,,,,
ENSVKKG00000000122,ENSGALG00000007877,PIP4K2A,0.883975128737124,0.0175192303114505,,,,,,,,,,,,,,
ENSVKKG00000000128,ENSGALG00000006181,NUB1,0.513441219013423,0.375202000699662,,,,,,,,,,,,,,
ENSVKKG00000000130,ENSGALG00000012342,SASH1,0.985617391260516,0.123417683557716,0.904613365046741,0.232428052165064,1.36759364967157,0.0090883054487091,,,,,,,,,,
ENSVKKG00000000134,ENSGALG00000028537,NDUFB1,,,,,0.663084775237689,0.15104779030003,,,,,,,,,,
ENSVKKG00000000168,ENSGALG00000019690,WDR86,1.48281695882405,0.355387185946183,,,,,,,,,,,,,,
ENSVKKG00000000177,ENSGALG00000010793,SLC24A4,0.688127245601836,0.395980687741431,,,,,,,,,,,,,,
ENSVKKG00000000182,ENSGALG00000009241,SFRP2,0.933265492406229,0.288177376287028,1.16276936031229,0.146070197020082,1.48401437987679,0.0124401626490559,,,,,,,,,,
ENSVKKG00000000187,ENSGALG00000033171,TGM4,3.33463954490574,7.16572311800169e-06,2.02091658946313,0.15978943177571,3.22140088311059,7.35276608484523e-05,,,,,,,,,,
ENSVKKG00000000203,,,,,,,,,ENSCPBG00000020185,ADSS1,,,1.81375817802373,1.0,,,,
ENSVKKG00000000232,ENSGALG00000015405,PREP,,,,,0.54942311165186,0.183023214187728,,,,,,,,,,
ENSVKKG00000000274,ENSGALG00000005597,CNN3,,,,,1.04528861693805,0.0165651018386069,,,,,,,,,,
ENSVKKG00000000278,,,,,,,,,ENSCPBG00000009324,FGB,,,2.89279953780691,1.0,,,,
ENSVKKG00000000283,ENSGALG00000010243,PRDX1,1.70973201238155,1.065848180421e-08,1.95670168959683,1.38831497470681e-08,2.09361941065919,3.96169414044144e-07,,,,,,,,,,
ENSVKKG00000000287,,,,,,,,,,,,,,,ENSVKKG00000000287,SH3PXD2A,1.7317916925142,1.0
ENSVKKG00000000291,ENSGALG00000005610,SLC44A3,4.57102572702009,0.0239407654056654,3.90065967518842,0.24016121177861,3.78815777253796,0.0615864622646848,,,,,,,,,,
ENSVKKG00000000294,ENSGALG00000010244,AKR1A1,0.680144862613786,0.0942709607918327,0.962735605468524,0.0170777580372425,0.946786264828094,0.0402457157343143,,,,,,,,,,
ENSVKKG00000000309,ENSGALG00000010255,NASP,,,,,0.680124118537285,0.074315594100916,,,,,,,,,,
ENSVKKG00000000315,ENSGALG00000009456,EXD2,0.656213739042642,0.412202511679911,,,,,,,,,,,,,,
ENSVKKG00000000325,ENSGALG00000005619,F3,6.47727802620911,0.12891424434409,6.16785281078784,0.120559741764364,6.21367000324672,0.0595933654453715,,,,,,,ENSVKKG00000000325,F3,2.90311266695785,0.0367061416494694
ENSVKKG00000000329,ENSGALG00000028940,NUDT14,,,,,0.75573926352455,0.0960517532215633,,,,,,,,,,
ENSVKKG00000000370,ENSGALG00000008862,DNAJC10,,,,,0.631474767379393,0.190420218504345,,,,,,,,,,
ENSVKKG00000000388,,,,,,,,,ENSCPBG00000022348,AKAP5,,,2.75792084501851,1.0,,,,
ENSVKKG00000000393,ENSGALG00000052088,SFR1,,,,,1.81812951412473,0.0078273712323218,,,,,,,,,,
ENSVKKG00000000407,ENSGALG00000007900,COMMD3,,,0.605728389496202,0.442990396610233,,,,,,,,,,,,
ENSVKKG00000000416,ENSGALG00000012300,RAB32,1.11409737943496,0.0110020907886165,,,0.918092632404729,0.0389374231477189,,,,,,,,,,
ENSVKKG00000000431,ENSGALG00000026215,,1.54630652772684,0.207937419833465,,,,,,,,,,,,,,
