,NCBI GeneID,Ensembl GeneIDs,turtle gene ID,turtle gene name,Synonyms,gene name for h5ad
0,627,ENSG00000176697,117877165,BDNF,"BDNF1a,BDNF1b,BDNF1c,BDNF2a,BDNF2b,BDNF2c,BDNF2d,BDNF3a,BDNF3b",BDNF
1,2893,ENSG00000152578,117871163,GRIA4,"GluA4,GluR4",GRIA4
2,3297,ENSG00000185122,117873896,HSF1,,HSF1
4,8170,ENSG00000132874,117879498,SLC14A2,UT,SLC14A2
5,51738,ENSG00000157017,117880305,GHRL,,GHRL
6,7248,ENSG00000165699,117867206,TSC1,,TSC1
7,51085,ENSG00000009950,117867688,MLXIPL,,MLXIPL
8,94233,ENSG00000122375,117880886,OPN4,,OPN4
9,1409,ENSG00000160202,117868088,CRYAA,,CRYAA
10,1410,ENSG00000109846,117868613,CRYAB,,CRYAB
11,793,ENSG00000104327,117873645,CALB1,,CALB1
12,794,ENSG00000172137,117886743,CALB2,calretinin,CALB2
14,3759,ENSG00000123700,117887746,KCNJ2,,KCNJ2
15,162514,ENSG00000167723,117867468,TRPV3,,TRPV3
16,2023,ENSG00000074800,117867852,ENO1,,ENO1
17,2308,ENSG00000150907,117871011,FOXO1,,FOXO1
18,847,ENSG00000121691,117877014,CAT,,CAT
19,1027,ENSG00000111276,117884245,CDKN1B,Kip1,CDKN1B
20,5594,ENSG00000100030,117887996,MAPK1,ERK2,MAPK1
21,3309,ENSG00000044574,117867249,HSPA5,GRP78,HSPA5
22,467,ENSG00000162772,117874422,ATF3,ATF-3,ATF3
23,468,ENSG00000128272,117880204,ATF4,ATF-4,ATF4
24,7184,ENSG00000166598,117881416,HSP90B1,GRP94,HSP90B1
25,3065,ENSG00000116478,117868209,HDAC1,,HDAC1
26,10014,ENSG00000108840,117869248,HDAC5,,HDAC5
27,147495,ENSG00000154856,117873345,APCDD1,TsAPCDD1,APCDD1
28,3082,ENSG00000019991,117874925,HGF,TsHGF,HGF
29,3066,ENSG00000196591,117875014,HDAC2,,HDAC2
30,2255,ENSG00000070193,117879538,FGF10,TsFGF10,FGF10
31,7474,ENSG00000114251,117880460,WNT5A,TsWNT5a,WNT5A
32,2253,ENSG00000107831,117880942,FGF8,TsFGF8,FGF8
33,8841,ENSG00000171720,117881710,HDAC3,,HDAC3
34,9759,ENSG00000068024,117884672,HDAC4,,HDAC4
35,6497,ENSG00000157933,117868093,SKI,,SKI
36,6194,ENSG00000137154,117878914,RPS6,,RPS6
37,5950,ENSG00000138207,117880382,RBP4,,RBP4
38,5468,ENSG00000132170,117880722,PPARG,ppar,PPARG
39,6678,ENSG00000113140,117881476,SPARC,,SPARC
40,5315,ENSG00000067225,117884453,PKM,,PKM
41,6648,ENSG00000291237,117874795,SOD2,,SOD2
42,2495,ENSG00000167996,117877419,FTH1,,FTH1
43,4790,ENSG00000109320,117878027,NFKB1,,NFKB1
44,5970,ENSG00000173039,117880425,RELA,,RELA
