eggnog_name,chicken_102_gene_id,chicken_110_gene_id,turtle_3_gene_id,komodo_gene_id,crocodile_gene_id
26-29-P,"{'ENSGALG00000013409', 'ENSGALG00000047941'}","{'ENSGALG00010016870', 'ENSGALG00010018329'}","{'ENSCPBG00000024874', 'ENSCPBG00000024868', 'ENSCPBG00000024872'}",ENSVKKG00000005575,"{'ENSCPRG00005003225', 'ENSCPRG00005003223'}"
A1CF,ENSGALG00000003765,ENSGALG00010022774,ENSCPBG00000026464,ENSVKKG00000004726,ENSCPRG00005009937
A2M,"{'ENSGALG00000051522', 'ENSGALG00000048015', 'ENSGALG00000053074', 'ENSGALG00000053848', 'ENSGALG00000047119', 'ENSGALG00000048124', 'ENSGALG00000050774', 'ENSGALG00000053002', 'ENSGALG00000039764', 'ENSGALG00000031659', 'ENSGALG00000053343', 'ENSGALG00000052200', 'ENSGALG00000048815', 'ENSGALG00000054795'}","{'ENSGALG00010022972', 'ENSGALG00010023003'}","{'ENSCPBG00000014325', 'ENSCPBG00000014298', 'ENSCPBG00000015410', 'ENSCPBG00000010672', 'ENSCPBG00000014319', 'ENSCPBG00000014309', 'ENSCPBG00000014171', 'ENSCPBG00000014110', 'ENSCPBG00000003709'}","{'ENSVKKG00000001846', 'ENSVKKG00000012163', 'ENSVKKG00000001839'}","{'ENSCPRG00005012483', 'ENSCPRG00005012433', 'ENSCPRG00005012429', 'ENSCPRG00005012436', 'ENSCPRG00005012423'}"
A2ML1,"{'ENSGALG00000014252', 'ENSGALG00000011930', 'ENSGALG00000052583', 'ENSGALG00000050720', 'ENSGALG00000047480', 'ENSGALG00000052883', 'ENSGALG00000053694', 'ENSGALG00000051209', 'ENSGALG00000054802', 'ENSGALG00000054682', 'ENSGALG00000036447', 'ENSGALG00000000293'}","{'ENSGALG00010026205', 'ENSGALG00010022821', 'ENSGALG00010022805', 'ENSGALG00010023042', 'ENSGALG00010023020'}","{'ENSCPBG00000016579', 'ENSCPBG00000014347', 'ENSCPBG00000018726', 'ENSCPBG00000014350', 'ENSCPBG00000010730', 'ENSCPBG00000018732'}",,"{'ENSCPRG00005012539', 'ENSCPRG00005012488'}"
A4GALT,ENSGALG00000014128,ENSGALG00010012867,ENSCPBG00000025172,ENSVKKG00000017660,ENSCPRG00005003168
A4GNT,ENSGALG00000006600,ENSGALG00010024560,"{'ENSCPBG00000000416', 'ENSCPBG00000003928'}",ENSVKKG00000007425,ENSCPRG00005009360
AAAS,ENSGALG00000032843,ENSGALG00010024389,ENSCPBG00000001788,ENSVKKG00000003827,ENSCPRG00005006993
AACS,ENSGALG00000002899,ENSGALG00010020928,ENSCPBG00000024879,ENSVKKG00000013082,ENSCPRG00005018578
AADAC,ENSGALG00000010364,ENSGALG00010001708,ENSCPBG00000018813,ENSVKKG00000016542,ENSCPRG00005006960
AADACL3,"{'ENSGALG00000021598', 'ENSGALG00000041400', 'ENSGALG00000044962', 'ENSGALG00000049664'}","{'ENSGALG00010022183', 'ENSGALG00010021066', 'ENSGALG00010021053', 'ENSGALG00010021056', 'ENSGALG00010022178', 'ENSGALG00010021059'}","{'ENSCPBG00000021507', 'ENSCPBG00000021508', 'ENSCPBG00000021513', 'ENSCPBG00000021511'}","{'ENSVKKG00000015935', 'ENSVKKG00000015932', 'ENSVKKG00000015934', 'ENSVKKG00000015929', 'ENSVKKG00000016049', 'ENSVKKG00000016064', 'ENSVKKG00000016048', 'ENSVKKG00000015937'}","{'ENSCPRG00005000150', 'ENSCPRG00005000399', 'ENSCPRG00005000418', 'ENSCPRG00005000148', 'ENSCPRG00005000162'}"
AADAT,ENSGALG00000009655,ENSGALG00010008325,"{'ENSCPBG00000027213', 'ENSCPBG00000015023'}","{'ENSVKKG00000016688', 'ENSVKKG00000016695'}","{'ENSCPRG00005011190', 'ENSCPRG00005011261', 'ENSCPRG00005011248'}"
AAED1,ENSGALG00000012624,ENSGALG00010008768,ENSCPBG00000005459,ENSVKKG00000008569,ENSCPRG00005010147
AAGAB,ENSGALG00000007887,ENSGALG00010018150,ENSCPBG00000025560,ENSVKKG00000017056,ENSCPRG00005000756
AAK1,ENSGALG00000041911,ENSGALG00010017516,"{'ENSCPBG00000003424', 'ENSCPBG00000003404'}",ENSVKKG00000001724,ENSCPRG00005016287
AAMDC,ENSGALG00000041949,ENSGALG00010002039,ENSCPBG00000027793,ENSVKKG00000005342,ENSCPRG00005016554
AAMP,ENSGALG00000011445,ENSGALG00010019223,ENSCPBG00000013283,ENSVKKG00000001902,ENSCPRG00005018921
AANAT,ENSGALG00000001955,ENSGALG00010029400,ENSCPBG00000028003,ENSVKKG00000016082,ENSCPRG00005007173
AAR2,ENSGALG00000001034,ENSGALG00010024639,ENSCPBG00000018203,ENSVKKG00000013166,ENSCPRG00005013643
AARS,ENSGALG00000001965,ENSGALG00010021722,ENSCPBG00000002995,ENSVKKG00000011438,ENSCPRG00005000331
AARS2,ENSGALG00000035337,ENSGALG00010018354,ENSCPBG00000025329,ENSVKKG00000002870,ENSCPRG00005010614
AARSD1,"{'ENSGALG00000002880', 'ENSGALG00000038129'}","{'ENSGALG00010022366', 'ENSGALG00010022395'}",ENSCPBG00000016295,ENSVKKG00000016215,"{'ENSCPRG00005008239', 'ENSCPRG00005008245'}"
AASDH,ENSGALG00000013764,ENSGALG00010014902,ENSCPBG00000025116,ENSVKKG00000018129,ENSCPRG00005010515
AASDHPPT,ENSGALG00000027981,ENSGALG00010005177,ENSCPBG00000000192,ENSVKKG00000006942,ENSCPRG00005014479
AASS,ENSGALG00000008953,ENSGALG00010001234,ENSCPBG00000008417,ENSVKKG00000015327,ENSCPRG00005010757
AATF,ENSGALG00000005420,ENSGALG00010029352,ENSCPBG00000009608,ENSVKKG00000018231,ENSCPRG00005010450
AATK,ENSGALG00000006901,ENSGALG00010029542,ENSCPBG00000010476,ENSVKKG00000016398,ENSCPRG00005018324
ABAT,ENSGALG00000007334,ENSGALG00010017337,ENSCPBG00000026638,"{'ENSVKKG00000016325', 'ENSVKKG00000006237'}",ENSCPRG00005003537
ABCA1,ENSGALG00000015433,ENSGALG00010014122,ENSCPBG00000020497,ENSVKKG00000002294,ENSCPRG00005014752
ABCA12,ENSGALG00000003553,ENSGALG00010011949,ENSCPBG00000015417,ENSVKKG00000018423,ENSCPRG00005003342
ABCA13,"{'ENSGALG00000044261', 'ENSGALG00000046875', 'ENSGALG00000013079'}",ENSGALG00010000626,ENSCPBG00000016499,,ENSCPRG00005014686
ABCA2,ENSGALG00000036894,ENSGALG00010028002,ENSCPBG00000010737,ENSVKKG00000002449,ENSCPRG00005010727
ABCA3,ENSGALG00000037837,ENSGALG00010018864,ENSCPBG00000000183,ENSVKKG00000011289,ENSCPRG00005001053
ABCA4,"{'ENSGALG00000048056', 'ENSGALG00000005752'}",ENSGALG00010021143,ENSCPBG00000017387,ENSVKKG00000000507,ENSCPRG00005015301
ABCA5,ENSGALG00000004333,ENSGALG00010029418,ENSCPBG00000010213,"{'ENSVKKG00000011179', 'ENSVKKG00000011189'}",ENSCPRG00005018505
ABCA6,ENSGALG00000021395,ENSGALG00010029417,,ENSVKKG00000011175,
ABCA7,ENSGALG00000046825,ENSGALG00010027974,"{'ENSCPBG00000009740', 'ENSCPBG00000009722'}",ENSVKKG00000007020,ENSCPRG00005015171
ABCA9,ENSGALG00000021399,ENSGALG00010029409,"{'ENSCPBG00000009816', 'ENSCPBG00000010012'}",ENSVKKG00000007849,"{'ENSCPRG00005018540', 'ENSCPRG00005018543', 'ENSCPRG00005018528'}"
ABCB1,"{'ENSGALG00000053916', 'ENSGALG00000008912'}","{'ENSGALG00010005222', 'ENSGALG00010004200'}",ENSCPBG00000021237,ENSVKKG00000003567,"{'ENSCPRG00005011780', 'ENSCPRG00005011694', 'ENSCPRG00005011704'}"
ABCB10,ENSGALG00000011096,ENSGALG00010009554,ENSCPBG00000006163,ENSVKKG00000017433,ENSCPRG00005017194
ABCB11,ENSGALG00000010891,ENSGALG00010024309,ENSCPBG00000006998,ENSVKKG00000018251,ENSCPRG00005015801
ABCB5,ENSGALG00000010901,ENSGALG00010003061,"{'ENSCPBG00000021908', 'ENSCPBG00000006589', 'ENSCPBG00000000520', 'ENSCPBG00000017317', 'ENSCPBG00000006100', 'ENSCPBG00000006005'}","{'ENSVKKG00000018011', 'ENSVKKG00000018012'}","{'ENSCPRG00005015412', 'ENSCPRG00005015506'}"
ABCB6,ENSGALG00000029672,ENSGALG00010021465,"{'ENSCPBG00000013162', 'ENSCPBG00000013161'}",ENSVKKG00000000960,
ABCB7,ENSGALG00000007788,ENSGALG00010013464,ENSCPBG00000014879,ENSVKKG00000010947,ENSCPRG00005007461
ABCB8,ENSGALG00000031243,ENSGALG00010027169,ENSCPBG00000012251,ENSVKKG00000008242,
ABCB9,ENSGALG00000003736,ENSGALG00010024943,ENSCPBG00000025979,ENSVKKG00000015515,ENSCPRG00005017161
ABCC1,ENSGALG00000006646,ENSGALG00010020745,ENSCPBG00000020208,ENSVKKG00000008408,ENSCPRG00005009465
ABCC10,ENSGALG00000047352,ENSGALG00010007633,ENSCPBG00000025164,ENSVKKG00000004448,ENSCPRG00005012699
ABCC13,ENSGALG00000015675,ENSGALG00010007741,ENSCPBG00000028341,ENSVKKG00000010944,ENSCPRG00005012919
ABCC2,ENSGALG00000007395,ENSGALG00010022211,ENSCPBG00000012273,ENSVKKG00000002361,
ABCC3,ENSGALG00000007522,ENSGALG00010029290,ENSCPBG00000028200,ENSVKKG00000003322,ENSCPRG00005002364
ABCC4,ENSGALG00000016896,ENSGALG00010005402,ENSCPBG00000023494,ENSVKKG00000012637,ENSCPRG00005018293
ABCC5,ENSGALG00000008369,ENSGALG00010017985,ENSCPBG00000015585,ENSVKKG00000015281,ENSCPRG00005011727
ABCC6,ENSGALG00000038152,ENSGALG00010020803,ENSCPBG00000019854,ENSVKKG00000007601,ENSCPRG00005008857
ABCC8,ENSGALG00000006172,ENSGALG00010023276,ENSCPBG00000017576,ENSVKKG00000009224,ENSCPRG00005000714
ABCC9,ENSGALG00000013244,ENSGALG00010013156,ENSCPBG00000009242,"{'ENSVKKG00000013401', 'ENSVKKG00000013402'}",ENSCPRG00005011566
ABCD2,ENSGALG00000042554,ENSGALG00010008148,ENSCPBG00000010664,ENSVKKG00000010849,ENSCPRG00005013520
ABCD3,ENSGALG00000005647,ENSGALG00010020934,ENSCPBG00000017384,ENSVKKG00000000339,ENSCPRG00005014903
ABCD4,ENSGALG00000010229,ENSGALG00010006311,ENSCPBG00000026224,ENSVKKG00000011981,ENSCPRG00005004118
ABCE1,ENSGALG00000009961,ENSGALG00010006353,ENSCPBG00000027506,ENSVKKG00000003065,ENSCPRG00005008562
ABCF2,ENSGALG00000034573,ENSGALG00010025442,ENSCPBG00000012186,ENSVKKG00000004572,ENSCPRG00005000216
ABCF3,ENSGALG00000008480,ENSGALG00010018008,ENSCPBG00000015581,ENSVKKG00000013883,ENSCPRG00005011569
ABCG1,ENSGALG00000016164,ENSGALG00010011104,ENSCPBG00000012934,ENSVKKG00000014557,ENSCPRG00005016219
ABCG2,ENSGALG00000030677,ENSGALG00010020622,"{'ENSCPBG00000020580', 'ENSCPBG00000005107', 'ENSCPBG00000005114'}","{'ENSVKKG00000010990', 'ENSVKKG00000010992', 'ENSVKKG00000003925'}","{'ENSCPRG00005013114', 'ENSCPRG00005013100', 'ENSCPRG00005000613'}"
ABCG4,ENSGALG00000006795,ENSGALG00010024172,ENSCPBG00000007843,ENSVKKG00000004078,ENSCPRG00005004103
ABCG5,ENSGALG00000009955,ENSGALG00010020352,ENSCPBG00000005404,,ENSCPRG00005015448
ABCG8,ENSGALG00000009958,ENSGALG00010020360,ENSCPBG00000005417,,ENSCPRG00005015433
ABHD10,ENSGALG00000015378,ENSGALG00010004487,,ENSVKKG00000012551,ENSCPRG00005009803
ABHD11,ENSGALG00000001056,ENSGALG00010029606,ENSCPBG00000015894,ENSVKKG00000003729,ENSCPRG00005008094
ABHD12,ENSGALG00000008525,ENSGALG00010018399,ENSCPBG00000017703,ENSVKKG00000014350,ENSCPRG00005011125
ABHD12B,ENSGALG00000020342,ENSGALG00010019430,ENSCPBG00000021123,,ENSCPRG00005018643
ABHD13,ENSGALG00000016853,ENSGALG00010014965,,ENSVKKG00000002734,ENSCPRG00005016667
ABHD14A,ENSGALG00000045658,ENSGALG00010027538,ENSCPBG00000016545,"{'ENSVKKG00000015161', 'ENSVKKG00000015159'}",
ABHD14B,ENSGALG00000038589,,ENSCPBG00000016548,ENSVKKG00000015157,
ABHD17A,ENSGALG00000041163,ENSGALG00010027931,ENSCPBG00000018468,ENSVKKG00000008129,ENSCPRG00005009059
ABHD17B,ENSGALG00000015138,ENSGALG00010014176,ENSCPBG00000020103,ENSVKKG00000004818,ENSCPRG00005006193
ABHD17C,ENSGALG00000006420,ENSGALG00010019778,ENSCPBG00000007666,ENSVKKG00000017750,ENSCPRG00005016729
