komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,turtle_painted_orthology,crocodile_stable_id,crocodile_name,crocodile_orthology,chicken_109_stable_id,chicken_109_name,chicken_109_orthology,human_stable_id,human_name,human_orthology,mouse_stable_id,mouse_name,mouse_orthology
ENSVKKG00000002510,,ENSCPBG00000001215,PDE4B,ortholog_one2one,ENSCPRG00005011137,PDE4B,ortholog_one2one,ENSGALG00000011094,PDE4B,ortholog_one2one,ENSG00000184588,PDE4B,ortholog_one2many,ENSMUSG00000028525,Pde4b,ortholog_one2many
ENSVKKG00000017981,LBH,ENSCPBG00000011831,LBH,ortholog_one2one,ENSCPRG00005008519,LBH,ortholog_one2one,ENSGALG00000009052,LBH,ortholog_one2one,ENSG00000213626,LBH,ortholog_one2one,ENSMUSG00000024063,Lbh,ortholog_one2one
ENSVKKG00000013164,PDLIM4,ENSCPBG00000016823,PDLIM4,ortholog_one2one,ENSCPRG00005009404,PDLIM4,ortholog_one2one,ENSGALG00000039872,PDLIM4,ortholog_one2one,ENSG00000131435,PDLIM4,ortholog_one2one,ENSMUSG00000020388,Pdlim4,ortholog_one2one
ENSVKKG00000000661,FMNL3,ENSCPBG00000019686,FMNL3,ortholog_one2one,ENSCPRG00005001684,FMNL3,ortholog_one2one,ENSGALG00000055075,FMNL3,ortholog_one2one,ENSG00000161791,FMNL3,ortholog_one2one,ENSMUSG00000023008,Fmnl3,ortholog_one2one
ENSVKKG00000008791,AGTPBP1,ENSCPBG00000005173,AGTPBP1,ortholog_one2one,ENSCPRG00005006984,AGTPBP1,ortholog_one2one,ENSGALG00000012595,AGTPBP1,ortholog_one2one,ENSG00000135049,AGTPBP1,ortholog_one2one,ENSMUSG00000021557,Agtpbp1,ortholog_one2one
ENSVKKG00000011132,PAPOLG,ENSCPBG00000026150,PAPOLG,ortholog_one2one,ENSCPRG00005013702,PAPOLG,ortholog_one2one,ENSGALG00000007853,PAPOLG,ortholog_one2one,ENSG00000115421,PAPOLG,ortholog_one2one,ENSMUSG00000020273,Papolg,ortholog_one2one
ENSVKKG00000014650,TTC39B,ENSCPBG00000025312,TTC39B,ortholog_one2one,ENSCPRG00005001076,TTC39B,ortholog_one2one,ENSGALG00000005416,TTC39B,ortholog_one2one,ENSG00000155158,TTC39B,ortholog_one2one,"{'ENSMUSG00000046196', 'ENSMUSG00000038172'}","{'Ttc39b', 'Ttc39d'}",ortholog_one2many
ENSVKKG00000013835,CCDC3,ENSCPBG00000027810,CCDC3,ortholog_one2one,ENSCPRG00005000622,CCDC3,ortholog_one2one,ENSGALG00000030140,CCDC3,ortholog_one2one,ENSG00000151468,CCDC3,ortholog_one2one,ENSMUSG00000026676,Ccdc3,ortholog_one2one
ENSVKKG00000010284,PIK3C2B,ENSCPBG00000001168,PIK3C2B,ortholog_one2one,ENSCPRG00005010571,PIK3C2B,ortholog_one2one,ENSGALG00000037043,PIK3C2B,ortholog_one2one,ENSG00000133056,PIK3C2B,ortholog_one2one,ENSMUSG00000026447,Pik3c2b,ortholog_one2one
ENSVKKG00000006102,,ENSCPBG00000013137,,ortholog_one2one,,,,,,,ENSG00000237693,IRGM,ortholog_one2one,"{'ENSMUSG00000078853', 'ENSMUSG00000069874', 'ENSMUSG00000046879'}","{'Irgm1', 'Igtp', 'Irgm2'}",ortholog_one2many
ENSVKKG00000015816,FOS,ENSCPBG00000026248,FOS,ortholog_one2one,ENSCPRG00005005033,FOS,ortholog_one2one,ENSGALG00000028037,FOS,ortholog_one2one,ENSG00000170345,FOS,ortholog_one2one,ENSMUSG00000021250,Fos,ortholog_one2one
