komodo_stable_id,komodo_name,turtle_painted_stable_id,turtle_painted_name,turtle_painted_orthology,crocodile_stable_id,crocodile_name,crocodile_orthology,chicken_109_stable_id,chicken_109_name,chicken_109_orthology,human_stable_id,human_name,human_orthology,mouse_stable_id,mouse_name,mouse_orthology
ENSVKKG00000009271,,ENSCPBG00000023230,,ortholog_one2one,,,,,,,"{'ENSG00000062096', 'ENSG00000157399'}","{'ARSL', 'ARSF'}",ortholog_many2many,,,
ENSVKKG00000004137,CBL,ENSCPBG00000007887,CBL,ortholog_one2one,ENSCPRG00005004074,CBL,ortholog_one2one,ENSGALG00000029077,CBL,ortholog_one2one,ENSG00000110395,CBL,ortholog_one2one,ENSMUSG00000034342,Cbl,ortholog_one2one
ENSVKKG00000002510,,ENSCPBG00000001215,PDE4B,ortholog_one2one,ENSCPRG00005011137,PDE4B,ortholog_one2one,ENSGALG00000011094,PDE4B,ortholog_one2one,ENSG00000184588,PDE4B,ortholog_one2many,ENSMUSG00000028525,Pde4b,ortholog_one2many
ENSVKKG00000002810,,ENSCPBG00000011900,,ortholog_one2one,ENSCPRG00005007814,,ortholog_one2one,ENSGALG00000005086,PLAU,ortholog_one2one,ENSG00000188086,PRSS45P,ortholog_many2many,ENSMUSG00000047257,Prss45,ortholog_many2many
ENSVKKG00000005190,,ENSCPBG00000024939,,ortholog_one2one,ENSCPRG00005003408,,ortholog_one2one,,,,,,,,,
ENSVKKG00000012228,,ENSCPBG00000026476,,ortholog_one2many,ENSCPRG00005018829,,ortholog_one2many,ENSGALG00000011153,LY75,ortholog_one2many,"{'ENSG00000248672', 'ENSG00000054219'}","{'LY75-CD302', 'LY75'}",ortholog_many2many,ENSMUSG00000026980,Ly75,ortholog_one2many
ENSVKKG00000017981,LBH,ENSCPBG00000011831,LBH,ortholog_one2one,ENSCPRG00005008519,LBH,ortholog_one2one,ENSGALG00000009052,LBH,ortholog_one2one,ENSG00000213626,LBH,ortholog_one2one,ENSMUSG00000024063,Lbh,ortholog_one2one
ENSVKKG00000010148,FSHR,ENSCPBG00000018469,FSHR,ortholog_one2one,ENSCPRG00005008572,,ortholog_one2one,ENSGALG00000009100,FSHR,ortholog_one2one,ENSG00000170820,FSHR,ortholog_one2one,ENSMUSG00000032937,Fshr,ortholog_one2one
ENSVKKG00000009255,PURB,ENSCPBG00000023221,PURB,ortholog_one2one,ENSCPRG00005000388,PURB,ortholog_one2one,,,,ENSG00000146676,PURB,ortholog_one2one,ENSMUSG00000094483,Purb,ortholog_one2one
ENSVKKG00000008426,SYK,ENSCPBG00000005707,SYK,ortholog_one2one,ENSCPRG00005010354,SYK,ortholog_one2one,ENSGALG00000015216,SYK,ortholog_one2one,ENSG00000165025,SYK,ortholog_one2one,ENSMUSG00000021457,Syk,ortholog_one2one
ENSVKKG00000013540,C9orf116,ENSCPBG00000020908,C9orf116,ortholog_one2one,ENSCPRG00005007762,C9orf116,ortholog_one2one,ENSGALG00000040773,C9orf116,ortholog_one2one,ENSG00000160345,C9orf116,ortholog_one2one,ENSMUSG00000026831,1700007K13Rik,ortholog_one2one
ENSVKKG00000018502,ACADL,ENSCPBG00000025491,ACADL,ortholog_one2one,ENSCPRG00005002494,ACADL,ortholog_one2one,ENSGALG00000002891,ACADL,ortholog_one2one,ENSG00000115361,ACADL,ortholog_one2one,ENSMUSG00000026003,Acadl,ortholog_one2one
ENSVKKG00000012838,,ENSCPBG00000022939,,ortholog_one2one,ENSCPRG00005015596,,ortholog_one2one,ENSGALG00000009709,MUM1L1,ortholog_one2one,"{'ENSG00000160953', 'ENSG00000278803', 'ENSG00000157502'}","{'PWWP3A', 'PWWP3B', 'AC236972.4'}",ortholog_one2many,"{'ENSMUSG00000067771', 'ENSMUSG00000020156', 'ENSMUSG00000079534', 'ENSMUSG00000071745', 'ENSMUSG00000042515', 'ENSMUSG00000079531'}","{'Gm5640', 'Pwwp3b', 'Pwwp3a', 'Gm14685', 'DXBay18', 'Gm5936'}",ortholog_one2many
ENSVKKG00000001088,,"{'ENSCPBG00000024119', 'ENSCPBG00000009657', 'ENSCPBG00000009654'}",,ortholog_many2many,,,,,,,,,,"{'ENSMUSG00000094098', 'ENSMUSG00000096743', 'ENSMUSG00000096180', 'ENSMUSG00000096399', 'ENSMUSG00000090662', 'ENSMUSG00000094107', 'ENSMUSG00000090892', 'ENSMUSG00000096373', 'ENSMUSG00000094606', 'ENSMUSG00000095730', 'ENSMUSG00000091930', 'ENSMUSG00000110105', 'ENSMUSG00000095773', 'ENSMUSG00000070847', 'ENSMUSG00000091794', 'ENSMUSG00000066820', 'ENSMUSG00000096294', 'ENSMUSG00000091651', 'ENSMUSG00000070841', 'ENSMUSG00000090342', 'ENSMUSG00000090864', 'ENSMUSG00000096691', 'ENSMUSG00000096658', 'ENSMUSG00000053720', 'ENSMUSG00000058685', 'ENSMUSG00000095914', 'ENSMUSG00000066828', 'ENSMUSG00000070844'}","{'Vmn2r45', 'Vmn2r47', 'Vmn2r46', 'Vmn2r36', 'Vmn2r51', 'Vmn2r18', 'Vmn2r29', 'Vmn2r28', 'Vmn2r37', 'Vmn2r43', 'Gm45844', 'Vmn2r41', 'Vmn2r42', 'Vmn2r48', 'Vmn2r52', 'Vmn2r34', 'Vmn2r33', 'Vmn2r50', 'Vmn2r38', 'Gm10302', 'Vmn2r31', 'Vmn2r39', 'Vmn2r32', 'Vmn2r49', 'Vmn2r35', 'Vmn2r30', 'Vmn2r40', 'Vmn2r44'}",ortholog_many2many
ENSVKKG00000009411,SESN3,ENSCPBG00000024045,SESN3,ortholog_one2one,ENSCPRG00005015169,SESN3,ortholog_one2one,ENSGALG00000017204,SESN3,ortholog_one2one,ENSG00000149212,SESN3,ortholog_one2one,ENSMUSG00000032009,Sesn3,ortholog_one2one
ENSVKKG00000010004,TOMM6,ENSCPBG00000017444,TOMM6,ortholog_one2one,ENSCPRG00005011375,,ortholog_one2one,ENSGALG00000043002,TOMM6,ortholog_one2one,ENSG00000214736,TOMM6,ortholog_one2one,ENSMUSG00000033475,Tomm6,ortholog_one2one
ENSVKKG00000006438,GAREM1,ENSCPBG00000020994,GAREM1,ortholog_one2one,ENSCPRG00005015258,GAREM1,ortholog_one2one,ENSGALG00000015181,GAREM1,ortholog_one2one,ENSG00000141441,GAREM1,ortholog_one2one,ENSMUSG00000042680,Garem1,ortholog_one2one
ENSVKKG00000003399,ABCC12,"{'ENSCPBG00000016021', 'ENSCPBG00000016027'}",,ortholog_one2many,ENSCPRG00005003919,ABCC12,ortholog_one2one,,,,ENSG00000140798,ABCC12,ortholog_one2one,ENSMUSG00000036872,Abcc12,ortholog_one2one
ENSVKKG00000012801,,ENSCPBG00000008758,,ortholog_one2one,,,,,,,ENSG00000099338,CATSPERG,ortholog_one2one,"{'ENSMUSG00000049676', 'ENSMUSG00000049123'}","{'Catsperg1', 'Catsperg2'}",ortholog_one2many
ENSVKKG00000017736,ATXN10,ENSCPBG00000024301,ATXN10,ortholog_one2one,ENSCPRG00005001839,ATXN10,ortholog_one2one,ENSGALG00000014234,ATXN10,ortholog_one2one,ENSG00000130638,ATXN10,ortholog_one2one,ENSMUSG00000016541,Atxn10,ortholog_one2one
